Time,nba standings
2025-04-15,76
2025-04-16,100
2025-04-17,67
2025-04-18,46
2025-04-19,89
2025-04-20,78
2025-04-21,44
2025-04-22,40
2025-04-23,37
2025-04-24,34
2025-04-25,31
2025-04-26,34
2025-04-27,49
2025-04-28,38
2025-04-29,40
2025-04-30,39
2025-05-01,42
2025-05-02,36
2025-05-03,33
2025-05-04,40
2025-05-05,39
2025-05-06,30
2025-05-07,27
2025-05-08,28
2025-05-09,23
2025-05-10,35
2025-05-11,35
2025-05-12,31
2025-05-13,44
2025-05-14,36
2025-05-15,33
2025-05-16,24
2025-05-17,42
2025-05-18,34
2025-05-19,22
2025-05-20,17
2025-05-21,21
2025-05-22,20
2025-05-23,17
2025-05-24,22
2025-05-25,24
2025-05-26,23
2025-05-27,19
2025-05-28,20
2025-05-29,24
2025-05-30,18
2025-05-31,16
2025-06-01,26
2025-06-02,11
2025-06-03,10
2025-06-04,9
2025-06-05,10
2025-06-06,16
2025-06-07,11
2025-06-08,13
2025-06-09,12
2025-06-10,8
2025-06-11,11
2025-06-12,14
2025-06-13,9
2025-06-14,16
2025-06-15,13
2025-06-16,12
2025-06-17,13
2025-06-18,9
2025-06-19,11
2025-06-20,16
2025-06-21,8
2025-06-22,17
2025-06-23,21
2025-06-24,8
2025-06-25,8
2025-06-26,11
2025-06-27,6
2025-06-28,5
2025-06-29,5
2025-06-30,5
2025-07-01,6
2025-07-02,6
2025-07-03,4
2025-07-04,5
2025-07-05,5
2025-07-06,6
2025-07-07,5
2025-07-08,4
2025-07-09,4
2025-07-10,4
2025-07-11,5
2025-07-12,5
2025-07-13,6
2025-07-14,6
2025-07-15,6
2025-07-16,6
2025-07-17,11
2025-07-18,9
2025-07-19,8
2025-07-20,8
2025-07-21,6
2025-07-22,4
2025-07-23,4
2025-07-24,4
2025-07-25,3
2025-07-26,4
2025-07-27,4
2025-07-28,3
2025-07-29,4
2025-07-30,7
2025-07-31,7
2025-08-01,4
2025-08-02,4
2025-08-03,3
2025-08-04,3
2025-08-05,4
2025-08-06,3
2025-08-07,3
2025-08-08,3
2025-08-09,3
2025-08-10,4
2025-08-11,3
2025-08-12,3
2025-08-13,3
2025-08-14,4
2025-08-15,3
2025-08-16,3
2025-08-17,3
2025-08-18,2
2025-08-19,2
2025-08-20,2
2025-08-21,3
2025-08-22,3
2025-08-23,2
2025-08-24,2
2025-08-25,2
2025-08-26,2
2025-08-27,2
2025-08-28,2
2025-08-29,2
2025-08-30,2
2025-08-31,2
2025-09-01,2
2025-09-02,2
2025-09-03,2
2025-09-04,3
2025-09-05,2
2025-09-06,2
2025-09-07,2
2025-09-08,2
2025-09-09,2
2025-09-10,3
2025-09-11,2
2025-09-12,2
2025-09-13,2
2025-09-14,2
2025-09-15,2
2025-09-16,3
2025-09-17,2
2025-09-18,2
2025-09-19,3
2025-09-20,3
2025-09-21,2
2025-09-22,2
2025-09-23,2
2025-09-24,4
2025-09-25,3
2025-09-26,3
2025-09-27,3
2025-09-28,2
2025-09-29,3
2025-09-30,3
2025-10-01,3
2025-10-02,2
2025-10-03,4
2025-10-04,4
2025-10-05,4
2025-10-06,6
2025-10-07,5
2025-10-08,4
2025-10-09,5
2025-10-10,5
2025-10-11,4
2025-10-12,5
2025-10-13,7
2025-10-14,7
2025-10-15,7
2025-10-16,7
2025-10-17,7
2025-10-18,7
2025-10-19,6
2025-10-20,8
2025-10-21,11
2025-10-22,20
2025-10-23,26
2025-10-24,26
2025-10-25,39
2025-10-26,43
2025-10-27,49
2025-10-28,59
2025-10-29,64
2025-10-30,66
2025-10-31,57
2025-11-01,69
2025-11-02,58
2025-11-03,70
2025-11-04,67
2025-11-05,65
2025-11-06,83
2025-11-07,51
2025-11-08,77
2025-11-09,73
2025-11-10,64
2025-11-11,82
2025-11-12,80
2025-11-13,72
2025-11-14,56
2025-11-15,87
2025-11-16,74
2025-11-17,77
2025-11-18,71
2025-11-19,79
2025-11-20,75
2025-11-21,64
2025-11-22,89
2025-11-23,75
2025-11-24,72
2025-11-25,74
2025-11-26,79
2025-11-27,99
2025-11-28,53
2025-11-29,93
2025-11-30,73
2025-12-01,76
2025-12-02,70
2025-12-03,80
2025-12-04,71
2025-12-05,70
2025-12-06,84
2025-12-07,73
2025-12-08,75
2025-12-09,63
2025-12-10,58
2025-12-11,69
2025-12-12,53
2025-12-13,66
2025-12-14,73
2025-12-15,61
2025-12-16,61
2025-12-17,59
2025-12-18,44
2025-12-19,70
2025-12-20,70
2025-12-21,75
2025-12-22,58
2025-12-23,65
2025-12-24,92
2025-12-25,83
2025-12-26,89
2025-12-27,73
2025-12-28,79
2025-12-29,64
2025-12-30,68
2025-12-31,65
2026-01-01,50
2026-01-02,54
2026-01-03,65
2026-01-04,74
2026-01-05,64
2026-01-06,82
2026-01-07,68
2026-01-08,91
2026-01-09,51
