Time,election news
2022-01-01,3
2022-01-02,3
2022-01-03,2
2022-01-04,5
2022-01-05,5
2022-01-06,5
2022-01-07,4
2022-01-08,4
2022-01-09,4
2022-01-10,4
2022-01-11,6
2022-01-12,4
2022-01-13,5
2022-01-14,4
2022-01-15,4
2022-01-16,3
2022-01-17,2
2022-01-18,3
2022-01-19,5
2022-01-20,5
2022-01-21,6
2022-01-22,4
2022-01-23,3
2022-01-24,5
2022-01-25,4
2022-01-26,7
2022-01-27,4
2022-01-28,3
2022-01-29,4
2022-01-30,4
2022-01-31,4
2022-02-01,4
2022-02-02,5
2022-02-03,4
2022-02-04,3
2022-02-05,5
2022-02-06,4
2022-02-07,5
2022-02-08,6
2022-02-09,8
2022-02-10,4
2022-02-11,4
2022-02-12,5
2022-02-13,4
2022-02-14,6
2022-02-15,5
2022-02-16,7
2022-02-17,6
2022-02-18,5
2022-02-19,4
2022-02-20,4
2022-02-21,5
2022-02-22,6
2022-02-23,7
2022-02-24,7
2022-02-25,5
2022-02-26,6
2022-02-27,5
2022-02-28,5
2022-03-01,9
2022-03-02,33
2022-03-03,11
2022-03-04,4
2022-03-05,6
2022-03-06,5
2022-03-07,5
2022-03-08,6
2022-03-09,12
2022-03-10,28
2022-03-11,7
2022-03-12,4
2022-03-13,5
2022-03-14,4
2022-03-15,4
2022-03-16,8
2022-03-17,3
2022-03-18,4
2022-03-19,3
2022-03-20,3
2022-03-21,4
2022-03-22,4
2022-03-23,3
2022-03-24,4
2022-03-25,5
2022-03-26,2
2022-03-27,6
2022-03-28,6
2022-03-29,6
2022-03-30,4
2022-03-31,4
2022-04-01,5
2022-04-02,3
2022-04-03,6
2022-04-04,8
2022-04-05,8
2022-04-06,28
2022-04-07,8
2022-04-08,7
2022-04-09,6
2022-04-10,13
2022-04-11,12
2022-04-12,8
2022-04-13,7
2022-04-14,5
2022-04-15,4
2022-04-16,5
2022-04-17,4
2022-04-18,6
2022-04-19,5
2022-04-20,6
2022-04-21,5
2022-04-22,7
2022-04-23,9
2022-04-24,29
2022-04-25,14
2022-04-26,7
2022-04-27,7
2022-04-28,6
2022-04-29,6
2022-04-30,5
2022-05-01,6
2022-05-02,7
2022-05-03,14
2022-05-04,40
2022-05-05,9
2022-05-06,6
2022-05-07,8
2022-05-08,16
2022-05-09,35
2022-05-10,22
2022-05-11,28
2022-05-12,9
2022-05-13,8
2022-05-14,5
2022-05-15,7
2022-05-16,9
2022-05-17,21
2022-05-18,99
2022-05-19,23
2022-05-20,15
2022-05-21,13
2022-05-22,10
2022-05-23,11
2022-05-24,19
2022-05-25,73
2022-05-26,12
2022-05-27,6
2022-05-28,4
2022-05-29,6
2022-05-30,5
2022-05-31,6
2022-06-01,6
2022-06-02,4
2022-06-03,6
2022-06-04,5
2022-06-05,4
2022-06-06,7
2022-06-07,13
2022-06-08,52
2022-06-09,15
2022-06-10,10
2022-06-11,5
2022-06-12,5
2022-06-13,9
2022-06-14,8
2022-06-15,28
2022-06-16,9
2022-06-17,5
2022-06-18,3
2022-06-19,6
2022-06-20,8
2022-06-21,10
2022-06-22,19
2022-06-23,6
2022-06-24,9
2022-06-25,4
2022-06-26,7
2022-06-27,7
2022-06-28,13
2022-06-29,43
2022-06-30,7
2022-07-01,4
2022-07-02,6
2022-07-03,6
2022-07-04,4
2022-07-05,10
2022-07-06,7
2022-07-07,6
2022-07-08,6
2022-07-09,4
2022-07-10,5
2022-07-11,6
2022-07-12,4
2022-07-13,4
2022-07-14,5
2022-07-15,5
2022-07-16,6
2022-07-17,8
2022-07-18,5
2022-07-19,6
2022-07-20,16
2022-07-21,7
2022-07-22,8
2022-07-23,4
2022-07-24,5
2022-07-25,11
2022-07-26,7
2022-07-27,8
2022-07-28,6
2022-07-29,4
2022-07-30,4
2022-07-31,4
2022-08-01,6
2022-08-02,17
2022-08-03,100
2022-08-04,28
2022-08-05,28
2022-08-06,8
2022-08-07,6
2022-08-08,6
2022-08-09,13
2022-08-10,31
2022-08-11,13
2022-08-12,9
2022-08-13,9
2022-08-14,12
2022-08-15,10
2022-08-16,13
2022-08-17,47
2022-08-18,9
2022-08-19,6
2022-08-20,4
2022-08-21,6
2022-08-22,6
2022-08-23,14
2022-08-24,39
2022-08-25,7
2022-08-26,5
2022-08-27,5
2022-08-28,5
2022-08-29,5
2022-08-30,7
2022-08-31,7
2022-09-01,13
2022-09-02,7
2022-09-03,5
2022-09-04,5
2022-09-05,5
2022-09-06,8
2022-09-07,10
2022-09-08,6
2022-09-09,5
2022-09-10,3
2022-09-11,5
2022-09-12,6
2022-09-13,7
2022-09-14,12
2022-09-15,6
2022-09-16,6
2022-09-17,5
2022-09-18,3
2022-09-19,6
2022-09-20,5
2022-09-21,6
2022-09-22,4
2022-09-23,6
2022-09-24,4
2022-09-25,8
2022-09-26,7
2022-09-27,7
