Time,brendan fraser
2024-08-18,41
2024-08-19,33
2024-08-20,23
2024-08-21,22
2024-08-22,20
2024-08-23,24
2024-08-24,36
2024-08-25,54
2024-08-26,30
2024-08-27,25
2024-08-28,26
2024-08-29,33
2024-08-30,31
2024-08-31,46
2024-09-01,49
2024-09-02,47
2024-09-03,29
2024-09-04,45
2024-09-05,31
2024-09-06,25
2024-09-07,38
2024-09-08,45
2024-09-09,26
2024-09-10,17
2024-09-11,23
2024-09-12,22
2024-09-13,22
2024-09-14,38
2024-09-15,43
2024-09-16,29
2024-09-17,29
2024-09-18,28
2024-09-19,22
2024-09-20,25
2024-09-21,35
2024-09-22,34
2024-09-23,23
2024-09-24,18
2024-09-25,21
2024-09-26,20
2024-09-27,18
2024-09-28,27
2024-09-29,23
2024-09-30,19
2024-10-01,16
2024-10-02,15
2024-10-03,21
2024-10-04,19
2024-10-05,27
2024-10-06,22
2024-10-07,18
2024-10-08,16
2024-10-09,15
2024-10-10,17
2024-10-11,18
2024-10-12,38
2024-10-13,27
2024-10-14,19
2024-10-15,26
2024-10-16,19
2024-10-17,23
2024-10-18,51
2024-10-19,68
2024-10-20,52
2024-10-21,36
2024-10-22,33
2024-10-23,34
2024-10-24,30
2024-10-25,28
2024-10-26,45
2024-10-27,48
2024-10-28,26
2024-10-29,24
2024-10-30,22
2024-10-31,24
2024-11-01,43
2024-11-02,88
2024-11-03,100
2024-11-04,73
2024-11-05,46
2024-11-06,28
2024-11-07,45
2024-11-08,57
2024-11-09,71
2024-11-10,79
2024-11-11,53
2024-11-12,32
2024-11-13,38
2024-11-14,37
2024-11-15,33
2024-11-16,41
2024-11-17,57
2024-11-18,31
2024-11-19,26
2024-11-20,28
2024-11-21,32
2024-11-22,29
2024-11-23,35
2024-11-24,38
2024-11-25,30
2024-11-26,21
2024-11-27,29
2024-11-28,39
2024-11-29,42
2024-11-30,36
2024-12-01,42
2024-12-02,28
2024-12-03,40
2024-12-04,25
2024-12-05,20
2024-12-06,27
2024-12-07,34
2024-12-08,30
2024-12-09,27
2024-12-10,24
2024-12-11,25
2024-12-12,22
2024-12-13,30
2024-12-14,29
2024-12-15,34
2024-12-16,24
2024-12-17,22
2024-12-18,45
2024-12-19,96
2024-12-20,66
2024-12-21,63
2024-12-22,62
2024-12-23,59
2024-12-24,42
2024-12-25,50
2024-12-26,51
2024-12-27,47
2024-12-28,50
2024-12-29,44
2024-12-30,39
2024-12-31,35
2025-01-01,55
2025-01-02,45
2025-01-03,40
2025-01-04,48
2025-01-05,53
2025-01-06,34
2025-01-07,30
2025-01-08,27
2025-01-09,29
2025-01-10,32
2025-01-11,39
2025-01-12,50
2025-01-13,32
2025-01-14,32
2025-01-15,27
2025-01-16,25
2025-01-17,51
2025-01-18,54
2025-01-19,58
2025-01-20,50
2025-01-21,42
2025-01-22,51
2025-01-23,42
2025-01-24,35
2025-01-25,37
2025-01-26,44
2025-01-27,26
2025-01-28,26
2025-01-29,28
2025-01-30,34
2025-01-31,28
2025-02-01,38
2025-02-02,52
2025-02-03,29
2025-02-04,26
2025-02-05,23
2025-02-06,40
2025-02-07,57
2025-02-08,72
2025-02-09,55
2025-02-10,30
2025-02-11,28
2025-02-12,30
2025-02-13,32
2025-02-14,31
2025-02-15,37
2025-02-16,41
2025-02-17,31
2025-02-18,28
2025-02-19,30
2025-02-20,25
2025-02-21,23
2025-02-22,34
2025-02-23,37
2025-02-24,30
2025-02-25,23
2025-02-26,19
2025-02-27,25
2025-02-28,27
2025-03-01,61
2025-03-02,83
2025-03-03,60
2025-03-04,56
2025-03-05,35
2025-03-06,28
2025-03-07,29
2025-03-08,33
2025-03-09,36
2025-03-10,27
2025-03-11,23
2025-03-12,27
2025-03-13,23
2025-03-14,25
2025-03-15,31
2025-03-16,29
2025-03-17,18
2025-03-18,20
2025-03-19,17
2025-03-20,27
2025-03-21,22
2025-03-22,37
2025-03-23,51
2025-03-24,30
2025-03-25,24
2025-03-26,17
2025-03-27,25
2025-03-28,22
2025-03-29,27
2025-03-30,51
2025-03-31,34
2025-04-01,34
2025-04-02,30
2025-04-03,27
2025-04-04,35
2025-04-05,43
2025-04-06,39
2025-04-07,28
2025-04-08,18
2025-04-09,19
2025-04-10,21
2025-04-11,19
2025-04-12,23
2025-04-13,22
2025-04-14,16
2025-04-15,16
2025-04-16,17
2025-04-17,15
2025-04-18,18
2025-04-19,21
2025-04-20,27
2025-04-21,21
2025-04-22,14
2025-04-23,17
2025-04-24,15
2025-04-25,19
2025-04-26,29
2025-04-27,27
2025-04-28,17
2025-04-29,19
2025-04-30,39
2025-05-01,16
2025-05-02,13
2025-05-03,18
2025-05-04,23
2025-05-05,19
2025-05-06,23
2025-05-07,15
2025-05-08,23
2025-05-09,21
2025-05-10,32
2025-05-11,29
2025-05-12,22
2025-05-13,27
2025-05-14,18
