Time,brendan fraser
2023-12-22,20
2023-12-23,32
2023-12-24,32
2023-12-25,27
2023-12-26,33
2023-12-27,41
2023-12-28,27
2023-12-29,25
2023-12-30,39
2023-12-31,38
2024-01-01,49
2024-01-02,32
2024-01-03,29
2024-01-04,23
2024-01-05,25
2024-01-06,36
2024-01-07,39
2024-01-08,29
2024-01-09,20
2024-01-10,100
2024-01-11,36
2024-01-12,33
2024-01-13,43
2024-01-14,57
2024-01-15,46
2024-01-16,28
2024-01-17,27
2024-01-18,28
2024-01-19,28
2024-01-20,40
2024-01-21,47
2024-01-22,33
2024-01-23,29
2024-01-24,24
2024-01-25,25
2024-01-26,26
2024-01-27,38
2024-01-28,46
2024-01-29,26
2024-01-30,22
2024-01-31,22
2024-02-01,15
2024-02-02,17
2024-02-03,33
2024-02-04,41
2024-02-05,22
2024-02-06,23
2024-02-07,19
2024-02-08,22
2024-02-09,16
2024-02-10,27
2024-02-11,28
2024-02-12,18
2024-02-13,14
2024-02-14,14
2024-02-15,17
2024-02-16,24
2024-02-17,30
2024-02-18,36
2024-02-19,35
2024-02-20,26
2024-02-21,20
2024-02-22,24
2024-02-23,23
2024-02-24,31
2024-02-25,40
2024-02-26,28
2024-02-27,27
2024-02-28,24
2024-02-29,24
2024-03-01,21
2024-03-02,33
2024-03-03,37
2024-03-04,19
2024-03-05,15
2024-03-06,19
2024-03-07,20
2024-03-08,22
2024-03-09,30
2024-03-10,49
2024-03-11,89
2024-03-12,40
2024-03-13,28
2024-03-14,21
2024-03-15,29
2024-03-16,31
2024-03-17,38
2024-03-18,24
2024-03-19,21
2024-03-20,21
2024-03-21,19
2024-03-22,22
2024-03-23,23
2024-03-24,30
2024-03-25,24
2024-03-26,19
2024-03-27,17
2024-03-28,19
2024-03-29,18
2024-03-30,29
2024-03-31,28
2024-04-01,17
2024-04-02,17
2024-04-03,15
2024-04-04,19
2024-04-05,16
2024-04-06,26
2024-04-07,46
2024-04-08,24
2024-04-09,18
2024-04-10,15
2024-04-11,18
2024-04-12,19
2024-04-13,21
2024-04-14,27
2024-04-15,17
2024-04-16,19
2024-04-17,14
2024-04-18,18
2024-04-19,28
2024-04-20,27
2024-04-21,30
2024-04-22,20
2024-04-23,16
2024-04-24,48
2024-04-25,20
2024-04-26,18
2024-04-27,36
2024-04-28,51
2024-04-29,30
2024-04-30,20
2024-05-01,17
2024-05-02,14
2024-05-03,20
2024-05-04,26
2024-05-05,32
2024-05-06,27
2024-05-07,20
2024-05-08,16
2024-05-09,14
2024-05-10,19
2024-05-11,22
2024-05-12,23
2024-05-13,19
2024-05-14,18
2024-05-15,20
2024-05-16,16
2024-05-17,19
2024-05-18,29
2024-05-19,25
2024-05-20,17
2024-05-21,19
2024-05-22,14
2024-05-23,14
2024-05-24,20
2024-05-25,36
2024-05-26,32
2024-05-27,22
2024-05-28,17
2024-05-29,16
2024-05-30,19
2024-05-31,20
2024-06-01,25
2024-06-02,25
2024-06-03,18
2024-06-04,17
2024-06-05,17
2024-06-06,32
2024-06-07,31
2024-06-08,24
2024-06-09,28
2024-06-10,22
2024-06-11,17
2024-06-12,15
2024-06-13,16
2024-06-14,23
2024-06-15,21
2024-06-16,30
2024-06-17,18
2024-06-18,21
2024-06-19,23
2024-06-20,14
2024-06-21,15
2024-06-22,18
2024-06-23,25
2024-06-24,18
2024-06-25,17
2024-06-26,13
2024-06-27,19
2024-06-28,14
2024-06-29,19
2024-06-30,27
2024-07-01,16
2024-07-02,15
2024-07-03,14
2024-07-04,23
2024-07-05,24
2024-07-06,31
2024-07-07,29
2024-07-08,20
2024-07-09,28
2024-07-10,19
2024-07-11,25
2024-07-12,21
2024-07-13,24
2024-07-14,22
2024-07-15,20
2024-07-16,18
2024-07-17,19
2024-07-18,26
2024-07-19,20
2024-07-20,21
2024-07-21,23
2024-07-22,20
2024-07-23,25
2024-07-24,30
2024-07-25,24
2024-07-26,15
2024-07-27,23
2024-07-28,23
2024-07-29,20
2024-07-30,17
2024-07-31,14
2024-08-01,14
2024-08-02,18
2024-08-03,28
2024-08-04,35
2024-08-05,24
2024-08-06,17
2024-08-07,18
2024-08-08,17
2024-08-09,21
2024-08-10,37
2024-08-11,33
2024-08-12,22
2024-08-13,19
2024-08-14,24
2024-08-15,24
2024-08-16,23
2024-08-17,31
2024-08-18,36
2024-08-19,29
2024-08-20,20
2024-08-21,19
2024-08-22,17
2024-08-23,21
2024-08-24,32
2024-08-25,48
2024-08-26,26
2024-08-27,22
2024-08-28,22
2024-08-29,29
2024-08-30,27
2024-08-31,40
2024-09-01,43
2024-09-02,41
2024-09-03,25
2024-09-04,40
2024-09-05,27
2024-09-06,22
2024-09-07,33
2024-09-08,39
2024-09-09,23
2024-09-10,15
2024-09-11,20
2024-09-12,19
2024-09-13,20
2024-09-14,33
2024-09-15,37
2024-09-16,25
