Time,quizlet
2022-01-01,5.0
2022-01-02,7.0
2022-01-03,15.0
2022-01-04,23.0
2022-01-05,25.0
2022-01-06,22.0
2022-01-07,24.0
2022-01-08,12.0
2022-01-09,13.0
2022-01-10,32.0
2022-01-11,38.0
2022-01-12,39.0
2022-01-13,44.0
2022-01-14,29.0
2022-01-15,17.0
2022-01-16,16.0
2022-01-17,20.0
2022-01-18,39.0
2022-01-19,41.0
2022-01-20,43.0
2022-01-21,42.0
2022-01-22,25.0
2022-01-23,32.0
2022-01-24,76.0
2022-01-25,54.0
2022-01-26,49.0
2022-01-27,48.0
2022-01-28,50.0
2022-01-29,23.0
2022-01-30,28.0
2022-01-31,58.0
2022-02-01,53.0
2022-02-02,54.0
2022-02-03,54.0
2022-02-04,44.0
2022-02-05,24.0
2022-02-06,33.0
2022-02-07,66.0
2022-02-08,72.0
2022-02-09,64.0
2022-02-10,48.0
2022-02-11,50.0
2022-02-12,28.0
2022-02-13,39.0
2022-02-14,64.0
2022-02-15,74.0
2022-02-16,68.0
2022-02-17,72.0
2022-02-18,62.0
2022-02-19,38.0
2022-02-20,43.0
2022-02-21,60.0
2022-02-22,65.0
2022-02-23,64.0
2022-02-24,60.0
2022-02-25,56.0
2022-02-26,38.0
2022-02-27,47.0
2022-02-28,80.0
2022-03-01,70.0
2022-03-02,68.0
2022-03-03,68.0
2022-03-04,58.0
2022-03-05,37.0
2022-03-06,39.0
2022-03-07,71.0
2022-03-08,62.0
2022-03-09,61.0
2022-03-10,61.0
2022-03-11,52.0
2022-03-12,33.0
2022-03-13,35.0
2022-03-14,57.0
2022-03-15,56.0
2022-03-16,52.0
2022-03-17,51.0
2022-03-18,43.0
2022-03-19,28.0
2022-03-20,35.0
2022-03-21,63.0
2022-03-22,59.0
2022-03-23,58.0
2022-03-24,57.0
2022-03-25,73.0
2022-03-26,32.0
2022-03-27,42.0
2022-03-28,91.0
2022-03-29,92.0
2022-03-30,66.0
2022-03-31,90.0
2022-04-01,76.0
2022-04-02,34.0
2022-04-03,45.0
2022-04-04,95.0
2022-04-05,82.0
2022-04-06,82.0
2022-04-07,84.0
2022-04-08,73.0
2022-04-09,37.0
2022-04-10,47.0
2022-04-11,87.0
2022-04-12,76.0
2022-04-13,72.0
2022-04-14,74.0
2022-04-15,46.0
2022-04-16,33.0
2022-04-17,36.0
2022-04-18,80.0
2022-04-19,84.0
2022-04-20,82.0
2022-04-21,85.0
2022-04-22,75.0
2022-04-23,38.0
2022-04-24,45.0
2022-04-25,92.0
2022-04-26,98.0
2022-04-27,90.0
2022-04-28,93.0
2022-04-29,80.0
2022-04-30,43.0
2022-05-01,48.0
2022-05-02,100.0
2022-05-03,92.0
2022-05-04,90.0
2022-05-05,86.0
2022-05-06,66.0
2022-05-07,39.0
2022-05-08,31.0
2022-05-09,86.0
2022-05-10,83.0
2022-05-11,88.0
2022-05-12,69.0
2022-05-13,59.0
2022-05-14,19.0
2022-05-15,20.0
2022-05-16,67.0
