Time,food near me
2025-12-11,39
2025-12-12,46
2025-12-13,63
2025-12-14,58
2025-12-15,39
2025-12-16,39
2025-12-17,41
2025-12-18,42
2025-12-19,47
2025-12-20,59
2025-12-21,56
2025-12-22,46
2025-12-23,49
2025-12-24,58
2025-12-25,100
2025-12-26,62
2025-12-27,56
2025-12-28,55
2025-12-29,46
2025-12-30,48
2025-12-31,57
2026-01-01,77
2026-01-02,55
2026-01-03,57
2026-01-04,52
2026-01-05,37
2026-01-06,36
2026-01-07,38
2026-01-08,39
2026-01-09,46
2026-01-10,61
2026-01-11,54
2026-01-12,36
2026-01-13,40
2026-01-14,38
2026-01-15,39
2026-01-16,43
2026-01-17,59
2026-01-18,56
2026-01-19,47
2026-01-20,36
2026-01-21,38
2026-01-22,37
2026-01-23,43
2026-01-24,50
2026-01-25,44
2026-01-26,38
2026-01-27,35
2026-01-28,35
2026-01-29,37
2026-01-30,42
2026-01-31,60
2026-02-01,57
2026-02-02,40
2026-02-03,39
2026-02-04,41
2026-02-05,44
2026-02-06,48
2026-02-07,63
2026-02-08,56
2026-02-09,37
2026-02-10,42
2026-02-11,41
2026-02-12,41
2026-02-13,50
2026-02-14,73
2026-02-15,69
2026-02-16,53
2026-02-17,46
2026-02-18,42
2026-02-19,47
2026-02-20,51
2026-02-21,69
2026-02-22,64
2026-02-23,48
2026-02-24,44
2026-02-25,43
2026-02-26,51
2026-02-27,57
2026-02-28,64
2026-03-01,60
2026-03-02,40
2026-03-03,39
2026-03-04,41
2026-03-05,43
2026-03-06,47
2026-03-07,69
2026-03-08,68
2026-03-09,45
2026-03-10,44
2026-03-11,44
2026-03-12,44
2026-03-13,51
2026-03-14,70
2026-03-15,65
2026-03-16,44
2026-03-17,44
2026-03-18,46
2026-03-19,47
2026-03-20,54
2026-03-21,73
2026-03-22,66
2026-03-23,44
2026-03-24,41
2026-03-25,53
2026-03-26,50
2026-03-27,60
2026-03-28,82
2026-03-29,82
2026-03-30,56
2026-03-31,47
2026-04-01,43
2026-04-02,46
2026-04-03,56
2026-04-04,66
2026-04-05,66
2026-04-06,48
2026-04-07,46
2026-04-08,49
2026-04-09,49
2026-04-10,54
2026-04-11,72
2026-04-12,64
2026-04-13,38
2026-04-14,41
2026-04-15,43
2026-04-16,42
2026-04-17,48
2026-04-18,67
2026-04-19,68
2026-04-20,43
2026-04-21,43
2026-04-22,43
2026-04-23,47
2026-04-24,51
2026-04-25,67
2026-04-26,68
2026-04-27,43
2026-04-28,42
2026-04-29,42
2026-04-30,48
2026-05-01,52
2026-05-02,72
2026-05-03,68
2026-05-04,44
2026-05-05,47
2026-05-06,47
2026-05-07,45
2026-05-08,56
2026-05-09,61
2026-05-10,70
2026-05-11,42
2026-05-12,41
2026-05-13,42
2026-05-14,47
2026-05-15,51
2026-05-16,71
2026-05-17,67
2026-05-18,46
2026-05-19,42
2026-05-20,48
2026-05-21,49
2026-05-22,58
2026-05-23,71
2026-05-24,70
2026-05-25,63
2026-05-26,47
2026-05-27,47
2026-05-28,48
2026-05-29,60
2026-05-30,73
2026-05-31,70
