Time,food near me
2023-12-22,51
2023-12-23,65
2023-12-24,62
2023-12-25,100
2023-12-26,66
2023-12-27,50
2023-12-28,53
2023-12-29,57
2023-12-30,63
2023-12-31,60
2024-01-01,79
2024-01-02,47
2024-01-03,40
2024-01-04,41
2024-01-05,44
2024-01-06,58
2024-01-07,53
2024-01-08,39
2024-01-09,35
2024-01-10,35
2024-01-11,40
2024-01-12,44
2024-01-13,56
2024-01-14,56
2024-01-15,44
2024-01-16,35
2024-01-17,34
2024-01-18,34
2024-01-19,38
2024-01-20,55
2024-01-21,49
2024-01-22,34
2024-01-23,32
2024-01-24,34
2024-01-25,36
2024-01-26,39
2024-01-27,58
2024-01-28,51
2024-01-29,35
2024-01-30,32
2024-01-31,33
2024-02-01,36
2024-02-02,40
2024-02-03,61
2024-02-04,56
2024-02-05,33
2024-02-06,31
2024-02-07,34
2024-02-08,35
2024-02-09,41
2024-02-10,61
2024-02-11,49
2024-02-12,29
2024-02-13,32
2024-02-14,39
2024-02-15,41
2024-02-16,42
2024-02-17,61
2024-02-18,62
2024-02-19,45
2024-02-20,35
2024-02-21,34
2024-02-22,36
2024-02-23,43
2024-02-24,64
2024-02-25,61
2024-02-26,38
2024-02-27,33
2024-02-28,35
2024-02-29,37
2024-03-01,46
2024-03-02,65
2024-03-03,62
2024-03-04,39
2024-03-05,35
2024-03-06,37
2024-03-07,38
2024-03-08,42
2024-03-09,62
2024-03-10,63
2024-03-11,39
2024-03-12,39
2024-03-13,39
2024-03-14,40
2024-03-15,48
2024-03-16,69
2024-03-17,62
2024-03-18,39
2024-03-19,37
2024-03-20,40
2024-03-21,39
2024-03-22,44
2024-03-23,65
2024-03-24,64
2024-03-25,40
2024-03-26,39
2024-03-27,38
2024-03-28,42
2024-03-29,52
2024-03-30,64
2024-03-31,64
2024-04-01,41
2024-04-02,36
2024-04-03,38
2024-04-04,40
2024-04-05,45
2024-04-06,67
2024-04-07,61
2024-04-08,39
2024-04-09,36
2024-04-10,38
2024-04-11,37
2024-04-12,46
2024-04-13,65
2024-04-14,60
2024-04-15,38
2024-04-16,36
2024-04-17,37
2024-04-18,40
2024-04-19,47
2024-04-20,66
2024-04-21,65
2024-04-22,41
2024-04-23,39
2024-04-24,38
2024-04-25,40
2024-04-26,44
2024-04-27,65
2024-04-28,63
2024-04-29,40
2024-04-30,36
2024-05-01,37
2024-05-02,39
2024-05-03,47
2024-05-04,63
2024-05-05,62
2024-05-06,40
2024-05-07,36
2024-05-08,37
2024-05-09,45
2024-05-10,45
2024-05-11,62
2024-05-12,66
2024-05-13,40
2024-05-14,37
2024-05-15,37
2024-05-16,40
2024-05-17,46
2024-05-18,63
2024-05-19,62
2024-05-20,44
2024-05-21,39
2024-05-22,38
2024-05-23,42
2024-05-24,50
2024-05-25,68
2024-05-26,65
2024-05-27,60
2024-05-28,39
2024-05-29,38
2024-05-30,45
2024-05-31,49
2024-06-01,64
2024-06-02,64
2024-06-03,43
2024-06-04,39
2024-06-05,40
2024-06-06,43
2024-06-07,48
2024-06-08,65
2024-06-09,65
2024-06-10,46
2024-06-11,42
2024-06-12,42
2024-06-13,44
2024-06-14,51
2024-06-15,63
2024-06-16,66
2024-06-17,43
2024-06-18,42
2024-06-19,47
2024-06-20,45
2024-06-21,53
2024-06-22,66
2024-06-23,72
2024-06-24,46
2024-06-25,43
2024-06-26,41
2024-06-27,47
2024-06-28,51
2024-06-29,64
2024-06-30,64
2024-07-01,47
2024-07-02,43
2024-07-03,46
2024-07-04,62
2024-07-05,58
2024-07-06,59
2024-07-07,60
2024-07-08,44
2024-07-09,43
2024-07-10,42
2024-07-11,47
2024-07-12,49
2024-07-13,63
2024-07-14,59
2024-07-15,44
2024-07-16,40
2024-07-17,43
2024-07-18,46
2024-07-19,49
2024-07-20,64
2024-07-21,62
2024-07-22,44
2024-07-23,43
2024-07-24,42
2024-07-25,46
2024-07-26,52
2024-07-27,63
2024-07-28,64
2024-07-29,43
2024-07-30,43
2024-07-31,42
2024-08-01,44
2024-08-02,51
2024-08-03,63
2024-08-04,63
2024-08-05,44
2024-08-06,41
2024-08-07,41
2024-08-08,42
2024-08-09,45
2024-08-10,61
2024-08-11,61
2024-08-12,42
2024-08-13,38
2024-08-14,41
2024-08-15,43
2024-08-16,47
2024-08-17,63
2024-08-18,63
2024-08-19,41
2024-08-20,40
2024-08-21,38
2024-08-22,42
2024-08-23,48
2024-08-24,57
2024-08-25,63
2024-08-26,41
2024-08-27,37
2024-08-28,36
2024-08-29,39
2024-08-30,49
2024-08-31,62
2024-09-01,66
2024-09-02,61
2024-09-03,35
2024-09-04,34
2024-09-05,34
2024-09-06,39
2024-09-07,57
2024-09-08,53
2024-09-09,36
2024-09-10,33
2024-09-11,33
2024-09-12,37
2024-09-13,43
2024-09-14,59
2024-09-15,50
2024-09-16,36
