Time,food near me
2022-08-29,47
2022-08-30,42
2022-08-31,43
2022-09-01,47
2022-09-02,53
2022-09-03,68
2022-09-04,73
2022-09-05,71
2022-09-06,42
2022-09-07,42
2022-09-08,41
2022-09-09,48
2022-09-10,71
2022-09-11,61
2022-09-12,43
2022-09-13,42
2022-09-14,44
2022-09-15,44
2022-09-16,51
2022-09-17,72
2022-09-18,67
2022-09-19,45
2022-09-20,42
2022-09-21,41
2022-09-22,44
2022-09-23,50
2022-09-24,73
2022-09-25,67
2022-09-26,44
2022-09-27,41
2022-09-28,41
2022-09-29,48
2022-09-30,53
2022-10-01,67
2022-10-02,64
2022-10-03,43
2022-10-04,42
2022-10-05,42
2022-10-06,42
2022-10-07,53
2022-10-08,74
2022-10-09,70
2022-10-10,49
2022-10-11,42
2022-10-12,41
2022-10-13,44
2022-10-14,52
2022-10-15,70
2022-10-16,64
2022-10-17,43
2022-10-18,43
2022-10-19,40
2022-10-20,43
2022-10-21,51
2022-10-22,70
2022-10-23,67
2022-10-24,41
2022-10-25,40
2022-10-26,41
2022-10-27,42
2022-10-28,47
2022-10-29,66
2022-10-30,71
2022-10-31,39
2022-11-01,42
2022-11-02,40
2022-11-03,42
2022-11-04,50
2022-11-05,64
2022-11-06,58
2022-11-07,39
2022-11-08,39
2022-11-09,37
2022-11-10,40
2022-11-11,50
2022-11-12,66
2022-11-13,62
2022-11-14,40
2022-11-15,39
2022-11-16,38
2022-11-17,41
2022-11-18,47
2022-11-19,64
2022-11-20,62
2022-11-21,43
2022-11-22,43
2022-11-23,48
2022-11-24,59
2022-11-25,46
2022-11-26,48
2022-11-27,49
2022-11-28,36
2022-11-29,35
2022-11-30,35
2022-12-01,37
2022-12-02,45
2022-12-03,58
2022-12-04,59
2022-12-05,39
2022-12-06,37
2022-12-07,38
2022-12-08,40
2022-12-09,44
2022-12-10,63
2022-12-11,60
2022-12-12,40
2022-12-13,40
2022-12-14,38
2022-12-15,39
2022-12-16,47
2022-12-17,61
2022-12-18,60
2022-12-19,47
2022-12-20,44
2022-12-21,47
2022-12-22,45
2022-12-23,50
2022-12-24,57
2022-12-25,100
2022-12-26,70
2022-12-27,50
2022-12-28,52
2022-12-29,51
2022-12-30,57
2022-12-31,62
2023-01-01,78
2023-01-02,56
2023-01-03,40
2023-01-04,40
2023-01-05,39
2023-01-06,45
2023-01-07,61
2023-01-08,58
2023-01-09,38
2023-01-10,37
2023-01-11,36
2023-01-12,39
2023-01-13,45
2023-01-14,63
2023-01-15,60
2023-01-16,49
2023-01-17,36
2023-01-18,36
2023-01-19,39
2023-01-20,43
2023-01-21,63
2023-01-22,58
2023-01-23,39
2023-01-24,37
2023-01-25,35
2023-01-26,39
2023-01-27,45
2023-01-28,65
2023-01-29,56
2023-01-30,37
2023-01-31,37
2023-02-01,37
2023-02-02,39
2023-02-03,45
2023-02-04,64
2023-02-05,62
2023-02-06,39
2023-02-07,38
2023-02-08,36
2023-02-09,38
2023-02-10,45
2023-02-11,67
2023-02-12,55
2023-02-13,35
2023-02-14,42
2023-02-15,44
2023-02-16,40
2023-02-17,50
2023-02-18,67
2023-02-19,70
2023-02-20,50
2023-02-21,41
2023-02-22,40
2023-02-23,41
2023-02-24,49
2023-02-25,68
2023-02-26,67
2023-02-27,43
2023-02-28,39
2023-03-01,40
2023-03-02,41
2023-03-03,47
2023-03-04,67
2023-03-05,68
2023-03-06,43
2023-03-07,41
2023-03-08,39
2023-03-09,42
2023-03-10,47
2023-03-11,67
2023-03-12,68
2023-03-13,46
2023-03-14,43
2023-03-15,43
2023-03-16,48
2023-03-17,52
2023-03-18,71
2023-03-19,67
2023-03-20,43
2023-03-21,44
2023-03-22,42
2023-03-23,46
2023-03-24,55
2023-03-25,69
2023-03-26,68
2023-03-27,45
2023-03-28,42
2023-03-29,42
2023-03-30,43
2023-03-31,51
2023-04-01,71
2023-04-02,71
2023-04-03,44
2023-04-04,43
2023-04-05,42
2023-04-06,47
2023-04-07,55
2023-04-08,66
2023-04-09,65
2023-04-10,46
2023-04-11,41
2023-04-12,43
2023-04-13,44
2023-04-14,52
2023-04-15,75
2023-04-16,68
2023-04-17,42
2023-04-18,40
2023-04-19,41
2023-04-20,45
2023-04-21,52
2023-04-22,73
2023-04-23,69
2023-04-24,43
2023-04-25,41
2023-04-26,41
2023-04-27,43
2023-04-28,49
2023-04-29,70
2023-04-30,65
2023-05-01,43
2023-05-02,40
2023-05-03,43
2023-05-04,43
2023-05-05,50
2023-05-06,70
2023-05-07,64
2023-05-08,43
2023-05-09,39
2023-05-10,44
2023-05-11,44
2023-05-12,49
2023-05-13,70
2023-05-14,70
2023-05-15,44
2023-05-16,44
2023-05-17,43
2023-05-18,46
2023-05-19,52
2023-05-20,69
2023-05-21,70
2023-05-22,47
2023-05-23,43
2023-05-24,46
2023-05-25,49
