Time,usa basketball
2022-08-29,12
2022-08-30,15
2022-08-31,9
2022-09-01,11
2022-09-02,17
2022-09-03,14
2022-09-04,23
2022-09-05,23
2022-09-06,10
2022-09-07,10
2022-09-08,18
2022-09-09,14
2022-09-10,19
2022-09-11,16
2022-09-12,10
2022-09-13,11
2022-09-14,14
2022-09-15,13
2022-09-16,11
2022-09-17,9
2022-09-18,9
2022-09-19,12
2022-09-20,11
2022-09-21,13
2022-09-22,25
2022-09-23,24
2022-09-24,31
2022-09-25,21
2022-09-26,26
2022-09-27,23
2022-09-28,17
2022-09-29,30
2022-09-30,28
2022-10-01,44
2022-10-02,14
2022-10-03,9
2022-10-04,8
2022-10-05,10
2022-10-06,11
2022-10-07,26
2022-10-08,69
2022-10-09,70
2022-10-10,57
2022-10-11,50
2022-10-12,40
2022-10-13,42
2022-10-14,29
2022-10-15,30
2022-10-16,22
2022-10-17,18
2022-10-18,16
2022-10-19,16
2022-10-20,15
2022-10-21,11
2022-10-22,13
2022-10-23,15
2022-10-24,12
2022-10-25,14
2022-10-26,14
2022-10-27,11
2022-10-28,9
2022-10-29,11
2022-10-30,11
2022-10-31,8
2022-11-01,12
2022-11-02,13
2022-11-03,10
2022-11-04,12
2022-11-05,15
2022-11-06,12
2022-11-07,13
2022-11-08,16
2022-11-09,10
2022-11-10,14
2022-11-11,18
2022-11-12,20
2022-11-13,18
2022-11-14,12
2022-11-15,20
2022-11-16,18
2022-11-17,17
2022-11-18,20
2022-11-19,16
2022-11-20,17
2022-11-21,62
2022-11-22,27
2022-11-23,23
2022-11-24,31
2022-11-25,90
2022-11-26,41
2022-11-27,23
2022-11-28,27
2022-11-29,61
2022-11-30,45
2022-12-01,30
2022-12-02,30
2022-12-03,78
2022-12-04,19
2022-12-05,16
2022-12-06,16
2022-12-07,14
2022-12-08,17
2022-12-09,17
2022-12-10,20
2022-12-11,15
2022-12-12,15
2022-12-13,16
2022-12-14,12
2022-12-15,13
2022-12-16,11
2022-12-17,14
2022-12-18,14
2022-12-19,16
2022-12-20,12
2022-12-21,13
2022-12-22,15
2022-12-23,14
2022-12-24,10
2022-12-25,8
2022-12-26,12
2022-12-27,10
2022-12-28,7
2022-12-29,14
2022-12-30,13
2022-12-31,10
2023-01-01,13
2023-01-02,12
2023-01-03,12
2023-01-04,13
2023-01-05,16
2023-01-06,13
2023-01-07,16
2023-01-08,13
2023-01-09,13
2023-01-10,12
2023-01-11,11
2023-01-12,16
2023-01-13,11
2023-01-14,18
2023-01-15,16
2023-01-16,16
2023-01-17,15
2023-01-18,14
2023-01-19,13
2023-01-20,13
2023-01-21,17
2023-01-22,15
2023-01-23,14
2023-01-24,12
2023-01-25,13
2023-01-26,15
2023-01-27,13
2023-01-28,17
2023-01-29,23
2023-01-30,12
2023-01-31,14
2023-02-01,14
2023-02-02,14
2023-02-03,14
2023-02-04,19
2023-02-05,21
2023-02-06,13
2023-02-07,14
2023-02-08,16
2023-02-09,14
2023-02-10,15
2023-02-11,19
2023-02-12,16
2023-02-13,13
2023-02-14,15
2023-02-15,14
2023-02-16,15
2023-02-17,16
2023-02-18,25
2023-02-19,22
2023-02-20,18
2023-02-21,14
2023-02-22,18
2023-02-23,16
2023-02-24,25
2023-02-25,19
2023-02-26,24
2023-02-27,24
2023-02-28,18
2023-03-01,15
2023-03-02,19
2023-03-03,20
2023-03-04,24
2023-03-05,26
2023-03-06,25
2023-03-07,22
2023-03-08,31
2023-03-09,42
2023-03-10,43
2023-03-11,44
2023-03-12,62
2023-03-13,44
2023-03-14,31
2023-03-15,24
2023-03-16,40
2023-03-17,33
2023-03-18,51
2023-03-19,100
2023-03-20,61
2023-03-21,34
2023-03-22,45
2023-03-23,19
2023-03-24,32
2023-03-25,36
2023-03-26,44
2023-03-27,21
2023-03-28,21
2023-03-29,23
2023-03-30,15
2023-03-31,19
2023-04-01,29
2023-04-02,30
2023-04-03,18
2023-04-04,16
2023-04-05,12
2023-04-06,10
2023-04-07,12
2023-04-08,13
2023-04-09,38
2023-04-10,15
2023-04-11,11
2023-04-12,7
2023-04-13,9
2023-04-14,10
2023-04-15,13
2023-04-16,9
2023-04-17,12
2023-04-18,10
2023-04-19,10
2023-04-20,11
2023-04-21,10
2023-04-22,8
2023-04-23,10
2023-04-24,9
2023-04-25,9
2023-04-26,11
2023-04-27,9
2023-04-28,11
2023-04-29,10
2023-04-30,12
2023-05-01,10
2023-05-02,12
2023-05-03,9
2023-05-04,11
2023-05-05,10
2023-05-06,14
2023-05-07,14
2023-05-08,9
2023-05-09,8
2023-05-10,9
2023-05-11,8
2023-05-12,12
2023-05-13,13
2023-05-14,15
2023-05-15,17
2023-05-16,18
2023-05-17,13
2023-05-18,13
2023-05-19,12
2023-05-20,12
2023-05-21,16
2023-05-22,15
2023-05-23,12
2023-05-24,17
2023-05-25,17
