Time,paramount plus
2022-08-29,25
2022-08-30,20
2022-08-31,20
2022-09-01,24
2022-09-02,23
2022-09-03,30
2022-09-04,31
2022-09-05,30
2022-09-06,34
2022-09-07,31
2022-09-08,28
2022-09-09,27
2022-09-10,31
2022-09-11,69
2022-09-12,23
2022-09-13,30
2022-09-14,28
2022-09-15,24
2022-09-16,21
2022-09-17,25
2022-09-18,49
2022-09-19,22
2022-09-20,21
2022-09-21,19
2022-09-22,23
2022-09-23,20
2022-09-24,24
2022-09-25,46
2022-09-26,19
2022-09-27,18
2022-09-28,19
2022-09-29,20
2022-09-30,21
2022-10-01,29
2022-10-02,41
2022-10-03,20
2022-10-04,24
2022-10-05,24
2022-10-06,22
2022-10-07,20
2022-10-08,26
2022-10-09,36
2022-10-10,22
2022-10-11,23
2022-10-12,24
2022-10-13,21
2022-10-14,20
2022-10-15,27
2022-10-16,40
2022-10-17,20
2022-10-18,18
2022-10-19,17
2022-10-20,18
2022-10-21,17
2022-10-22,21
2022-10-23,32
2022-10-24,18
2022-10-25,21
2022-10-26,21
2022-10-27,20
2022-10-28,17
2022-10-29,22
2022-10-30,29
2022-10-31,19
2022-11-01,22
2022-11-02,22
2022-11-03,22
2022-11-04,20
2022-11-05,27
2022-11-06,31
2022-11-07,22
2022-11-08,19
2022-11-09,17
2022-11-10,20
2022-11-11,24
2022-11-12,29
2022-11-13,78
2022-11-14,100
2022-11-15,38
2022-11-16,29
2022-11-17,25
2022-11-18,24
2022-11-19,35
2022-11-20,48
2022-11-21,39
2022-11-22,30
2022-11-23,31
2022-11-24,57
2022-11-25,49
2022-11-26,44
2022-11-27,53
2022-11-28,48
2022-11-29,31
2022-11-30,27
2022-12-01,26
2022-12-02,25
2022-12-03,29
2022-12-04,41
2022-12-05,30
2022-12-06,24
2022-12-07,23
2022-12-08,23
2022-12-09,23
2022-12-10,29
2022-12-11,38
2022-12-12,29
2022-12-13,24
2022-12-14,24
2022-12-15,25
2022-12-16,24
2022-12-17,31
2022-12-18,43
2022-12-19,45
2022-12-20,40
2022-12-21,31
2022-12-22,33
2022-12-23,36
2022-12-24,44
2022-12-25,45
2022-12-26,54
2022-12-27,40
2022-12-28,38
2022-12-29,34
2022-12-30,39
2022-12-31,38
2023-01-01,61
2023-01-02,64
2023-01-03,35
2023-01-04,32
2023-01-05,28
2023-01-06,28
2023-01-07,37
2023-01-08,52
2023-01-09,36
2023-01-10,29
2023-01-11,28
2023-01-12,27
2023-01-13,30
2023-01-14,38
2023-01-15,54
2023-01-16,38
2023-01-17,30
2023-01-18,28
2023-01-19,29
2023-01-20,26
2023-01-21,33
2023-01-22,55
2023-01-23,28
2023-01-24,27
2023-01-25,26
2023-01-26,28
2023-01-27,28
2023-01-28,35
2023-01-29,57
2023-01-30,42
2023-01-31,29
2023-02-01,28
2023-02-02,25
2023-02-03,27
2023-02-04,34
2023-02-05,39
2023-02-06,44
2023-02-07,27
2023-02-08,23
2023-02-09,23
2023-02-10,25
2023-02-11,32
2023-02-12,42
2023-02-13,24
2023-02-14,34
2023-02-15,29
2023-02-16,32
2023-02-17,27
2023-02-18,32
2023-02-19,33
2023-02-20,34
2023-02-21,34
2023-02-22,28
2023-02-23,30
2023-02-24,25
2023-02-25,28
2023-02-26,31
2023-02-27,28
2023-02-28,24
2023-03-01,27
2023-03-02,24
2023-03-03,25
2023-03-04,28
2023-03-05,30
2023-03-06,26
2023-03-07,26
2023-03-08,28
2023-03-09,28
2023-03-10,25
2023-03-11,30
2023-03-12,32
2023-03-13,27
2023-03-14,27
2023-03-15,30
2023-03-16,32
2023-03-17,27
2023-03-18,32
2023-03-19,33
2023-03-20,24
2023-03-21,21
2023-03-22,22
2023-03-23,23
2023-03-24,25
2023-03-25,29
2023-03-26,32
2023-03-27,24
2023-03-28,22
2023-03-29,21
2023-03-30,22
2023-03-31,22
2023-04-01,30
2023-04-02,29
2023-04-03,24
2023-04-04,24
2023-04-05,21
2023-04-06,25
2023-04-07,30
2023-04-08,27
2023-04-09,29
2023-04-10,21
2023-04-11,26
2023-04-12,25
2023-04-13,26
2023-04-14,22
2023-04-15,26
2023-04-16,26
2023-04-17,21
2023-04-18,24
2023-04-19,24
2023-04-20,23
2023-04-21,21
2023-04-22,27
2023-04-23,27
2023-04-24,21
2023-04-25,21
2023-04-26,23
2023-04-27,23
2023-04-28,23
2023-04-29,27
2023-04-30,31
2023-05-01,23
2023-05-02,22
2023-05-03,21
2023-05-04,20
2023-05-05,19
2023-05-06,24
2023-05-07,25
2023-05-08,21
2023-05-09,25
2023-05-10,21
2023-05-11,19
2023-05-12,20
2023-05-13,24
2023-05-14,26
2023-05-15,20
2023-05-16,23
2023-05-17,26
2023-05-18,22
2023-05-19,23
2023-05-20,32
2023-05-21,30
2023-05-22,22
2023-05-23,21
2023-05-24,22
2023-05-25,23
