Time,coolio
2023-04-26,18
2023-04-27,19
2023-04-28,21
2023-04-29,18
2023-04-30,18
2023-05-01,15
2023-05-02,16
2023-05-03,19
2023-05-04,15
2023-05-05,18
2023-05-06,23
2023-05-07,16
2023-05-08,15
2023-05-09,15
2023-05-10,15
2023-05-11,17
2023-05-12,17
2023-05-13,21
2023-05-14,18
2023-05-15,15
2023-05-16,13
2023-05-17,17
2023-05-18,14
2023-05-19,16
2023-05-20,16
2023-05-21,18
2023-05-22,14
2023-05-23,17
2023-05-24,17
2023-05-25,15
2023-05-26,17
2023-05-27,17
2023-05-28,22
2023-05-29,20
2023-05-30,14
2023-05-31,12
2023-06-01,15
2023-06-02,17
2023-06-03,19
2023-06-04,22
2023-06-05,17
2023-06-06,14
2023-06-07,14
2023-06-08,13
2023-06-09,14
2023-06-10,18
2023-06-11,16
2023-06-12,13
2023-06-13,13
2023-06-14,16
2023-06-15,18
2023-06-16,18
2023-06-17,20
2023-06-18,16
2023-06-19,14
2023-06-20,12
2023-06-21,14
2023-06-22,14
2023-06-23,13
2023-06-24,17
2023-06-25,20
2023-06-26,15
2023-06-27,14
2023-06-28,14
2023-06-29,14
2023-06-30,19
2023-07-01,22
2023-07-02,19
2023-07-03,14
2023-07-04,17
2023-07-05,15
2023-07-06,15
2023-07-07,16
2023-07-08,20
2023-07-09,21
2023-07-10,16
2023-07-11,13
2023-07-12,14
2023-07-13,100
2023-07-14,40
2023-07-15,29
2023-07-16,22
2023-07-17,17
2023-07-18,15
2023-07-19,18
2023-07-20,16
2023-07-21,15
2023-07-22,22
2023-07-23,21
2023-07-24,14
2023-07-25,14
2023-07-26,12
2023-07-27,17
2023-07-28,14
2023-07-29,17
2023-07-30,24
2023-07-31,14
2023-08-01,26
2023-08-02,21
2023-08-03,18
2023-08-04,15
2023-08-05,19
2023-08-06,19
2023-08-07,18
2023-08-08,17
2023-08-09,15
2023-08-10,15
2023-08-11,21
2023-08-12,20
2023-08-13,20
2023-08-14,14
2023-08-15,12
2023-08-16,16
2023-08-17,55
2023-08-18,29
2023-08-19,30
2023-08-20,45
2023-08-21,18
2023-08-22,18
2023-08-23,14
2023-08-24,15
2023-08-25,14
2023-08-26,22
2023-08-27,18
2023-08-28,51
2023-08-29,70
2023-08-30,59
2023-08-31,38
2023-09-01,25
2023-09-02,27
2023-09-03,32
2023-09-04,24
2023-09-05,19
2023-09-06,18
2023-09-07,20
2023-09-08,18
2023-09-09,23
2023-09-10,18
2023-09-11,19
2023-09-12,15
2023-09-13,15
2023-09-14,18
2023-09-15,18
2023-09-16,17
2023-09-17,19
2023-09-18,13
2023-09-19,16
2023-09-20,15
2023-09-21,17
2023-09-22,22
2023-09-23,22
2023-09-24,22
2023-09-25,15
2023-09-26,14
2023-09-27,18
2023-09-28,20
2023-09-29,24
2023-09-30,23
2023-10-01,19
2023-10-02,13
2023-10-03,12
2023-10-04,17
2023-10-05,18
2023-10-06,18
2023-10-07,20
2023-10-08,16
2023-10-09,14
2023-10-10,12
2023-10-11,17
2023-10-12,13
2023-10-13,11
2023-10-14,18
2023-10-15,18
2023-10-16,12
2023-10-17,14
2023-10-18,14
2023-10-19,16
2023-10-20,16
2023-10-21,15
2023-10-22,18
2023-10-23,13
2023-10-24,11
2023-10-25,17
2023-10-26,16
2023-10-27,13
2023-10-28,15
2023-10-29,18
2023-10-30,13
2023-10-31,13
2023-11-01,9
2023-11-02,17
2023-11-03,15
2023-11-04,15
2023-11-05,13
2023-11-06,11
2023-11-07,11
2023-11-08,13
2023-11-09,12
2023-11-10,16
2023-11-11,12
2023-11-12,13
2023-11-13,12
2023-11-14,13
2023-11-15,14
2023-11-16,15
2023-11-17,14
2023-11-18,16
2023-11-19,17
2023-11-20,12
2023-11-21,15
2023-11-22,16
2023-11-23,16
2023-11-24,17
2023-11-25,11
2023-11-26,17
2023-11-27,12
2023-11-28,13
2023-11-29,12
2023-11-30,12
2023-12-01,13
2023-12-02,17
2023-12-03,15
2023-12-04,11
2023-12-05,13
2023-12-06,10
2023-12-07,14
2023-12-08,15
2023-12-09,17
2023-12-10,19
2023-12-11,15
2023-12-12,15
2023-12-13,14
2023-12-14,13
2023-12-15,15
2023-12-16,17
2023-12-17,19
2023-12-18,12
2023-12-19,13
2023-12-20,16
2023-12-21,18
2023-12-22,14
2023-12-23,14
2023-12-24,18
2023-12-25,19
2023-12-26,12
2023-12-27,13
2023-12-28,15
2023-12-29,14
2023-12-30,18
2023-12-31,19
2024-01-01,40
2024-01-02,15
2024-01-03,13
2024-01-04,12
2024-01-05,15
2024-01-06,18
2024-01-07,18
2024-01-08,11
2024-01-09,16
2024-01-10,16
2024-01-11,13
2024-01-12,16
2024-01-13,15
2024-01-14,14
2024-01-15,14
2024-01-16,14
2024-01-17,12
2024-01-18,13
2024-01-19,14
2024-01-20,17
