Time,fortnite
2023-04-26,6
2023-04-27,7
2023-04-28,7
2023-04-29,8
2023-04-30,9
2023-05-01,7
2023-05-02,9
2023-05-03,8
2023-05-04,8
2023-05-05,8
2023-05-06,9
2023-05-07,9
2023-05-08,8
2023-05-09,8
2023-05-10,8
2023-05-11,7
2023-05-12,8
2023-05-13,10
2023-05-14,10
2023-05-15,8
2023-05-16,8
2023-05-17,10
2023-05-18,11
2023-05-19,10
2023-05-20,11
2023-05-21,12
2023-05-22,9
2023-05-23,10
2023-05-24,8
2023-05-25,8
2023-05-26,8
2023-05-27,9
2023-05-28,10
2023-05-29,10
2023-05-30,8
2023-05-31,8
2023-06-01,8
2023-06-02,8
2023-06-03,9
2023-06-04,10
2023-06-05,9
2023-06-06,9
2023-06-07,9
2023-06-08,11
2023-06-09,20
2023-06-10,13
2023-06-11,12
2023-06-12,10
2023-06-13,10
2023-06-14,9
2023-06-15,9
2023-06-16,10
2023-06-17,10
2023-06-18,10
2023-06-19,9
2023-06-20,12
2023-06-21,10
2023-06-22,8
2023-06-23,8
2023-06-24,9
2023-06-25,10
2023-06-26,9
2023-06-27,9
2023-06-28,8
2023-06-29,9
2023-06-30,9
2023-07-01,9
2023-07-02,9
2023-07-03,9
2023-07-04,10
2023-07-05,8
2023-07-06,8
2023-07-07,9
2023-07-08,10
2023-07-09,10
2023-07-10,8
2023-07-11,8
2023-07-12,9
2023-07-13,8
2023-07-14,9
2023-07-15,9
2023-07-16,9
2023-07-17,8
2023-07-18,9
2023-07-19,8
2023-07-20,8
2023-07-21,8
2023-07-22,10
2023-07-23,9
2023-07-24,8
2023-07-25,9
2023-07-26,12
2023-07-27,10
2023-07-28,9
2023-07-29,10
2023-07-30,10
2023-07-31,8
2023-08-01,9
2023-08-02,9
2023-08-03,9
2023-08-04,8
2023-08-05,9
2023-08-06,9
2023-08-07,8
2023-08-08,10
2023-08-09,9
2023-08-10,8
2023-08-11,8
2023-08-12,9
2023-08-13,9
2023-08-14,8
2023-08-15,8
2023-08-16,8
2023-08-17,8
2023-08-18,8
2023-08-19,9
2023-08-20,10
2023-08-21,8
2023-08-22,9
2023-08-23,9
2023-08-24,11
2023-08-25,19
2023-08-26,14
2023-08-27,13
2023-08-28,9
2023-08-29,9
2023-08-30,8
2023-08-31,8
2023-09-01,8
2023-09-02,9
2023-09-03,10
2023-09-04,11
2023-09-05,8
2023-09-06,7
2023-09-07,7
2023-09-08,7
2023-09-09,9
2023-09-10,10
2023-09-11,7
2023-09-12,7
2023-09-13,7
2023-09-14,6
2023-09-15,7
2023-09-16,8
2023-09-17,9
2023-09-18,7
2023-09-19,7
2023-09-20,9
2023-09-21,10
2023-09-22,9
2023-09-23,9
2023-09-24,10
2023-09-25,8
2023-09-26,8
2023-09-27,7
2023-09-28,7
2023-09-29,7
2023-09-30,9
2023-10-01,9
2023-10-02,8
2023-10-03,8
2023-10-04,7
2023-10-05,6
2023-10-06,7
2023-10-07,8
2023-10-08,9
2023-10-09,7
2023-10-10,12
2023-10-11,11
2023-10-12,9
2023-10-13,9
2023-10-14,11
2023-10-15,11
2023-10-16,9
2023-10-17,8
2023-10-18,8
2023-10-19,8
2023-10-20,8
2023-10-21,9
2023-10-22,11
2023-10-23,8
2023-10-24,9
2023-10-25,9
2023-10-26,8
2023-10-27,9
2023-10-28,10
2023-10-29,10
2023-10-30,9
2023-10-31,10
2023-11-01,12
2023-11-02,18
2023-11-03,48
2023-11-04,32
2023-11-05,28
2023-11-06,24
2023-11-07,22
2023-11-08,20
2023-11-09,22
2023-11-10,22
2023-11-11,24
2023-11-12,24
2023-11-13,21
2023-11-14,19
2023-11-15,18
2023-11-16,23
2023-11-17,23
2023-11-18,30
2023-11-19,25
2023-11-20,22
2023-11-21,24
2023-11-22,26
2023-11-23,28
2023-11-24,25
2023-11-25,26
2023-11-26,26
2023-11-27,24
2023-11-28,23
2023-11-29,23
2023-11-30,26
2023-12-01,31
2023-12-02,95
2023-12-03,100
2023-12-04,47
2023-12-05,34
2023-12-06,30
2023-12-07,43
2023-12-08,43
2023-12-09,56
2023-12-10,54
2023-12-11,36
2023-12-12,31
2023-12-13,29
2023-12-14,28
2023-12-15,28
2023-12-16,32
2023-12-17,33
2023-12-18,25
2023-12-19,27
2023-12-20,25
2023-12-21,26
2023-12-22,26
2023-12-23,28
2023-12-24,26
2023-12-25,34
2023-12-26,27
2023-12-27,25
2023-12-28,30
2023-12-29,24
2023-12-30,23
2023-12-31,24
2024-01-01,23
2024-01-02,20
2024-01-03,21
2024-01-04,19
2024-01-05,18
2024-01-06,20
2024-01-07,21
2024-01-08,18
2024-01-09,17
2024-01-10,16
2024-01-11,16
2024-01-12,17
2024-01-13,20
2024-01-14,20
2024-01-15,19
2024-01-16,18
2024-01-17,18
2024-01-18,17
2024-01-19,17
2024-01-20,20
