Time,craigslist
2023-12-22,89
2023-12-23,94
2023-12-24,84
2023-12-25,81
2023-12-26,98
2023-12-27,95
2023-12-28,96
2023-12-29,98
2023-12-30,98
2023-12-31,91
2024-01-01,90
2024-01-02,96
2024-01-03,99
2024-01-04,93
2024-01-05,92
2024-01-06,100
2024-01-07,96
2024-01-08,87
2024-01-09,89
2024-01-10,88
2024-01-11,87
2024-01-12,89
2024-01-13,95
2024-01-14,92
2024-01-15,90
2024-01-16,89
2024-01-17,87
2024-01-18,82
2024-01-19,87
2024-01-20,98
2024-01-21,96
2024-01-22,89
2024-01-23,88
2024-01-24,85
2024-01-25,89
2024-01-26,78
2024-01-27,83
2024-01-28,82
2024-01-29,71
2024-01-30,75
2024-01-31,72
2024-02-01,71
2024-02-02,71
2024-02-03,80
2024-02-04,81
2024-02-05,70
2024-02-06,79
2024-02-07,72
2024-02-08,71
2024-02-09,72
2024-02-10,82
2024-02-11,75
2024-02-12,65
2024-02-13,71
2024-02-14,73
2024-02-15,71
2024-02-16,74
2024-02-17,84
2024-02-18,87
2024-02-19,83
2024-02-20,78
2024-02-21,76
2024-02-22,75
2024-02-23,74
2024-02-24,86
2024-02-25,82
2024-02-26,75
2024-02-27,72
2024-02-28,73
2024-02-29,76
2024-03-01,73
2024-03-02,82
2024-03-03,81
2024-03-04,71
2024-03-05,75
2024-03-06,72
2024-03-07,74
2024-03-08,71
2024-03-09,83
2024-03-10,84
2024-03-11,71
2024-03-12,75
2024-03-13,72
2024-03-14,69
2024-03-15,73
2024-03-16,81
2024-03-17,85
2024-03-18,76
2024-03-19,73
2024-03-20,70
2024-03-21,71
2024-03-22,70
2024-03-23,82
2024-03-24,84
2024-03-25,70
2024-03-26,71
2024-03-27,73
2024-03-28,74
2024-03-29,71
2024-03-30,75
2024-03-31,72
2024-04-01,73
2024-04-02,74
2024-04-03,73
2024-04-04,71
2024-04-05,71
2024-04-06,77
2024-04-07,76
2024-04-08,65
2024-04-09,69
2024-04-10,72
2024-04-11,68
2024-04-12,73
2024-04-13,77
2024-04-14,79
2024-04-15,70
2024-04-16,71
2024-04-17,73
2024-04-18,67
2024-04-19,68
2024-04-20,80
2024-04-21,81
2024-04-22,70
2024-04-23,73
2024-04-24,70
2024-04-25,71
2024-04-26,71
2024-04-27,78
2024-04-28,83
2024-04-29,70
2024-04-30,75
2024-05-01,66
2024-05-02,70
2024-05-03,71
2024-05-04,76
2024-05-05,74
2024-05-06,72
2024-05-07,70
2024-05-08,69
2024-05-09,71
2024-05-10,70
2024-05-11,73
2024-05-12,74
2024-05-13,71
2024-05-14,72
2024-05-15,69
2024-05-16,67
2024-05-17,68
2024-05-18,76
2024-05-19,80
2024-05-20,69
2024-05-21,71
2024-05-22,69
2024-05-23,74
2024-05-24,71
2024-05-25,78
2024-05-26,73
2024-05-27,79
2024-05-28,69
2024-05-29,73
2024-05-30,75
2024-05-31,71
2024-06-01,79
2024-06-02,80
2024-06-03,69
2024-06-04,74
2024-06-05,73
2024-06-06,72
2024-06-07,69
2024-06-08,77
2024-06-09,76
2024-06-10,76
2024-06-11,74
2024-06-12,73
2024-06-13,73
2024-06-14,71
2024-06-15,74
2024-06-16,71
2024-06-17,76
2024-06-18,68
2024-06-19,76
2024-06-20,70
2024-06-21,73
2024-06-22,73
2024-06-23,75
2024-06-24,72
2024-06-25,74
2024-06-26,66
2024-06-27,69
2024-06-28,68
2024-06-29,73
2024-06-30,75
2024-07-01,73
2024-07-02,74
2024-07-03,70
2024-07-04,71
2024-07-05,72
2024-07-06,78
2024-07-07,73
2024-07-08,72
2024-07-09,70
2024-07-10,69
2024-07-11,68
2024-07-12,69
2024-07-13,75
2024-07-14,64
2024-07-15,71
2024-07-16,69
2024-07-17,72
2024-07-18,70
2024-07-19,68
2024-07-20,71
2024-07-21,73
2024-07-22,71
2024-07-23,72
2024-07-24,70
2024-07-25,70
2024-07-26,67
2024-07-27,70
2024-07-28,72
2024-07-29,66
2024-07-30,70
2024-07-31,68
2024-08-01,67
2024-08-02,67
2024-08-03,71
2024-08-04,74
2024-08-05,66
2024-08-06,68
2024-08-07,70
2024-08-08,66
2024-08-09,66
2024-08-10,71
2024-08-11,73
2024-08-12,70
2024-08-13,70
2024-08-14,68
2024-08-15,71
2024-08-16,67
2024-08-17,73
2024-08-18,74
2024-08-19,65
2024-08-20,65
2024-08-21,65
2024-08-22,67
2024-08-23,65
2024-08-24,71
2024-08-25,72
2024-08-26,67
2024-08-27,66
2024-08-28,66
2024-08-29,62
2024-08-30,66
2024-08-31,67
2024-09-01,68
2024-09-02,71
2024-09-03,66
2024-09-04,63
2024-09-05,62
2024-09-06,60
2024-09-07,63
2024-09-08,65
2024-09-09,62
2024-09-10,60
2024-09-11,62
2024-09-12,64
2024-09-13,62
2024-09-14,69
2024-09-15,61
2024-09-16,60
