Time,craigslist
2023-04-26,84
2023-04-27,83
2023-04-28,87
2023-04-29,94
2023-04-30,95
2023-05-01,85
2023-05-02,85
2023-05-03,83
2023-05-04,80
2023-05-05,81
2023-05-06,91
2023-05-07,89
2023-05-08,87
2023-05-09,85
2023-05-10,84
2023-05-11,84
2023-05-12,83
2023-05-13,89
2023-05-14,89
2023-05-15,87
2023-05-16,84
2023-05-17,84
2023-05-18,85
2023-05-19,86
2023-05-20,93
2023-05-21,97
2023-05-22,83
2023-05-23,87
2023-05-24,89
2023-05-25,86
2023-05-26,82
2023-05-27,92
2023-05-28,94
2023-05-29,97
2023-05-30,91
2023-05-31,84
2023-06-01,82
2023-06-02,87
2023-06-03,95
2023-06-04,96
2023-06-05,87
2023-06-06,83
2023-06-07,82
2023-06-08,85
2023-06-09,87
2023-06-10,100
2023-06-11,94
2023-06-12,86
2023-06-13,89
2023-06-14,87
2023-06-15,86
2023-06-16,85
2023-06-17,90
2023-06-18,87
2023-06-19,88
2023-06-20,87
2023-06-21,85
2023-06-22,78
2023-06-23,85
2023-06-24,86
2023-06-25,95
2023-06-26,90
2023-06-27,88
2023-06-28,82
2023-06-29,83
2023-06-30,81
2023-07-01,88
2023-07-02,92
2023-07-03,88
2023-07-04,87
2023-07-05,81
2023-07-06,87
2023-07-07,87
2023-07-08,93
2023-07-09,92
2023-07-10,84
2023-07-11,82
2023-07-12,79
2023-07-13,82
2023-07-14,80
2023-07-15,94
2023-07-16,90
2023-07-17,85
2023-07-18,86
2023-07-19,90
2023-07-20,84
2023-07-21,82
2023-07-22,93
2023-07-23,88
2023-07-24,86
2023-07-25,89
2023-07-26,87
2023-07-27,86
2023-07-28,85
2023-07-29,97
2023-07-30,83
2023-07-31,84
2023-08-01,83
2023-08-02,84
2023-08-03,83
2023-08-04,89
2023-08-05,88
2023-08-06,90
2023-08-07,87
2023-08-08,85
2023-08-09,81
2023-08-10,82
2023-08-11,82
2023-08-12,88
2023-08-13,87
2023-08-14,83
2023-08-15,82
2023-08-16,81
2023-08-17,81
2023-08-18,83
2023-08-19,87
2023-08-20,88
2023-08-21,84
2023-08-22,80
2023-08-23,80
2023-08-24,78
2023-08-25,77
2023-08-26,83
2023-08-27,85
2023-08-28,76
2023-08-29,76
2023-08-30,75
2023-08-31,78
2023-09-01,76
2023-09-02,78
2023-09-03,84
2023-09-04,87
2023-09-05,76
2023-09-06,75
2023-09-07,75
2023-09-08,72
2023-09-09,82
2023-09-10,81
2023-09-11,76
2023-09-12,72
2023-09-13,79
2023-09-14,73
2023-09-15,74
2023-09-16,80
2023-09-17,78
2023-09-18,74
2023-09-19,73
2023-09-20,74
2023-09-21,75
2023-09-22,75
2023-09-23,80
2023-09-24,80
2023-09-25,74
2023-09-26,75
2023-09-27,72
2023-09-28,74
2023-09-29,70
2023-09-30,78
2023-10-01,77
2023-10-02,72
2023-10-03,72
2023-10-04,71
2023-10-05,70
2023-10-06,72
2023-10-07,76
2023-10-08,75
2023-10-09,74
2023-10-10,69
2023-10-11,69
2023-10-12,67
2023-10-13,67
2023-10-14,75
2023-10-15,81
2023-10-16,72
2023-10-17,70
2023-10-18,69
2023-10-19,70
2023-10-20,69
2023-10-21,75
2023-10-22,80
2023-10-23,72
2023-10-24,74
2023-10-25,70
2023-10-26,69
2023-10-27,67
2023-10-28,74
2023-10-29,70
2023-10-30,69
2023-10-31,69
2023-11-01,67
2023-11-02,70
2023-11-03,68
2023-11-04,74
2023-11-05,75
2023-11-06,72
2023-11-07,71
2023-11-08,68
2023-11-09,72
2023-11-10,74
2023-11-11,72
2023-11-12,74
2023-11-13,69
2023-11-14,68
2023-11-15,68
2023-11-16,68
2023-11-17,69
2023-11-18,74
2023-11-19,75
2023-11-20,68
2023-11-21,68
2023-11-22,66
2023-11-23,64
2023-11-24,67
2023-11-25,73
2023-11-26,75
2023-11-27,64
2023-11-28,67
2023-11-29,62
2023-11-30,65
2023-12-01,65
2023-12-02,72
2023-12-03,69
2023-12-04,66
2023-12-05,68
2023-12-06,68
2023-12-07,63
2023-12-08,62
2023-12-09,71
2023-12-10,74
2023-12-11,66
2023-12-12,64
2023-12-13,63
2023-12-14,63
2023-12-15,64
2023-12-16,68
2023-12-17,69
2023-12-18,64
2023-12-19,64
2023-12-20,66
2023-12-21,67
2023-12-22,66
2023-12-23,70
2023-12-24,62
2023-12-25,60
2023-12-26,72
2023-12-27,70
2023-12-28,71
2023-12-29,72
2023-12-30,72
2023-12-31,67
2024-01-01,67
2024-01-02,70
2024-01-03,73
2024-01-04,69
2024-01-05,68
2024-01-06,74
2024-01-07,71
2024-01-08,64
2024-01-09,66
2024-01-10,65
2024-01-11,64
2024-01-12,65
2024-01-13,70
2024-01-14,68
2024-01-15,66
2024-01-16,66
2024-01-17,64
2024-01-18,60
2024-01-19,64
2024-01-20,72
