Time,craigslist
2022-08-29,95
2022-08-30,95
2022-08-31,93
2022-09-01,91
2022-09-02,92
2022-09-03,97
2022-09-04,100
2022-09-05,100
2022-09-06,93
2022-09-07,93
2022-09-08,86
2022-09-09,86
2022-09-10,97
2022-09-11,93
2022-09-12,95
2022-09-13,92
2022-09-14,93
2022-09-15,86
2022-09-16,87
2022-09-17,98
2022-09-18,97
2022-09-19,89
2022-09-20,93
2022-09-21,91
2022-09-22,89
2022-09-23,88
2022-09-24,100
2022-09-25,97
2022-09-26,88
2022-09-27,85
2022-09-28,88
2022-09-29,86
2022-09-30,83
2022-10-01,90
2022-10-02,88
2022-10-03,85
2022-10-04,87
2022-10-05,90
2022-10-06,89
2022-10-07,90
2022-10-08,91
2022-10-09,96
2022-10-10,92
2022-10-11,85
2022-10-12,87
2022-10-13,87
2022-10-14,86
2022-10-15,92
2022-10-16,91
2022-10-17,89
2022-10-18,86
2022-10-19,83
2022-10-20,80
2022-10-21,84
2022-10-22,90
2022-10-23,89
2022-10-24,86
2022-10-25,82
2022-10-26,85
2022-10-27,83
2022-10-28,78
2022-10-29,91
2022-10-30,90
2022-10-31,81
2022-11-01,80
2022-11-02,82
2022-11-03,84
2022-11-04,82
2022-11-05,90
2022-11-06,86
2022-11-07,84
2022-11-08,82
2022-11-09,77
2022-11-10,79
2022-11-11,83
2022-11-12,86
2022-11-13,91
2022-11-14,80
2022-11-15,80
2022-11-16,83
2022-11-17,82
2022-11-18,83
2022-11-19,91
2022-11-20,91
2022-11-21,76
2022-11-22,81
2022-11-23,78
2022-11-24,75
2022-11-25,81
2022-11-26,84
2022-11-27,90
2022-11-28,76
2022-11-29,77
2022-11-30,77
2022-12-01,84
2022-12-02,72
2022-12-03,87
2022-12-04,89
2022-12-05,76
2022-12-06,77
2022-12-07,75
2022-12-08,78
2022-12-09,74
2022-12-10,81
2022-12-11,82
2022-12-12,73
2022-12-13,75
2022-12-14,73
2022-12-15,77
2022-12-16,74
2022-12-17,82
2022-12-18,80
2022-12-19,76
2022-12-20,78
2022-12-21,78
2022-12-22,75
2022-12-23,75
2022-12-24,70
2022-12-25,69
2022-12-26,86
2022-12-27,89
2022-12-28,87
2022-12-29,91
2022-12-30,87
2022-12-31,84
2023-01-01,79
2023-01-02,93
2023-01-03,80
2023-01-04,85
2023-01-05,82
2023-01-06,82
2023-01-07,91
2023-01-08,93
2023-01-09,82
2023-01-10,81
2023-01-11,80
2023-01-12,81
2023-01-13,79
2023-01-14,90
2023-01-15,89
2023-01-16,91
2023-01-17,85
2023-01-18,77
2023-01-19,80
2023-01-20,78
2023-01-21,89
2023-01-22,90
2023-01-23,83
2023-01-24,83
2023-01-25,82
2023-01-26,81
2023-01-27,81
2023-01-28,87
2023-01-29,91
2023-01-30,83
2023-01-31,85
2023-02-01,82
2023-02-02,80
2023-02-03,85
2023-02-04,92
2023-02-05,89
2023-02-06,81
2023-02-07,82
2023-02-08,84
2023-02-09,78
2023-02-10,82
2023-02-11,91
2023-02-12,86
2023-02-13,74
2023-02-14,75
2023-02-15,82
2023-02-16,84
2023-02-17,86
2023-02-18,91
2023-02-19,89
2023-02-20,89
2023-02-21,83
2023-02-22,83
2023-02-23,87
2023-02-24,88
2023-02-25,90
2023-02-26,96
2023-02-27,85
2023-02-28,85
2023-03-01,82
2023-03-02,84
2023-03-03,82
2023-03-04,92
2023-03-05,92
2023-03-06,82
2023-03-07,86
2023-03-08,82
2023-03-09,85
2023-03-10,83
2023-03-11,92
2023-03-12,92
2023-03-13,82
2023-03-14,81
2023-03-15,77
2023-03-16,80
2023-03-17,80
2023-03-18,88
2023-03-19,88
2023-03-20,79
2023-03-21,83
2023-03-22,80
2023-03-23,79
2023-03-24,78
2023-03-25,88
2023-03-26,88
2023-03-27,81
2023-03-28,81
2023-03-29,78
2023-03-30,80
2023-03-31,79
2023-04-01,91
2023-04-02,91
2023-04-03,83
2023-04-04,76
2023-04-05,78
2023-04-06,77
2023-04-07,83
2023-04-08,87
2023-04-09,83
2023-04-10,82
2023-04-11,82
2023-04-12,82
2023-04-13,84
2023-04-14,80
2023-04-15,89
2023-04-16,91
2023-04-17,77
2023-04-18,78
2023-04-19,78
2023-04-20,78
2023-04-21,81
2023-04-22,94
2023-04-23,90
2023-04-24,78
2023-04-25,82
2023-04-26,78
2023-04-27,78
2023-04-28,82
2023-04-29,88
2023-04-30,89
2023-05-01,79
2023-05-02,79
2023-05-03,77
2023-05-04,75
2023-05-05,76
2023-05-06,85
2023-05-07,83
2023-05-08,82
2023-05-09,80
2023-05-10,79
2023-05-11,78
2023-05-12,78
2023-05-13,84
2023-05-14,84
2023-05-15,81
2023-05-16,78
2023-05-17,79
2023-05-18,80
2023-05-19,80
2023-05-20,87
2023-05-21,91
2023-05-22,77
2023-05-23,81
2023-05-24,83
2023-05-25,80
