Time,kohls
2023-04-26,14
2023-04-27,13
2023-04-28,15
2023-04-29,19
2023-04-30,21
2023-05-01,16
2023-05-02,14
2023-05-03,14
2023-05-04,16
2023-05-05,18
2023-05-06,18
2023-05-07,19
2023-05-08,15
2023-05-09,15
2023-05-10,15
2023-05-11,16
2023-05-12,16
2023-05-13,23
2023-05-14,22
2023-05-15,17
2023-05-16,16
2023-05-17,15
2023-05-18,16
2023-05-19,18
2023-05-20,21
2023-05-21,21
2023-05-22,17
2023-05-23,16
2023-05-24,16
2023-05-25,17
2023-05-26,17
2023-05-27,19
2023-05-28,20
2023-05-29,24
2023-05-30,18
2023-05-31,18
2023-06-01,20
2023-06-02,19
2023-06-03,20
2023-06-04,21
2023-06-05,16
2023-06-06,16
2023-06-07,16
2023-06-08,16
2023-06-09,18
2023-06-10,20
2023-06-11,21
2023-06-12,17
2023-06-13,15
2023-06-14,17
2023-06-15,17
2023-06-16,17
2023-06-17,23
2023-06-18,21
2023-06-19,18
2023-06-20,16
2023-06-21,15
2023-06-22,14
2023-06-23,15
2023-06-24,17
2023-06-25,18
2023-06-26,16
2023-06-27,16
2023-06-28,16
2023-06-29,16
2023-06-30,17
2023-07-01,19
2023-07-02,21
2023-07-03,18
2023-07-04,20
2023-07-05,16
2023-07-06,17
2023-07-07,16
2023-07-08,17
2023-07-09,17
2023-07-10,14
2023-07-11,15
2023-07-12,16
2023-07-13,17
2023-07-14,17
2023-07-15,20
2023-07-16,20
2023-07-17,17
2023-07-18,17
2023-07-19,16
2023-07-20,17
2023-07-21,17
2023-07-22,23
2023-07-23,28
2023-07-24,18
2023-07-25,16
2023-07-26,16
2023-07-27,17
2023-07-28,17
2023-07-29,21
2023-07-30,21
2023-07-31,17
2023-08-01,17
2023-08-02,17
2023-08-03,16
2023-08-04,20
2023-08-05,23
2023-08-06,22
2023-08-07,17
2023-08-08,16
2023-08-09,16
2023-08-10,17
2023-08-11,18
2023-08-12,19
2023-08-13,27
2023-08-14,20
2023-08-15,20
2023-08-16,18
2023-08-17,18
2023-08-18,17
2023-08-19,21
2023-08-20,24
2023-08-21,16
2023-08-22,15
2023-08-23,18
2023-08-24,18
2023-08-25,16
2023-08-26,19
2023-08-27,21
2023-08-28,15
2023-08-29,13
2023-08-30,14
2023-08-31,15
2023-09-01,16
2023-09-02,19
2023-09-03,19
2023-09-04,23
2023-09-05,15
2023-09-06,15
2023-09-07,15
2023-09-08,15
2023-09-09,17
2023-09-10,19
2023-09-11,14
2023-09-12,13
2023-09-13,14
2023-09-14,15
2023-09-15,16
2023-09-16,18
2023-09-17,19
2023-09-18,14
2023-09-19,14
2023-09-20,14
2023-09-21,14
2023-09-22,15
2023-09-23,18
2023-09-24,25
2023-09-25,15
2023-09-26,14
2023-09-27,14
2023-09-28,14
2023-09-29,15
2023-09-30,19
2023-10-01,22
2023-10-02,15
2023-10-03,13
2023-10-04,14
2023-10-05,15
2023-10-06,16
2023-10-07,19
2023-10-08,19
2023-10-09,17
2023-10-10,16
2023-10-11,17
2023-10-12,17
2023-10-13,17
2023-10-14,23
2023-10-15,26
2023-10-16,18
2023-10-17,17
2023-10-18,16
2023-10-19,17
2023-10-20,17
2023-10-21,21
2023-10-22,22
2023-10-23,16
2023-10-24,14
2023-10-25,15
2023-10-26,15
2023-10-27,16
2023-10-28,19
2023-10-29,18
2023-10-30,16
2023-10-31,16
2023-11-01,17
2023-11-02,18
2023-11-03,27
2023-11-04,30
2023-11-05,30
2023-11-06,20
2023-11-07,19
2023-11-08,19
2023-11-09,21
2023-11-10,29
2023-11-11,33
2023-11-12,36
2023-11-13,23
2023-11-14,20
2023-11-15,22
2023-11-16,23
2023-11-17,28
2023-11-18,33
2023-11-19,39
2023-11-20,32
2023-11-21,34
2023-11-22,39
2023-11-23,54
2023-11-24,100
2023-11-25,58
2023-11-26,45
2023-11-27,42
2023-11-28,36
2023-11-29,34
2023-11-30,31
2023-12-01,33
2023-12-02,39
2023-12-03,39
2023-12-04,31
2023-12-05,28
2023-12-06,31
2023-12-07,32
2023-12-08,31
2023-12-09,43
2023-12-10,46
2023-12-11,32
2023-12-12,29
2023-12-13,32
2023-12-14,30
2023-12-15,33
2023-12-16,40
2023-12-17,37
2023-12-18,32
2023-12-19,32
2023-12-20,33
2023-12-21,33
2023-12-22,39
2023-12-23,43
2023-12-24,36
2023-12-25,18
2023-12-26,31
2023-12-27,27
2023-12-28,25
2023-12-29,27
2023-12-30,29
2023-12-31,32
2024-01-01,25
2024-01-02,18
2024-01-03,17
2024-01-04,18
2024-01-05,17
2024-01-06,20
2024-01-07,19
2024-01-08,16
2024-01-09,13
2024-01-10,14
2024-01-11,15
2024-01-12,14
2024-01-13,18
2024-01-14,18
2024-01-15,15
2024-01-16,14
2024-01-17,13
2024-01-18,13
2024-01-19,13
2024-01-20,16
