Time,kohls
2022-01-01,95
2022-01-02,100
2022-01-03,76
2022-01-04,65
2022-01-05,58
2022-01-06,46
2022-01-07,54
2022-01-08,64
2022-01-09,62
2022-01-10,47
2022-01-11,50
2022-01-12,47
2022-01-13,58
2022-01-14,44
2022-01-15,62
2022-01-16,54
2022-01-17,49
2022-01-18,43
2022-01-19,41
2022-01-20,40
2022-01-21,44
2022-01-22,60
2022-01-23,58
2022-01-24,54
2022-01-25,36
2022-01-26,33
2022-01-27,38
2022-01-28,44
2022-01-29,51
2022-01-30,55
2022-01-31,44
2022-02-01,49
2022-02-02,40
2022-02-03,43
2022-02-04,44
2022-02-05,59
2022-02-06,61
2022-02-07,44
2022-02-08,42
2022-02-09,43
2022-02-10,38
2022-02-11,50
2022-02-12,63
2022-02-13,57
2022-02-14,44
2022-02-15,43
2022-02-16,44
2022-02-17,45
2022-02-18,47
2022-02-19,58
2022-02-20,64
2022-02-21,56
2022-02-22,46
2022-02-23,42
2022-02-24,41
2022-02-25,45
2022-02-26,57
2022-02-27,64
2022-02-28,46
2022-03-01,46
2022-03-02,43
2022-03-03,48
2022-03-04,50
2022-03-05,59
2022-03-06,64
2022-03-07,47
2022-03-08,43
2022-03-09,46
2022-03-10,45
2022-03-11,51
2022-03-12,61
2022-03-13,68
2022-03-14,46
2022-03-15,47
2022-03-16,46
2022-03-17,46
2022-03-18,47
2022-03-19,65
2022-03-20,76
2022-03-21,52
2022-03-22,44
2022-03-23,42
2022-03-24,47
2022-03-25,43
2022-03-26,56
2022-03-27,60
2022-03-28,37
2022-03-29,36
2022-03-30,38
2022-03-31,37
2022-04-01,47
2022-04-02,60
2022-04-03,64
2022-04-04,46
2022-04-05,41
2022-04-06,40
2022-04-07,45
2022-04-08,50
2022-04-09,63
2022-04-10,64
2022-04-11,46
2022-04-12,43
2022-04-13,44
2022-04-14,48
2022-04-15,62
2022-04-16,75
2022-04-17,67
2022-04-18,46
2022-04-19,40
2022-04-20,42
2022-04-21,45
2022-04-22,48
2022-04-23,57
2022-04-24,68
2022-04-25,46
2022-04-26,41
2022-04-27,47
2022-04-28,44
2022-04-29,46
2022-04-30,61
2022-05-01,68
2022-05-02,47
2022-05-03,44
2022-05-04,44
2022-05-05,46
2022-05-06,50
2022-05-07,64
2022-05-08,60
2022-05-09,43
2022-05-10,43
2022-05-11,42
2022-05-12,48
2022-05-13,49
2022-05-14,61
2022-05-15,71
2022-05-16,46
2022-05-17,43
2022-05-18,44
2022-05-19,46
2022-05-20,49
2022-05-21,59
2022-05-22,65
2022-05-23,43
2022-05-24,40
2022-05-25,37
2022-05-26,42
2022-05-27,46
2022-05-28,53
2022-05-29,60
2022-05-30,63
2022-05-31,46
2022-06-01,44
2022-06-02,44
2022-06-03,45
2022-06-04,50
2022-06-05,60
2022-06-06,41
2022-06-07,43
2022-06-08,44
2022-06-09,45
2022-06-10,51
2022-06-11,56
2022-06-12,57
2022-06-13,43
2022-06-14,42
2022-06-15,45
2022-06-16,46
2022-06-17,51
2022-06-18,63
2022-06-19,64
2022-06-20,48
2022-06-21,41
2022-06-22,39
2022-06-23,34
2022-06-24,35
2022-06-25,32
2022-06-26,37
2022-06-27,26
2022-06-28,27
2022-06-29,29
2022-06-30,33
2022-07-01,42
2022-07-02,46
2022-07-03,45
2022-07-04,46
2022-07-05,30
2022-07-06,29
2022-07-07,34
2022-07-08,37
2022-07-09,39
2022-07-10,44
2022-07-11,33
2022-07-12,37
2022-07-13,36
2022-07-14,34
2022-07-15,40
2022-07-16,41
2022-07-17,43
2022-07-18,36
2022-07-19,35
2022-07-20,32
2022-07-21,35
2022-07-22,35
2022-07-23,45
2022-07-24,51
2022-07-25,35
2022-07-26,30
2022-07-27,28
2022-07-28,33
2022-07-29,38
2022-07-30,43
2022-07-31,50
2022-08-01,37
2022-08-02,35
2022-08-03,36
2022-08-04,37
2022-08-05,40
2022-08-06,49
2022-08-07,51
2022-08-08,36
2022-08-09,33
2022-08-10,34
2022-08-11,35
2022-08-12,37
2022-08-13,43
2022-08-14,54
2022-08-15,40
2022-08-16,34
2022-08-17,33
2022-08-18,32
2022-08-19,38
2022-08-20,43
2022-08-21,49
2022-08-22,34
2022-08-23,30
2022-08-24,27
2022-08-25,29
2022-08-26,29
2022-08-27,37
2022-08-28,41
2022-08-29,27
2022-08-30,26
2022-08-31,28
2022-09-01,33
2022-09-02,33
2022-09-03,40
2022-09-04,44
2022-09-05,48
2022-09-06,29
2022-09-07,26
2022-09-08,28
2022-09-09,29
2022-09-10,33
2022-09-11,35
2022-09-12,28
2022-09-13,25
2022-09-14,25
2022-09-15,27
2022-09-16,33
2022-09-17,38
2022-09-18,37
2022-09-19,28
2022-09-20,27
2022-09-21,27
2022-09-22,27
2022-09-23,30
2022-09-24,43
2022-09-25,47
2022-09-26,31
2022-09-27,27
