Time,poki
2022-08-29,45
2022-08-30,53
2022-08-31,53
2022-09-01,59
2022-09-02,59
2022-09-03,40
2022-09-04,34
2022-09-05,33
2022-09-06,51
2022-09-07,56
2022-09-08,57
2022-09-09,68
2022-09-10,40
2022-09-11,35
2022-09-12,54
2022-09-13,58
2022-09-14,67
2022-09-15,61
2022-09-16,69
2022-09-17,41
2022-09-18,36
2022-09-19,54
2022-09-20,58
2022-09-21,65
2022-09-22,63
2022-09-23,74
2022-09-24,44
2022-09-25,39
2022-09-26,51
2022-09-27,57
2022-09-28,56
2022-09-29,63
2022-09-30,74
2022-10-01,41
2022-10-02,36
2022-10-03,52
2022-10-04,61
2022-10-05,60
2022-10-06,62
2022-10-07,69
2022-10-08,42
2022-10-09,36
2022-10-10,48
2022-10-11,57
2022-10-12,60
2022-10-13,65
2022-10-14,66
2022-10-15,40
2022-10-16,37
2022-10-17,60
2022-10-18,60
2022-10-19,66
2022-10-20,61
2022-10-21,66
2022-10-22,41
2022-10-23,40
2022-10-24,56
2022-10-25,61
2022-10-26,65
2022-10-27,63
2022-10-28,75
2022-10-29,43
2022-10-30,38
2022-10-31,53
2022-11-01,56
2022-11-02,61
2022-11-03,61
2022-11-04,72
2022-11-05,48
2022-11-06,41
2022-11-07,55
2022-11-08,54
2022-11-09,57
2022-11-10,66
2022-11-11,62
2022-11-12,47
2022-11-13,42
2022-11-14,55
2022-11-15,65
2022-11-16,66
2022-11-17,69
2022-11-18,80
2022-11-19,51
2022-11-20,44
2022-11-21,52
2022-11-22,58
2022-11-23,51
2022-11-24,45
2022-11-25,43
2022-11-26,39
2022-11-27,35
2022-11-28,45
2022-11-29,51
2022-11-30,62
2022-12-01,62
2022-12-02,71
2022-12-03,46
2022-12-04,42
2022-12-05,52
2022-12-06,65
2022-12-07,68
2022-12-08,68
2022-12-09,79
2022-12-10,50
2022-12-11,45
2022-12-12,69
2022-12-13,73
2022-12-14,79
2022-12-15,89
2022-12-16,100
2022-12-17,56
2022-12-18,49
2022-12-19,65
2022-12-20,73
2022-12-21,72
2022-12-22,68
2022-12-23,58
2022-12-24,52
2022-12-25,50
2022-12-26,43
2022-12-27,40
2022-12-28,38
2022-12-29,40
2022-12-30,38
2022-12-31,38
2023-01-01,39
2023-01-02,37
2023-01-03,43
2023-01-04,52
2023-01-05,56
2023-01-06,66
2023-01-07,40
2023-01-08,39
2023-01-09,55
2023-01-10,60
2023-01-11,63
2023-01-12,65
2023-01-13,80
2023-01-14,48
2023-01-15,41
2023-01-16,42
2023-01-17,59
2023-01-18,65
2023-01-19,70
2023-01-20,79
2023-01-21,50
2023-01-22,41
2023-01-23,59
2023-01-24,64
2023-01-25,68
2023-01-26,72
2023-01-27,82
2023-01-28,52
2023-01-29,46
2023-01-30,65
2023-01-31,70
2023-02-01,65
2023-02-02,68
2023-02-03,76
2023-02-04,55
2023-02-05,46
2023-02-06,56
2023-02-07,66
2023-02-08,66
2023-02-09,67
2023-02-10,79
2023-02-11,54
2023-02-12,47
2023-02-13,57
2023-02-14,62
2023-02-15,66
2023-02-16,67
2023-02-17,76
2023-02-18,51
2023-02-19,46
2023-02-20,48
2023-02-21,55
2023-02-22,68
2023-02-23,65
2023-02-24,71
2023-02-25,52
2023-02-26,46
2023-02-27,63
2023-02-28,58
2023-03-01,63
2023-03-02,65
2023-03-03,72
2023-03-04,54
2023-03-05,45
2023-03-06,55
2023-03-07,60
2023-03-08,65
2023-03-09,68
2023-03-10,73
2023-03-11,54
2023-03-12,48
2023-03-13,50
2023-03-14,59
2023-03-15,58
2023-03-16,60
2023-03-17,63
2023-03-18,48
2023-03-19,46
2023-03-20,51
2023-03-21,58
2023-03-22,57
2023-03-23,63
2023-03-24,68
2023-03-25,51
2023-03-26,43
2023-03-27,52
2023-03-28,59
2023-03-29,57
2023-03-30,66
2023-03-31,67
2023-04-01,51
2023-04-02,46
2023-04-03,51
2023-04-04,61
2023-04-05,60
2023-04-06,63
2023-04-07,56
2023-04-08,47
2023-04-09,40
2023-04-10,45
2023-04-11,51
2023-04-12,55
2023-04-13,57
2023-04-14,69
2023-04-15,45
2023-04-16,45
2023-04-17,53
2023-04-18,59
2023-04-19,64
2023-04-20,69
2023-04-21,74
2023-04-22,52
2023-04-23,45
2023-04-24,56
2023-04-25,64
2023-04-26,63
2023-04-27,64
2023-04-28,74
2023-04-29,50
2023-04-30,46
2023-05-01,58
2023-05-02,64
2023-05-03,62
2023-05-04,70
2023-05-05,74
2023-05-06,51
2023-05-07,46
2023-05-08,61
2023-05-09,61
2023-05-10,70
2023-05-11,72
2023-05-12,74
2023-05-13,51
2023-05-14,51
2023-05-15,64
2023-05-16,70
2023-05-17,70
2023-05-18,77
2023-05-19,75
2023-05-20,52
2023-05-21,48
2023-05-22,64
2023-05-23,64
2023-05-24,68
2023-05-25,66
