Time,liquor store near me
2025-04-15,9
2025-04-16,10
2025-04-17,12
2025-04-18,17
2025-04-19,29
2025-04-20,45
2025-04-21,14
2025-04-22,9
2025-04-23,10
2025-04-24,11
2025-04-25,16
2025-04-26,27
2025-04-27,28
2025-04-28,12
2025-04-29,10
2025-04-30,10
2025-05-01,12
2025-05-02,16
2025-05-03,26
2025-05-04,27
2025-05-05,13
2025-05-06,12
2025-05-07,9
2025-05-08,11
2025-05-09,15
2025-05-10,28
2025-05-11,35
2025-05-12,13
2025-05-13,8
2025-05-14,9
2025-05-15,11
2025-05-16,16
2025-05-17,28
2025-05-18,29
2025-05-19,13
2025-05-20,10
2025-05-21,11
2025-05-22,11
2025-05-23,18
2025-05-24,31
2025-05-25,38
2025-05-26,36
2025-05-27,12
2025-05-28,10
2025-05-29,11
2025-05-30,15
2025-05-31,27
2025-06-01,28
2025-06-02,12
2025-06-03,10
2025-06-04,10
2025-06-05,12
2025-06-06,18
2025-06-07,27
2025-06-08,28
2025-06-09,13
2025-06-10,10
2025-06-11,11
2025-06-12,14
2025-06-13,18
2025-06-14,27
2025-06-15,34
2025-06-16,15
2025-06-17,11
2025-06-18,11
2025-06-19,16
2025-06-20,19
2025-06-21,29
2025-06-22,28
2025-06-23,14
2025-06-24,11
2025-06-25,9
2025-06-26,12
2025-06-27,17
2025-06-28,27
2025-06-29,29
2025-06-30,15
2025-07-01,11
2025-07-02,14
2025-07-03,25
2025-07-04,63
2025-07-05,35
2025-07-06,29
2025-07-07,14
2025-07-08,10
2025-07-09,11
2025-07-10,13
2025-07-11,17
2025-07-12,28
2025-07-13,30
2025-07-14,14
2025-07-15,11
2025-07-16,12
2025-07-17,13
2025-07-18,18
2025-07-19,29
2025-07-20,30
2025-07-21,15
2025-07-22,10
2025-07-23,11
2025-07-24,14
2025-07-25,17
2025-07-26,27
2025-07-27,30
2025-07-28,14
2025-07-29,10
2025-07-30,10
2025-07-31,13
2025-08-01,16
2025-08-02,30
2025-08-03,28
2025-08-04,14
2025-08-05,11
2025-08-06,11
2025-08-07,13
2025-08-08,18
2025-08-09,30
2025-08-10,31
2025-08-11,15
2025-08-12,12
2025-08-13,11
2025-08-14,13
2025-08-15,17
2025-08-16,30
2025-08-17,31
2025-08-18,13
2025-08-19,9
2025-08-20,10
2025-08-21,13
2025-08-22,15
2025-08-23,28
2025-08-24,28
2025-08-25,13
2025-08-26,10
2025-08-27,9
2025-08-28,12
2025-08-29,18
2025-08-30,30
2025-08-31,38
2025-09-01,30
2025-09-02,10
2025-09-03,9
2025-09-04,10
2025-09-05,14
2025-09-06,24
2025-09-07,23
2025-09-08,10
2025-09-09,8
2025-09-10,8
2025-09-11,10
2025-09-12,14
2025-09-13,25
2025-09-14,26
2025-09-15,10
2025-09-16,8
2025-09-17,8
2025-09-18,10
2025-09-19,14
2025-09-20,26
2025-09-21,24
2025-09-22,10
2025-09-23,8
2025-09-24,8
2025-09-25,9
2025-09-26,14
2025-09-27,25
2025-09-28,26
2025-09-29,10
2025-09-30,8
2025-10-01,8
2025-10-02,9
2025-10-03,14
2025-10-04,23
2025-10-05,24
2025-10-06,9
2025-10-07,8
2025-10-08,8
2025-10-09,10
2025-10-10,14
2025-10-11,24
2025-10-12,24
2025-10-13,12
2025-10-14,9
2025-10-15,9
2025-10-16,10
2025-10-17,15
2025-10-18,26
2025-10-19,24
2025-10-20,9
2025-10-21,7
2025-10-22,8
2025-10-23,9
2025-10-24,14
2025-10-25,24
2025-10-26,25
2025-10-27,9
2025-10-28,7
2025-10-29,8
2025-10-30,10
2025-10-31,19
2025-11-01,31
2025-11-02,22
2025-11-03,11
2025-11-04,7
2025-11-05,7
2025-11-06,9
2025-11-07,12
2025-11-08,22
2025-11-09,22
2025-11-10,9
2025-11-11,8
2025-11-12,8
2025-11-13,9
2025-11-14,12
2025-11-15,23
2025-11-16,22
2025-11-17,9
2025-11-18,7
2025-11-19,9
2025-11-20,9
2025-11-21,13
2025-11-22,23
2025-11-23,25
2025-11-24,13
2025-11-25,11
2025-11-26,25
2025-11-27,100
2025-11-28,31
2025-11-29,21
2025-11-30,20
2025-12-01,10
2025-12-02,8
2025-12-03,8
2025-12-04,9
2025-12-05,11
2025-12-06,22
2025-12-07,21
2025-12-08,11
2025-12-09,8
2025-12-10,9
2025-12-11,9
2025-12-12,13
2025-12-13,23
2025-12-14,23
2025-12-15,11
2025-12-16,9
2025-12-17,10
2025-12-18,13
2025-12-19,16
2025-12-20,24
2025-12-21,27
2025-12-22,18
2025-12-23,21
2025-12-24,55
2025-12-25,79
2025-12-26,23
2025-12-27,19
2025-12-28,22
2025-12-29,15
2025-12-30,14
2025-12-31,41
2026-01-01,51
2026-01-02,15
2026-01-03,15
2026-01-04,16
2026-01-05,9
2026-01-06,7
2026-01-07,8
2026-01-08,8
2026-01-09,10
