Time,liquor store near me
2023-12-22,31
2023-12-23,55
2023-12-24,98
2023-12-25,100
2023-12-26,29
2023-12-27,20
2023-12-28,20
2023-12-29,24
2023-12-30,38
2023-12-31,85
2024-01-01,61
2024-01-02,15
2024-01-03,12
2024-01-04,12
2024-01-05,14
2024-01-06,25
2024-01-07,26
2024-01-08,14
2024-01-09,10
2024-01-10,10
2024-01-11,12
2024-01-12,16
2024-01-13,28
2024-01-14,31
2024-01-15,23
2024-01-16,14
2024-01-17,12
2024-01-18,12
2024-01-19,17
2024-01-20,25
2024-01-21,25
2024-01-22,13
2024-01-23,10
2024-01-24,10
2024-01-25,10
2024-01-26,15
2024-01-27,26
2024-01-28,26
2024-01-29,13
2024-01-30,9
2024-01-31,9
2024-02-01,12
2024-02-02,15
2024-02-03,27
2024-02-04,28
2024-02-05,12
2024-02-06,9
2024-02-07,10
2024-02-08,11
2024-02-09,16
2024-02-10,30
2024-02-11,38
2024-02-12,13
2024-02-13,12
2024-02-14,15
2024-02-15,15
2024-02-16,16
2024-02-17,28
2024-02-18,29
2024-02-19,18
2024-02-20,11
2024-02-21,10
2024-02-22,13
2024-02-23,18
2024-02-24,29
2024-02-25,30
2024-02-26,13
2024-02-27,10
2024-02-28,10
2024-02-29,12
2024-03-01,16
2024-03-02,28
2024-03-03,31
2024-03-04,14
2024-03-05,11
2024-03-06,12
2024-03-07,13
2024-03-08,17
2024-03-09,29
2024-03-10,32
2024-03-11,16
2024-03-12,12
2024-03-13,13
2024-03-14,14
2024-03-15,18
2024-03-16,35
2024-03-17,35
2024-03-18,15
2024-03-19,10
2024-03-20,12
2024-03-21,13
2024-03-22,18
2024-03-23,29
2024-03-24,33
2024-03-25,14
2024-03-26,13
2024-03-27,13
2024-03-28,15
2024-03-29,21
2024-03-30,34
2024-03-31,45
2024-04-01,16
2024-04-02,12
2024-04-03,12
2024-04-04,14
2024-04-05,19
2024-04-06,31
2024-04-07,33
2024-04-08,14
2024-04-09,11
2024-04-10,11
2024-04-11,13
2024-04-12,19
2024-04-13,31
2024-04-14,32
2024-04-15,15
2024-04-16,11
2024-04-17,12
2024-04-18,13
2024-04-19,19
2024-04-20,32
2024-04-21,34
2024-04-22,14
2024-04-23,10
2024-04-24,12
2024-04-25,14
2024-04-26,19
2024-04-27,32
2024-04-28,33
2024-04-29,15
2024-04-30,12
2024-05-01,12
2024-05-02,14
2024-05-03,20
2024-05-04,34
2024-05-05,38
2024-05-06,16
2024-05-07,11
2024-05-08,12
2024-05-09,14
2024-05-10,20
2024-05-11,35
2024-05-12,41
2024-05-13,15
2024-05-14,11
2024-05-15,12
2024-05-16,14
2024-05-17,21
2024-05-18,35
2024-05-19,38
2024-05-20,16
2024-05-21,13
2024-05-22,13
2024-05-23,15
2024-05-24,22
2024-05-25,42
2024-05-26,48
2024-05-27,50
2024-05-28,15
2024-05-29,12
2024-05-30,14
2024-05-31,21
2024-06-01,33
2024-06-02,37
2024-06-03,16
2024-06-04,13
2024-06-05,14
2024-06-06,15
2024-06-07,22
2024-06-08,38
2024-06-09,38
2024-06-10,19
2024-06-11,14
2024-06-12,15
2024-06-13,17
2024-06-14,23
2024-06-15,38
2024-06-16,46
2024-06-17,20
2024-06-18,14
2024-06-19,18
2024-06-20,18
2024-06-21,23
2024-06-22,37
2024-06-23,39
2024-06-24,19
2024-06-25,15
2024-06-26,15
2024-06-27,16
2024-06-28,23
2024-06-29,34
2024-06-30,37
2024-07-01,20
2024-07-02,16
2024-07-03,27
2024-07-04,69
2024-07-05,36
2024-07-06,33
2024-07-07,36
2024-07-08,18
2024-07-09,14
2024-07-10,14
2024-07-11,16
2024-07-12,23
2024-07-13,35
2024-07-14,34
2024-07-15,18
2024-07-16,15
2024-07-17,14
2024-07-18,16
2024-07-19,21
2024-07-20,37
2024-07-21,37
2024-07-22,18
2024-07-23,14
2024-07-24,15
2024-07-25,16
2024-07-26,23
2024-07-27,34
2024-07-28,36
2024-07-29,17
2024-07-30,14
2024-07-31,13
2024-08-01,16
2024-08-02,20
2024-08-03,33
2024-08-04,34
2024-08-05,18
2024-08-06,14
2024-08-07,13
2024-08-08,14
2024-08-09,20
2024-08-10,32
2024-08-11,35
2024-08-12,16
2024-08-13,13
2024-08-14,14
2024-08-15,14
2024-08-16,20
2024-08-17,34
2024-08-18,34
2024-08-19,16
2024-08-20,11
2024-08-21,13
2024-08-22,14
2024-08-23,20
2024-08-24,33
2024-08-25,35
2024-08-26,14
2024-08-27,11
2024-08-28,12
2024-08-29,14
2024-08-30,21
2024-08-31,36
2024-09-01,43
2024-09-02,39
2024-09-03,13
2024-09-04,11
2024-09-05,12
2024-09-06,17
2024-09-07,29
2024-09-08,31
2024-09-09,13
2024-09-10,10
2024-09-11,10
2024-09-12,12
2024-09-13,17
2024-09-14,33
2024-09-15,30
2024-09-16,13
