Time,twitter
2024-08-18,76
2024-08-19,71
2024-08-20,76
2024-08-21,73
2024-08-22,72
2024-08-23,73
2024-08-24,72
2024-08-25,75
2024-08-26,69
2024-08-27,67
2024-08-28,69
2024-08-29,68
2024-08-30,69
2024-08-31,76
2024-09-01,73
2024-09-02,70
2024-09-03,66
2024-09-04,69
2024-09-05,66
2024-09-06,64
2024-09-07,75
2024-09-08,71
2024-09-09,65
2024-09-10,66
2024-09-11,86
2024-09-12,74
2024-09-13,69
2024-09-14,77
2024-09-15,79
2024-09-16,69
2024-09-17,69
2024-09-18,67
2024-09-19,65
2024-09-20,67
2024-09-21,69
2024-09-22,77
2024-09-23,66
2024-09-24,69
2024-09-25,67
2024-09-26,66
2024-09-27,69
2024-09-28,71
2024-09-29,74
2024-09-30,66
2024-10-01,71
2024-10-02,71
2024-10-03,66
2024-10-04,66
2024-10-05,68
2024-10-06,75
2024-10-07,75
2024-10-08,66
2024-10-09,66
2024-10-10,66
2024-10-11,66
2024-10-12,69
2024-10-13,74
2024-10-14,68
2024-10-15,65
2024-10-16,67
2024-10-17,71
2024-10-18,66
2024-10-19,68
2024-10-20,77
2024-10-21,69
2024-10-22,65
2024-10-23,65
2024-10-24,64
2024-10-25,66
2024-10-26,70
2024-10-27,69
2024-10-28,67
2024-10-29,65
2024-10-30,64
2024-10-31,71
2024-11-01,69
2024-11-02,71
2024-11-03,80
2024-11-04,70
2024-11-05,75
2024-11-06,90
2024-11-07,74
2024-11-08,69
2024-11-09,70
2024-11-10,78
2024-11-11,70
2024-11-12,64
2024-11-13,72
2024-11-14,67
2024-11-15,63
2024-11-16,73
2024-11-17,72
2024-11-18,65
2024-11-19,63
2024-11-20,62
2024-11-21,60
2024-11-22,60
2024-11-23,62
2024-11-24,66
2024-11-25,59
2024-11-26,57
2024-11-27,64
2024-11-28,62
2024-11-29,59
2024-11-30,61
2024-12-01,68
2024-12-02,57
2024-12-03,59
2024-12-04,60
2024-12-05,61
2024-12-06,65
2024-12-07,61
2024-12-08,68
2024-12-09,58
2024-12-10,63
2024-12-11,61
2024-12-12,57
2024-12-13,57
2024-12-14,59
2024-12-15,65
2024-12-16,57
2024-12-17,58
2024-12-18,59
2024-12-19,59
2024-12-20,63
2024-12-21,60
2024-12-22,62
2024-12-23,59
2024-12-24,63
2024-12-25,61
2024-12-26,61
2024-12-27,61
2024-12-28,60
2024-12-29,64
2024-12-30,63
2024-12-31,62
2025-01-01,64
2025-01-02,63
2025-01-03,62
2025-01-04,63
2025-01-05,67
2025-01-06,67
2025-01-07,61
2025-01-08,63
2025-01-09,62
2025-01-10,62
2025-01-11,62
2025-01-12,68
2025-01-13,58
2025-01-14,59
2025-01-15,58
2025-01-16,61
2025-01-17,58
2025-01-18,60
2025-01-19,71
2025-01-20,68
2025-01-21,68
2025-01-22,63
2025-01-23,59
2025-01-24,57
2025-01-25,61
2025-01-26,61
2025-01-27,60
2025-01-28,59
2025-01-29,60
2025-01-30,59
2025-01-31,58
2025-02-01,60
2025-02-02,68
2025-02-03,63
2025-02-04,59
2025-02-05,59
2025-02-06,62
2025-02-07,61
2025-02-08,74
2025-02-09,73
2025-02-10,81
2025-02-11,61
2025-02-12,60
2025-02-13,58
2025-02-14,60
2025-02-15,62
2025-02-16,61
2025-02-17,60
2025-02-18,62
2025-02-19,61
2025-02-20,61
2025-02-21,61
2025-02-22,59
2025-02-23,66
2025-02-24,55
2025-02-25,53
2025-02-26,58
2025-02-27,56
2025-02-28,56
2025-03-01,61
2025-03-02,61
2025-03-03,55
2025-03-04,56
2025-03-05,57
2025-03-06,53
2025-03-07,54
2025-03-08,55
2025-03-09,58
2025-03-10,100
2025-03-11,68
2025-03-12,55
2025-03-13,55
2025-03-14,58
2025-03-15,60
2025-03-16,62
2025-03-17,54
2025-03-18,58
2025-03-19,59
2025-03-20,56
2025-03-21,54
2025-03-22,56
2025-03-23,56
2025-03-24,53
2025-03-25,55
2025-03-26,54
2025-03-27,54
2025-03-28,57
2025-03-29,61
2025-03-30,61
2025-03-31,54
2025-04-01,51
2025-04-02,54
2025-04-03,55
2025-04-04,54
2025-04-05,55
2025-04-06,57
2025-04-07,53
2025-04-08,52
2025-04-09,55
2025-04-10,52
2025-04-11,55
2025-04-12,58
2025-04-13,55
2025-04-14,52
2025-04-15,53
2025-04-16,55
2025-04-17,54
2025-04-18,53
2025-04-19,54
2025-04-20,58
2025-04-21,60
2025-04-22,56
2025-04-23,51
2025-04-24,55
2025-04-25,55
2025-04-26,64
2025-04-27,55
2025-04-28,51
2025-04-29,49
2025-04-30,51
2025-05-01,51
2025-05-02,51
2025-05-03,54
2025-05-04,55
2025-05-05,50
2025-05-06,48
2025-05-07,51
2025-05-08,54
2025-05-09,52
2025-05-10,52
2025-05-11,53
2025-05-12,54
2025-05-13,53
2025-05-14,51
