Time,freddie freeman
2022-01-01,2
2022-01-02,1
2022-01-03,1
2022-01-04,1
2022-01-05,1
2022-01-06,1
2022-01-07,1
2022-01-08,2
2022-01-09,1
2022-01-10,1
2022-01-11,1
2022-01-12,1
2022-01-13,1
2022-01-14,1
2022-01-15,1
2022-01-16,1
2022-01-17,1
2022-01-18,1
2022-01-19,1
2022-01-20,1
2022-01-21,1
2022-01-22,1
2022-01-23,1
2022-01-24,2
2022-01-25,1
2022-01-26,1
2022-01-27,1
2022-01-28,1
2022-01-29,1
2022-01-30,1
2022-01-31,1
2022-02-01,1
2022-02-02,1
2022-02-03,1
2022-02-04,1
2022-02-05,2
2022-02-06,2
2022-02-07,2
2022-02-08,1
2022-02-09,1
2022-02-10,1
2022-02-11,1
2022-02-12,1
2022-02-13,1
2022-02-14,1
2022-02-15,1
2022-02-16,1
2022-02-17,1
2022-02-18,1
2022-02-19,1
2022-02-20,1
2022-02-21,1
2022-02-22,4
2022-02-23,4
2022-02-24,2
2022-02-25,2
2022-02-26,2
2022-02-27,2
2022-02-28,1
2022-03-01,1
2022-03-02,1
2022-03-03,1
2022-03-04,1
2022-03-05,1
2022-03-06,1
2022-03-07,1
2022-03-08,1
2022-03-09,1
2022-03-10,7
2022-03-11,33
2022-03-12,59
2022-03-13,45
2022-03-14,100
2022-03-15,100
2022-03-16,85
2022-03-17,93
2022-03-18,27
2022-03-19,22
2022-03-20,10
2022-03-21,6
2022-03-22,6
2022-03-23,5
2022-03-24,3
2022-03-25,3
2022-03-26,4
2022-03-27,3
2022-03-28,2
2022-03-29,2
2022-03-30,2
2022-03-31,2
2022-04-01,2
2022-04-02,2
2022-04-03,2
2022-04-04,2
2022-04-05,2
2022-04-06,2
2022-04-07,5
2022-04-08,10
2022-04-09,6
2022-04-10,7
2022-04-11,4
2022-04-12,3
2022-04-13,4
2022-04-14,2
2022-04-15,10
2022-04-16,6
2022-04-17,6
2022-04-18,4
2022-04-19,12
2022-04-20,6
2022-04-21,3
2022-04-22,2
2022-04-23,3
2022-04-24,4
2022-04-25,2
2022-04-26,2
2022-04-27,2
2022-04-28,2
2022-04-29,1
2022-04-30,2
2022-05-01,2
2022-05-02,1
2022-05-03,1
2022-05-04,2
2022-05-05,2
2022-05-06,1
2022-05-07,2
2022-05-08,3
2022-05-09,3
2022-05-10,1
2022-05-11,2
2022-05-12,1
2022-05-13,1
2022-05-14,2
2022-05-15,2
2022-05-16,1
2022-05-17,2
2022-05-18,2
2022-05-19,1
2022-05-20,1
2022-05-21,2
2022-05-22,2
2022-05-23,1
2022-05-24,2
2022-05-25,2
2022-05-26,1
2022-05-27,3
2022-05-28,2
2022-05-29,2
2022-05-30,1
2022-05-31,2
2022-06-01,2
2022-06-02,1
2022-06-03,1
2022-06-04,2
2022-06-05,3
2022-06-06,1
2022-06-07,1
2022-06-08,1
2022-06-09,2
2022-06-10,1
2022-06-11,2
2022-06-12,3
2022-06-13,1
2022-06-14,1
2022-06-15,2
2022-06-16,2
2022-06-17,1
2022-06-18,2
2022-06-19,2
2022-06-20,2
2022-06-21,1
2022-06-22,2
2022-06-23,3
2022-06-24,11
2022-06-25,28
2022-06-26,14
2022-06-27,14
2022-06-28,14
2022-06-29,25
2022-06-30,26
2022-07-01,11
2022-07-02,8
2022-07-03,7
2022-07-04,4
2022-07-05,3
2022-07-06,3
2022-07-07,3
2022-07-08,2
2022-07-09,3
2022-07-10,4
2022-07-11,4
2022-07-12,2
2022-07-13,3
2022-07-14,3
2022-07-15,5
2022-07-16,4
2022-07-17,4
2022-07-18,4
2022-07-19,4
2022-07-20,3
2022-07-21,1
2022-07-22,3
2022-07-23,3
2022-07-24,4
2022-07-25,2
2022-07-26,2
2022-07-27,2
2022-07-28,1
2022-07-29,1
2022-07-30,2
2022-07-31,3
2022-08-01,2
2022-08-02,3
2022-08-03,2
2022-08-04,1
2022-08-05,1
2022-08-06,2
2022-08-07,2
2022-08-08,2
2022-08-09,1
2022-08-10,2
2022-08-11,3
2022-08-12,1
2022-08-13,2
2022-08-14,2
2022-08-15,1
2022-08-16,1
2022-08-17,2
2022-08-18,1
2022-08-19,1
2022-08-20,2
2022-08-21,3
2022-08-22,2
2022-08-23,2
2022-08-24,2
2022-08-25,2
2022-08-26,1
2022-08-27,2
2022-08-28,2
2022-08-29,1
2022-08-30,1
2022-08-31,1
2022-09-01,2
2022-09-02,1
2022-09-03,1
2022-09-04,2
2022-09-05,2
2022-09-06,1
2022-09-07,2
2022-09-08,1
2022-09-09,1
2022-09-10,2
2022-09-11,3
2022-09-12,1
2022-09-13,1
2022-09-14,2
2022-09-15,1
2022-09-16,1
2022-09-17,2
2022-09-18,2
2022-09-19,2
2022-09-20,1
2022-09-21,1
2022-09-22,1
2022-09-23,1
2022-09-24,2
2022-09-25,3
2022-09-26,1
2022-09-27,1
