Time,house of the dragon
2025-04-15,44
2025-04-16,45
2025-04-17,34
2025-04-18,37
2025-04-19,43
2025-04-20,49
2025-04-21,40
2025-04-22,35
2025-04-23,37
2025-04-24,43
2025-04-25,32
2025-04-26,42
2025-04-27,47
2025-04-28,38
2025-04-29,39
2025-04-30,39
2025-05-01,33
2025-05-02,29
2025-05-03,43
2025-05-04,51
2025-05-05,40
2025-05-06,38
2025-05-07,30
2025-05-08,33
2025-05-09,35
2025-05-10,41
2025-05-11,49
2025-05-12,48
2025-05-13,40
2025-05-14,41
2025-05-15,43
2025-05-16,39
2025-05-17,39
2025-05-18,46
2025-05-19,47
2025-05-20,40
2025-05-21,37
2025-05-22,40
2025-05-23,39
2025-05-24,52
2025-05-25,75
2025-05-26,78
2025-05-27,60
2025-05-28,50
2025-05-29,53
2025-05-30,47
2025-05-31,52
2025-06-01,59
2025-06-02,58
2025-06-03,49
2025-06-04,43
2025-06-05,40
2025-06-06,35
2025-06-07,46
2025-06-08,53
2025-06-09,45
2025-06-10,40
2025-06-11,42
2025-06-12,35
2025-06-13,37
2025-06-14,43
2025-06-15,58
2025-06-16,50
2025-06-17,46
2025-06-18,50
2025-06-19,47
2025-06-20,49
2025-06-21,42
2025-06-22,44
2025-06-23,38
2025-06-24,42
2025-06-25,44
2025-06-26,39
2025-06-27,42
2025-06-28,41
2025-06-29,48
2025-06-30,43
2025-07-01,38
2025-07-02,39
2025-07-03,33
2025-07-04,39
2025-07-05,40
2025-07-06,49
2025-07-07,47
2025-07-08,45
2025-07-09,45
2025-07-10,60
2025-07-11,54
2025-07-12,60
2025-07-13,64
2025-07-14,57
2025-07-15,52
2025-07-16,65
2025-07-17,60
2025-07-18,57
2025-07-19,75
2025-07-20,89
2025-07-21,66
2025-07-22,65
2025-07-23,55
2025-07-24,61
2025-07-25,69
2025-07-26,66
2025-07-27,73
2025-07-28,64
2025-07-29,66
2025-07-30,80
2025-07-31,71
2025-08-01,62
2025-08-02,50
2025-08-03,57
2025-08-04,57
2025-08-05,47
2025-08-06,46
2025-08-07,47
2025-08-08,46
2025-08-09,47
2025-08-10,63
2025-08-11,58
2025-08-12,49
2025-08-13,60
2025-08-14,46
2025-08-15,43
2025-08-16,58
2025-08-17,58
2025-08-18,54
2025-08-19,51
2025-08-20,42
2025-08-21,44
2025-08-22,53
2025-08-23,65
2025-08-24,74
2025-08-25,49
2025-08-26,49
2025-08-27,44
2025-08-28,87
2025-08-29,56
2025-08-30,37
2025-08-31,56
2025-09-01,52
2025-09-02,43
2025-09-03,44
2025-09-04,46
2025-09-05,48
2025-09-06,45
2025-09-07,51
2025-09-08,41
2025-09-09,40
2025-09-10,42
2025-09-11,34
2025-09-12,38
2025-09-13,37
2025-09-14,51
2025-09-15,47
2025-09-16,55
2025-09-17,48
2025-09-18,35
2025-09-19,40
2025-09-20,47
2025-09-21,55
2025-09-22,46
2025-09-23,37
2025-09-24,46
2025-09-25,35
2025-09-26,35
2025-09-27,42
2025-09-28,39
2025-09-29,36
2025-09-30,38
2025-10-01,36
2025-10-02,37
2025-10-03,37
2025-10-04,43
2025-10-05,47
2025-10-06,47
2025-10-07,43
2025-10-08,41
2025-10-09,53
2025-10-10,57
2025-10-11,58
2025-10-12,54
2025-10-13,56
2025-10-14,46
2025-10-15,42
2025-10-16,38
2025-10-17,37
2025-10-18,52
2025-10-19,43
2025-10-20,41
2025-10-21,45
2025-10-22,58
2025-10-23,54
2025-10-24,56
2025-10-25,46
2025-10-26,55
2025-10-27,48
2025-10-28,41
2025-10-29,35
2025-10-30,41
2025-10-31,38
2025-11-01,50
2025-11-02,44
2025-11-03,46
2025-11-04,45
2025-11-05,40
2025-11-06,40
2025-11-07,37
2025-11-08,49
2025-11-09,53
2025-11-10,43
2025-11-11,43
2025-11-12,36
2025-11-13,38
2025-11-14,38
2025-11-15,42
2025-11-16,45
2025-11-17,41
2025-11-18,43
2025-11-19,39
2025-11-20,50
2025-11-21,55
2025-11-22,72
2025-11-23,61
2025-11-24,49
2025-11-25,46
2025-11-26,47
2025-11-27,54
2025-11-28,52
2025-11-29,50
2025-11-30,51
2025-12-01,52
2025-12-02,46
2025-12-03,38
2025-12-04,47
2025-12-05,55
2025-12-06,62
2025-12-07,60
2025-12-08,48
2025-12-09,46
2025-12-10,46
2025-12-11,45
2025-12-12,61
2025-12-13,73
2025-12-14,58
2025-12-15,50
2025-12-16,51
2025-12-17,46
2025-12-18,47
2025-12-19,43
2025-12-20,58
2025-12-21,49
2025-12-22,54
2025-12-23,48
2025-12-24,58
2025-12-25,56
2025-12-26,58
2025-12-27,71
2025-12-28,69
2025-12-29,64
2025-12-30,75
2025-12-31,62
2026-01-01,89
2026-01-02,100
2026-01-03,91
2026-01-04,92
2026-01-05,69
2026-01-06,66
2026-01-07,61
2026-01-08,68
2026-01-09,70
