Time,victoria secret
2023-12-22,77
2023-12-23,74
2023-12-24,66
2023-12-25,61
2023-12-26,100
2023-12-27,87
2023-12-28,87
2023-12-29,78
2023-12-30,71
2023-12-31,62
2024-01-01,56
2024-01-02,58
2024-01-03,52
2024-01-04,50
2024-01-05,48
2024-01-06,53
2024-01-07,56
2024-01-08,42
2024-01-09,40
2024-01-10,41
2024-01-11,44
2024-01-12,46
2024-01-13,51
2024-01-14,56
2024-01-15,47
2024-01-16,41
2024-01-17,42
2024-01-18,42
2024-01-19,43
2024-01-20,49
2024-01-21,48
2024-01-22,40
2024-01-23,38
2024-01-24,39
2024-01-25,37
2024-01-26,38
2024-01-27,45
2024-01-28,47
2024-01-29,38
2024-01-30,37
2024-01-31,39
2024-02-01,40
2024-02-02,41
2024-02-03,48
2024-02-04,52
2024-02-05,39
2024-02-06,36
2024-02-07,40
2024-02-08,41
2024-02-09,42
2024-02-10,48
2024-02-11,47
2024-02-12,34
2024-02-13,39
2024-02-14,42
2024-02-15,39
2024-02-16,43
2024-02-17,49
2024-02-18,51
2024-02-19,46
2024-02-20,40
2024-02-21,39
2024-02-22,39
2024-02-23,45
2024-02-24,46
2024-02-25,47
2024-02-26,38
2024-02-27,34
2024-02-28,36
2024-02-29,38
2024-03-01,39
2024-03-02,43
2024-03-03,44
2024-03-04,37
2024-03-05,39
2024-03-06,38
2024-03-07,37
2024-03-08,38
2024-03-09,43
2024-03-10,45
2024-03-11,36
2024-03-12,34
2024-03-13,35
2024-03-14,34
2024-03-15,37
2024-03-16,43
2024-03-17,49
2024-03-18,41
2024-03-19,33
2024-03-20,35
2024-03-21,33
2024-03-22,32
2024-03-23,41
2024-03-24,42
2024-03-25,32
2024-03-26,32
2024-03-27,32
2024-03-28,33
2024-03-29,34
2024-03-30,38
2024-03-31,37
2024-04-01,32
2024-04-02,32
2024-04-03,45
2024-04-04,40
2024-04-05,40
2024-04-06,44
2024-04-07,50
2024-04-08,34
2024-04-09,33
2024-04-10,32
2024-04-11,32
2024-04-12,36
2024-04-13,41
2024-04-14,41
2024-04-15,34
2024-04-16,34
2024-04-17,37
2024-04-18,37
2024-04-19,37
2024-04-20,41
2024-04-21,44
2024-04-22,35
2024-04-23,35
2024-04-24,34
2024-04-25,36
2024-04-26,34
2024-04-27,43
2024-04-28,47
2024-04-29,36
2024-04-30,36
2024-05-01,34
2024-05-02,34
2024-05-03,37
2024-05-04,42
2024-05-05,44
2024-05-06,38
2024-05-07,35
2024-05-08,37
2024-05-09,38
2024-05-10,40
2024-05-11,45
2024-05-12,47
2024-05-13,36
2024-05-14,36
2024-05-15,36
2024-05-16,36
2024-05-17,36
2024-05-18,45
2024-05-19,47
2024-05-20,40
2024-05-21,40
2024-05-22,39
2024-05-23,40
2024-05-24,40
2024-05-25,43
2024-05-26,48
2024-05-27,50
2024-05-28,38
2024-05-29,36
2024-05-30,41
2024-05-31,38
2024-06-01,44
2024-06-02,45
2024-06-03,38
2024-06-04,36
2024-06-05,37
2024-06-06,35
2024-06-07,36
2024-06-08,40
2024-06-09,41
2024-06-10,38
2024-06-11,36
2024-06-12,56
2024-06-13,53
2024-06-14,46
2024-06-15,55
2024-06-16,45
2024-06-17,43
2024-06-18,41
2024-06-19,42
2024-06-20,39
2024-06-21,42
2024-06-22,46
2024-06-23,47
2024-06-24,38
2024-06-25,38
2024-06-26,38
2024-06-27,40
2024-06-28,42
2024-06-29,42
2024-06-30,43
2024-07-01,39
2024-07-02,37
2024-07-03,46
2024-07-04,50
2024-07-05,44
2024-07-06,44
2024-07-07,44
2024-07-08,38
2024-07-09,37
2024-07-10,39
2024-07-11,40
2024-07-12,40
2024-07-13,40
2024-07-14,38
2024-07-15,35
2024-07-16,36
2024-07-17,36
2024-07-18,37
2024-07-19,40
2024-07-20,40
2024-07-21,37
2024-07-22,34
2024-07-23,33
2024-07-24,35
2024-07-25,36
2024-07-26,36
2024-07-27,38
2024-07-28,41
2024-07-29,33
2024-07-30,37
2024-07-31,35
2024-08-01,40
2024-08-02,46
2024-08-03,49
2024-08-04,49
2024-08-05,60
2024-08-06,45
2024-08-07,37
2024-08-08,35
2024-08-09,36
2024-08-10,41
2024-08-11,40
2024-08-12,34
2024-08-13,33
2024-08-14,34
2024-08-15,35
2024-08-16,37
2024-08-17,41
2024-08-18,46
2024-08-19,33
2024-08-20,31
2024-08-21,32
2024-08-22,32
2024-08-23,33
2024-08-24,37
2024-08-25,38
2024-08-26,30
2024-08-27,29
2024-08-28,33
2024-08-29,33
2024-08-30,37
2024-08-31,43
2024-09-01,48
2024-09-02,50
2024-09-03,35
2024-09-04,35
2024-09-05,37
2024-09-06,32
2024-09-07,37
2024-09-08,38
2024-09-09,31
2024-09-10,31
2024-09-11,32
2024-09-12,33
2024-09-13,35
2024-09-14,42
2024-09-15,40
2024-09-16,33
