Time,kevin conroy
2023-04-26,27
2023-04-27,31
2023-04-28,17
2023-04-29,30
2023-04-30,21
2023-05-01,19
2023-05-02,22
2023-05-03,36
2023-05-04,22
2023-05-05,23
2023-05-06,0
2023-05-07,17
2023-05-08,19
2023-05-09,27
2023-05-10,22
2023-05-11,16
2023-05-12,30
2023-05-13,28
2023-05-14,33
2023-05-15,13
2023-05-16,27
2023-05-17,24
2023-05-18,23
2023-05-19,21
2023-05-20,30
2023-05-21,35
2023-05-22,18
2023-05-23,27
2023-05-24,30
2023-05-25,38
2023-05-26,29
2023-05-27,16
2023-05-28,38
2023-05-29,27
2023-05-30,16
2023-05-31,24
2023-06-01,26
2023-06-02,21
2023-06-03,37
2023-06-04,18
2023-06-05,21
2023-06-06,24
2023-06-07,22
2023-06-08,21
2023-06-09,18
2023-06-10,21
2023-06-11,16
2023-06-12,23
2023-06-13,20
2023-06-14,29
2023-06-15,25
2023-06-16,32
2023-06-17,46
2023-06-18,43
2023-06-19,20
2023-06-20,20
2023-06-21,26
2023-06-22,21
2023-06-23,22
2023-06-24,24
2023-06-25,18
2023-06-26,12
2023-06-27,14
2023-06-28,21
2023-06-29,20
2023-06-30,21
2023-07-01,21
2023-07-02,18
2023-07-03,20
2023-07-04,27
2023-07-05,19
2023-07-06,21
2023-07-07,0
2023-07-08,16
2023-07-09,25
2023-07-10,22
2023-07-11,18
2023-07-12,23
2023-07-13,12
2023-07-14,32
2023-07-15,20
2023-07-16,23
2023-07-17,19
2023-07-18,24
2023-07-19,25
2023-07-20,20
2023-07-21,29
2023-07-22,31
2023-07-23,35
2023-07-24,23
2023-07-25,18
2023-07-26,18
2023-07-27,24
2023-07-28,29
2023-07-29,27
2023-07-30,35
2023-07-31,17
2023-08-01,29
2023-08-02,18
2023-08-03,22
2023-08-04,16
2023-08-05,14
2023-08-06,16
2023-08-07,25
2023-08-08,28
2023-08-09,0
2023-08-10,23
2023-08-11,23
2023-08-12,21
2023-08-13,18
2023-08-14,18
2023-08-15,20
2023-08-16,14
2023-08-17,26
2023-08-18,18
2023-08-19,15
2023-08-20,28
2023-08-21,19
2023-08-22,0
2023-08-23,16
2023-08-24,0
2023-08-25,0
2023-08-26,24
2023-08-27,100
2023-08-28,38
2023-08-29,33
2023-08-30,24
2023-08-31,23
2023-09-01,17
2023-09-02,40
2023-09-03,38
2023-09-04,17
2023-09-05,18
2023-09-06,15
2023-09-07,27
2023-09-08,24
2023-09-09,25
2023-09-10,37
2023-09-11,17
2023-09-12,26
2023-09-13,19
2023-09-14,18
2023-09-15,15
2023-09-16,38
2023-09-17,29
2023-09-18,13
2023-09-19,11
2023-09-20,12
2023-09-21,20
2023-09-22,19
2023-09-23,16
2023-09-24,23
2023-09-25,16
2023-09-26,16
2023-09-27,0
2023-09-28,18
2023-09-29,13
2023-09-30,17
2023-10-01,0
2023-10-02,23
2023-10-03,12
2023-10-04,17
2023-10-05,19
2023-10-06,0
2023-10-07,24
2023-10-08,19
2023-10-09,0
2023-10-10,18
2023-10-11,16
2023-10-12,17
2023-10-13,11
2023-10-14,15
2023-10-15,0
2023-10-16,17
2023-10-17,0
2023-10-18,12
2023-10-19,0
2023-10-20,0
2023-10-21,13
2023-10-22,26
2023-10-23,17
2023-10-24,0
2023-10-25,0
2023-10-26,19
2023-10-27,17
2023-10-28,27
2023-10-29,31
2023-10-30,23
2023-10-31,27
2023-11-01,35
2023-11-02,35
2023-11-03,18
2023-11-04,31
2023-11-05,18
2023-11-06,26
2023-11-07,13
2023-11-08,0
2023-11-09,22
2023-11-10,53
2023-11-11,57
2023-11-12,73
2023-11-13,57
2023-11-14,37
2023-11-15,38
2023-11-16,24
2023-11-17,18
2023-11-18,28
2023-11-19,29
2023-11-20,27
2023-11-21,0
2023-11-22,14
2023-11-23,17
2023-11-24,15
2023-11-25,77
2023-11-26,67
2023-11-27,27
2023-11-28,28
2023-11-29,32
2023-11-30,71
2023-12-01,51
2023-12-02,45
2023-12-03,25
2023-12-04,21
2023-12-05,21
2023-12-06,30
2023-12-07,36
2023-12-08,26
2023-12-09,29
2023-12-10,28
2023-12-11,16
2023-12-12,17
2023-12-13,38
2023-12-14,23
2023-12-15,22
2023-12-16,31
2023-12-17,26
2023-12-18,34
2023-12-19,38
2023-12-20,24
2023-12-21,23
2023-12-22,31
2023-12-23,30
2023-12-24,25
2023-12-25,26
2023-12-26,24
2023-12-27,23
2023-12-28,22
2023-12-29,35
2023-12-30,40
2023-12-31,31
2024-01-01,43
2024-01-02,20
2024-01-03,21
2024-01-04,14
2024-01-05,19
2024-01-06,32
2024-01-07,13
2024-01-08,21
2024-01-09,31
2024-01-10,30
2024-01-11,55
2024-01-12,31
2024-01-13,32
2024-01-14,29
2024-01-15,24
2024-01-16,22
2024-01-17,25
2024-01-18,40
2024-01-19,23
2024-01-20,27
