Time,kevin conroy
2023-12-22,12
2023-12-23,7
2023-12-24,6
2023-12-25,7
2023-12-26,8
2023-12-27,7
2023-12-28,8
2023-12-29,11
2023-12-30,10
2023-12-31,10
2024-01-01,11
2024-01-02,9
2024-01-03,9
2024-01-04,12
2024-01-05,6
2024-01-06,13
2024-01-07,0
2024-01-08,7
2024-01-09,9
2024-01-10,8
2024-01-11,15
2024-01-12,10
2024-01-13,11
2024-01-14,8
2024-01-15,8
2024-01-16,7
2024-01-17,9
2024-01-18,13
2024-01-19,8
2024-01-20,10
2024-01-21,9
2024-01-22,6
2024-01-23,13
2024-01-24,9
2024-01-25,9
2024-01-26,9
2024-01-27,7
2024-01-28,9
2024-01-29,17
2024-01-30,74
2024-01-31,100
2024-02-01,81
2024-02-02,62
2024-02-03,62
2024-02-04,54
2024-02-05,36
2024-02-06,31
2024-02-07,24
2024-02-08,26
2024-02-09,22
2024-02-10,30
2024-02-11,24
2024-02-12,16
2024-02-13,14
2024-02-14,16
2024-02-15,12
2024-02-16,15
2024-02-17,14
2024-02-18,11
2024-02-19,13
2024-02-20,11
2024-02-21,13
2024-02-22,11
2024-02-23,10
2024-02-24,15
2024-02-25,15
2024-02-26,13
2024-02-27,13
2024-02-28,10
2024-02-29,22
2024-03-01,21
2024-03-02,13
2024-03-03,13
2024-03-04,8
2024-03-05,8
2024-03-06,9
2024-03-07,8
2024-03-08,13
2024-03-09,9
2024-03-10,10
2024-03-11,9
2024-03-12,13
2024-03-13,9
2024-03-14,12
2024-03-15,6
2024-03-16,10
2024-03-17,9
2024-03-18,5
2024-03-19,7
2024-03-20,7
2024-03-21,5
2024-03-22,5
2024-03-23,8
2024-03-24,7
2024-03-25,7
2024-03-26,4
2024-03-27,6
2024-03-28,4
2024-03-29,8
2024-03-30,7
2024-03-31,7
2024-04-01,4
2024-04-02,0
2024-04-03,0
2024-04-04,5
2024-04-05,6
2024-04-06,10
2024-04-07,4
2024-04-08,0
2024-04-09,8
2024-04-10,7
2024-04-11,0
2024-04-12,7
2024-04-13,5
2024-04-14,6
2024-04-15,6
2024-04-16,0
2024-04-17,0
2024-04-18,0
2024-04-19,6
2024-04-20,7
2024-04-21,8
2024-04-22,8
2024-04-23,0
2024-04-24,5
2024-04-25,0
2024-04-26,4
2024-04-27,5
2024-04-28,0
2024-04-29,4
2024-04-30,8
2024-05-01,8
2024-05-02,7
2024-05-03,4
2024-05-04,6
2024-05-05,0
2024-05-06,0
2024-05-07,5
2024-05-08,6
2024-05-09,8
2024-05-10,9
2024-05-11,6
2024-05-12,9
2024-05-13,6
2024-05-14,7
2024-05-15,6
2024-05-16,7
2024-05-17,5
2024-05-18,0
2024-05-19,5
2024-05-20,5
2024-05-21,5
2024-05-22,4
2024-05-23,6
2024-05-24,8
2024-05-25,5
2024-05-26,0
2024-05-27,7
2024-05-28,5
2024-05-29,6
2024-05-30,6
2024-05-31,6
2024-06-01,6
2024-06-02,5
2024-06-03,5
2024-06-04,9
2024-06-05,5
2024-06-06,7
2024-06-07,6
2024-06-08,8
2024-06-09,8
2024-06-10,6
2024-06-11,5
2024-06-12,6
2024-06-13,0
2024-06-14,13
2024-06-15,7
2024-06-16,13
2024-06-17,8
2024-06-18,15
2024-06-19,28
2024-06-20,20
2024-06-21,15
2024-06-22,11
2024-06-23,0
2024-06-24,7
2024-06-25,8
2024-06-26,6
2024-06-27,5
2024-06-28,7
2024-06-29,8
2024-06-30,7
2024-07-01,8
2024-07-02,6
2024-07-03,4
2024-07-04,11
2024-07-05,8
2024-07-06,0
2024-07-07,6
2024-07-08,7
2024-07-09,5
2024-07-10,9
2024-07-11,5
2024-07-12,0
2024-07-13,6
2024-07-14,0
2024-07-15,4
2024-07-16,21
2024-07-17,28
2024-07-18,18
2024-07-19,15
2024-07-20,12
2024-07-21,17
2024-07-22,9
2024-07-23,9
2024-07-24,5
2024-07-25,9
2024-07-26,6
2024-07-27,7
2024-07-28,7
2024-07-29,10
2024-07-30,5
2024-07-31,7
2024-08-01,13
2024-08-02,15
2024-08-03,13
2024-08-04,11
2024-08-05,10
2024-08-06,10
2024-08-07,5
2024-08-08,7
2024-08-09,14
2024-08-10,7
2024-08-11,7
2024-08-12,10
2024-08-13,9
2024-08-14,7
2024-08-15,5
2024-08-16,0
2024-08-17,7
2024-08-18,9
2024-08-19,8
2024-08-20,4
2024-08-21,6
2024-08-22,7
2024-08-23,6
2024-08-24,8
2024-08-25,8
2024-08-26,5
2024-08-27,8
2024-08-28,6
2024-08-29,4
2024-08-30,6
2024-08-31,7
2024-09-01,0
2024-09-02,7
2024-09-03,5
2024-09-04,4
2024-09-05,6
2024-09-06,4
2024-09-07,5
2024-09-08,7
2024-09-09,0
2024-09-10,6
2024-09-11,0
2024-09-12,6
2024-09-13,6
2024-09-14,0
2024-09-15,7
2024-09-16,6
