Time,charles schwab
2023-04-26,30
2023-04-27,32
2023-04-28,32
2023-04-29,18
2023-04-30,13
2023-05-01,32
2023-05-02,33
2023-05-03,30
2023-05-04,34
2023-05-05,31
2023-05-06,17
2023-05-07,13
2023-05-08,30
2023-05-09,29
2023-05-10,30
2023-05-11,28
2023-05-12,25
2023-05-13,12
2023-05-14,12
2023-05-15,31
2023-05-16,32
2023-05-17,31
2023-05-18,34
2023-05-19,31
2023-05-20,16
2023-05-21,14
2023-05-22,47
2023-05-23,47
2023-05-24,48
2023-05-25,90
2023-05-26,100
2023-05-27,72
2023-05-28,98
2023-05-29,41
2023-05-30,57
2023-05-31,52
2023-06-01,50
2023-06-02,52
2023-06-03,24
2023-06-04,18
2023-06-05,46
2023-06-06,45
2023-06-07,44
2023-06-08,42
2023-06-09,43
2023-06-10,19
2023-06-11,15
2023-06-12,46
2023-06-13,51
2023-06-14,49
2023-06-15,56
2023-06-16,48
2023-06-17,25
2023-06-18,19
2023-06-19,28
2023-06-20,49
2023-06-21,47
2023-06-22,42
2023-06-23,40
2023-06-24,19
2023-06-25,16
2023-06-26,42
2023-06-27,46
2023-06-28,45
2023-06-29,43
2023-06-30,43
2023-07-01,23
2023-07-02,16
2023-07-03,41
2023-07-04,21
2023-07-05,43
2023-07-06,46
2023-07-07,46
2023-07-08,20
2023-07-09,16
2023-07-10,44
2023-07-11,50
2023-07-12,49
2023-07-13,52
2023-07-14,50
2023-07-15,24
2023-07-16,17
2023-07-17,47
2023-07-18,57
2023-07-19,55
2023-07-20,45
2023-07-21,44
2023-07-22,20
2023-07-23,15
2023-07-24,42
2023-07-25,48
2023-07-26,44
2023-07-27,46
2023-07-28,50
2023-07-29,23
2023-07-30,16
2023-07-31,47
2023-08-01,49
2023-08-02,45
2023-08-03,42
2023-08-04,44
2023-08-05,20
2023-08-06,16
2023-08-07,45
2023-08-08,43
2023-08-09,41
2023-08-10,41
2023-08-11,39
2023-08-12,19
2023-08-13,19
2023-08-14,42
2023-08-15,43
2023-08-16,40
2023-08-17,41
2023-08-18,37
2023-08-19,18
2023-08-20,16
2023-08-21,44
2023-08-22,45
2023-08-23,45
2023-08-24,40
2023-08-25,39
2023-08-26,18
2023-08-27,16
2023-08-28,39
2023-08-29,43
2023-08-30,45
2023-08-31,43
2023-09-01,40
2023-09-02,21
2023-09-03,14
2023-09-04,18
2023-09-05,58
2023-09-06,49
2023-09-07,45
2023-09-08,41
2023-09-09,23
2023-09-10,16
2023-09-11,47
2023-09-12,46
2023-09-13,43
2023-09-14,48
2023-09-15,42
2023-09-16,19
2023-09-17,16
2023-09-18,40
2023-09-19,42
2023-09-20,39
2023-09-21,40
2023-09-22,38
2023-09-23,19
2023-09-24,14
2023-09-25,38
2023-09-26,39
2023-09-27,39
2023-09-28,39
2023-09-29,39
2023-09-30,18
2023-10-01,16
2023-10-02,40
2023-10-03,43
2023-10-04,44
2023-10-05,40
2023-10-06,43
2023-10-07,22
2023-10-08,15
2023-10-09,39
2023-10-10,43
2023-10-11,42
2023-10-12,41
2023-10-13,39
2023-10-14,20
2023-10-15,16
2023-10-16,44
2023-10-17,46
2023-10-18,38
2023-10-19,40
2023-10-20,37
2023-10-21,17
2023-10-22,15
2023-10-23,37
2023-10-24,40
2023-10-25,39
2023-10-26,39
2023-10-27,39
2023-10-28,17
2023-10-29,15
2023-10-30,41
2023-10-31,47
2023-11-01,48
2023-11-02,51
2023-11-03,52
2023-11-04,23
2023-11-05,19
2023-11-06,60
2023-11-07,56
2023-11-08,48
2023-11-09,44
2023-11-10,51
2023-11-11,26
2023-11-12,19
2023-11-13,45
2023-11-14,58
2023-11-15,57
2023-11-16,49
2023-11-17,48
2023-11-18,23
2023-11-19,15
2023-11-20,50
2023-11-21,46
2023-11-22,45
2023-11-23,18
2023-11-24,31
2023-11-25,18
2023-11-26,16
2023-11-27,43
2023-11-28,46
2023-11-29,51
2023-11-30,50
2023-12-01,54
2023-12-02,28
2023-12-03,19
2023-12-04,48
2023-12-05,49
2023-12-06,50
2023-12-07,52
2023-12-08,53
2023-12-09,25
2023-12-10,17
2023-12-11,47
2023-12-12,49
2023-12-13,56
2023-12-14,66
2023-12-15,64
2023-12-16,29
2023-12-17,18
2023-12-18,55
2023-12-19,69
2023-12-20,61
2023-12-21,60
2023-12-22,59
2023-12-23,27
2023-12-24,17
2023-12-25,15
2023-12-26,55
2023-12-27,72
2023-12-28,66
2023-12-29,68
2023-12-30,30
2023-12-31,23
2024-01-01,27
2024-01-02,63
2024-01-03,62
2024-01-04,63
2024-01-05,59
2024-01-06,28
2024-01-07,20
2024-01-08,54
2024-01-09,56
2024-01-10,56
2024-01-11,62
2024-01-12,54
2024-01-13,25
2024-01-14,19
2024-01-15,27
2024-01-16,50
2024-01-17,55
2024-01-18,54
2024-01-19,64
2024-01-20,34
