Time,types of flooring
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,0
2022-01-05,0
2022-01-06,0
2022-01-07,0
2022-01-08,0
2022-01-09,75
2022-01-10,91
2022-01-11,65
2022-01-12,0
2022-01-13,0
2022-01-14,0
2022-01-15,88
2022-01-16,0
2022-01-17,0
2022-01-18,0
2022-01-19,0
2022-01-20,0
2022-01-21,59
2022-01-22,0
2022-01-23,0
2022-01-24,75
2022-01-25,68
2022-01-26,0
2022-01-27,61
2022-01-28,0
2022-01-29,0
2022-01-30,73
2022-01-31,0
2022-02-01,75
2022-02-02,57
2022-02-03,56
2022-02-04,66
2022-02-05,57
2022-02-06,81
2022-02-07,0
2022-02-08,46
2022-02-09,63
2022-02-10,61
2022-02-11,69
2022-02-12,94
2022-02-13,0
2022-02-14,51
2022-02-15,0
2022-02-16,67
2022-02-17,40
2022-02-18,78
2022-02-19,52
2022-02-20,97
2022-02-21,51
2022-02-22,44
2022-02-23,86
2022-02-24,51
2022-02-25,52
2022-02-26,0
2022-02-27,69
2022-02-28,63
2022-03-01,74
2022-03-02,49
2022-03-03,56
2022-03-04,57
2022-03-05,65
2022-03-06,81
2022-03-07,57
2022-03-08,61
2022-03-09,50
2022-03-10,0
2022-03-11,65
2022-03-12,46
2022-03-13,51
2022-03-14,83
2022-03-15,54
2022-03-16,0
2022-03-17,67
2022-03-18,43
2022-03-19,53
2022-03-20,75
2022-03-21,0
2022-03-22,92
2022-03-23,78
2022-03-24,45
2022-03-25,55
2022-03-26,40
2022-03-27,39
2022-03-28,43
2022-03-29,48
2022-03-30,68
2022-03-31,69
2022-04-01,43
2022-04-02,45
2022-04-03,0
2022-04-04,63
2022-04-05,45
2022-04-06,56
2022-04-07,58
2022-04-08,40
2022-04-09,68
2022-04-10,69
2022-04-11,47
2022-04-12,62
2022-04-13,43
2022-04-14,69
2022-04-15,0
2022-04-16,65
2022-04-17,48
2022-04-18,82
2022-04-19,54
2022-04-20,68
2022-04-21,0
2022-04-22,60
2022-04-23,53
2022-04-24,62
2022-04-25,69
2022-04-26,45
2022-04-27,46
2022-04-28,62
2022-04-29,77
2022-04-30,54
2022-05-01,79
2022-05-02,54
2022-05-03,62
2022-05-04,52
2022-05-05,0
2022-05-06,40
2022-05-07,41
2022-05-08,52
2022-05-09,47
2022-05-10,47
2022-05-11,57
2022-05-12,0
2022-05-13,44
2022-05-14,56
2022-05-15,0
2022-05-16,48
2022-05-17,100
2022-05-18,50
2022-05-19,43
2022-05-20,74
2022-05-21,55
2022-05-22,0
2022-05-23,70
2022-05-24,64
2022-05-25,56
2022-05-26,0
2022-05-27,52
2022-05-28,64
2022-05-29,0
2022-05-30,58
2022-05-31,64
2022-06-01,50
2022-06-02,56
2022-06-03,51
2022-06-04,0
2022-06-05,0
2022-06-06,0
2022-06-07,0
2022-06-08,66
2022-06-09,42
2022-06-10,0
2022-06-11,53
2022-06-12,55
2022-06-13,53
2022-06-14,0
2022-06-15,0
2022-06-16,45
2022-06-17,61
2022-06-18,0
2022-06-19,67
2022-06-20,90
2022-06-21,63
2022-06-22,0
2022-06-23,0
2022-06-24,54
2022-06-25,0
2022-06-26,0
2022-06-27,45
2022-06-28,46
2022-06-29,0
2022-06-30,50
2022-07-01,0
2022-07-02,0
2022-07-03,53
2022-07-04,0
2022-07-05,74
2022-07-06,62
2022-07-07,47
2022-07-08,53
2022-07-09,0
2022-07-10,62
2022-07-11,61
2022-07-12,52
2022-07-13,42
2022-07-14,52
2022-07-15,49
2022-07-16,0
2022-07-17,0
2022-07-18,0
2022-07-19,77
2022-07-20,61
2022-07-21,62
2022-07-22,50
2022-07-23,50
2022-07-24,0
2022-07-25,67
2022-07-26,59
2022-07-27,53
2022-07-28,0
2022-07-29,0
2022-07-30,60
2022-07-31,0
2022-08-01,51
2022-08-02,46
2022-08-03,64
2022-08-04,52
2022-08-05,0
2022-08-06,0
2022-08-07,61
2022-08-08,47
2022-08-09,71
2022-08-10,60
2022-08-11,62
2022-08-12,53
2022-08-13,0
2022-08-14,60
2022-08-15,62
2022-08-16,60
2022-08-17,68
2022-08-18,45
2022-08-19,0
2022-08-20,51
2022-08-21,67
2022-08-22,56
2022-08-23,54
2022-08-24,46
2022-08-25,0
2022-08-26,70
2022-08-27,0
2022-08-28,0
2022-08-29,0
2022-08-30,41
2022-08-31,43
2022-09-01,44
2022-09-02,81
2022-09-03,75
2022-09-04,0
2022-09-05,64
2022-09-06,83
2022-09-07,0
2022-09-08,0
2022-09-09,0
2022-09-10,0
2022-09-11,61
2022-09-12,62
2022-09-13,0
2022-09-14,55
2022-09-15,42
2022-09-16,45
2022-09-17,61
2022-09-18,0
2022-09-19,46
2022-09-20,61
2022-09-21,62
2022-09-22,0
2022-09-23,63
2022-09-24,0
2022-09-25,57
2022-09-26,64
2022-09-27,0
