Time,black panther
2023-04-26,86
2023-04-27,91
2023-04-28,76
2023-04-29,88
2023-04-30,97
2023-05-01,93
2023-05-02,92
2023-05-03,91
2023-05-04,77
2023-05-05,86
2023-05-06,78
2023-05-07,83
2023-05-08,92
2023-05-09,80
2023-05-10,86
2023-05-11,86
2023-05-12,82
2023-05-13,73
2023-05-14,87
2023-05-15,90
2023-05-16,80
2023-05-17,80
2023-05-18,82
2023-05-19,99
2023-05-20,80
2023-05-21,86
2023-05-22,75
2023-05-23,80
2023-05-24,75
2023-05-25,74
2023-05-26,69
2023-05-27,78
2023-05-28,81
2023-05-29,83
2023-05-30,75
2023-05-31,65
2023-06-01,73
2023-06-02,70
2023-06-03,78
2023-06-04,89
2023-06-05,77
2023-06-06,76
2023-06-07,74
2023-06-08,73
2023-06-09,76
2023-06-10,78
2023-06-11,86
2023-06-12,81
2023-06-13,73
2023-06-14,69
2023-06-15,68
2023-06-16,69
2023-06-17,82
2023-06-18,84
2023-06-19,93
2023-06-20,80
2023-06-21,69
2023-06-22,75
2023-06-23,71
2023-06-24,77
2023-06-25,84
2023-06-26,67
2023-06-27,65
2023-06-28,67
2023-06-29,63
2023-06-30,66
2023-07-01,69
2023-07-02,79
2023-07-03,69
2023-07-04,76
2023-07-05,61
2023-07-06,63
2023-07-07,80
2023-07-08,75
2023-07-09,81
2023-07-10,75
2023-07-11,66
2023-07-12,57
2023-07-13,59
2023-07-14,61
2023-07-15,73
2023-07-16,73
2023-07-17,60
2023-07-18,55
2023-07-19,55
2023-07-20,60
2023-07-21,55
2023-07-22,68
2023-07-23,71
2023-07-24,58
2023-07-25,59
2023-07-26,60
2023-07-27,56
2023-07-28,58
2023-07-29,61
2023-07-30,72
2023-07-31,57
2023-08-01,57
2023-08-02,56
2023-08-03,64
2023-08-04,56
2023-08-05,69
2023-08-06,66
2023-08-07,61
2023-08-08,60
2023-08-09,58
2023-08-10,53
2023-08-11,58
2023-08-12,66
2023-08-13,69
2023-08-14,53
2023-08-15,60
2023-08-16,56
2023-08-17,57
2023-08-18,60
2023-08-19,68
2023-08-20,89
2023-08-21,54
2023-08-22,56
2023-08-23,56
2023-08-24,60
2023-08-25,56
2023-08-26,60
2023-08-27,68
2023-08-28,57
2023-08-29,56
2023-08-30,55
2023-08-31,60
2023-09-01,57
2023-09-02,63
2023-09-03,62
2023-09-04,72
2023-09-05,53
2023-09-06,53
2023-09-07,53
2023-09-08,56
2023-09-09,60
2023-09-10,63
2023-09-11,55
2023-09-12,57
2023-09-13,53
2023-09-14,57
2023-09-15,57
2023-09-16,66
2023-09-17,64
2023-09-18,65
2023-09-19,53
2023-09-20,54
2023-09-21,63
2023-09-22,61
2023-09-23,68
2023-09-24,81
2023-09-25,64
2023-09-26,61
2023-09-27,61
2023-09-28,61
2023-09-29,58
2023-09-30,80
2023-10-01,70
2023-10-02,60
2023-10-03,60
2023-10-04,55
2023-10-05,64
2023-10-06,61
2023-10-07,58
2023-10-08,66
2023-10-09,63
2023-10-10,64
2023-10-11,62
2023-10-12,58
2023-10-13,60
2023-10-14,64
2023-10-15,67
2023-10-16,65
2023-10-17,67
2023-10-18,60
2023-10-19,59
2023-10-20,63
2023-10-21,67
2023-10-22,69
2023-10-23,62
2023-10-24,60
2023-10-25,64
2023-10-26,68
2023-10-27,67
2023-10-28,69
2023-10-29,66
2023-10-30,65
2023-10-31,70
2023-11-01,63
2023-11-02,66
2023-11-03,71
2023-11-04,73
2023-11-05,68
2023-11-06,97
2023-11-07,100
2023-11-08,77
2023-11-09,68
2023-11-10,69
2023-11-11,82
2023-11-12,80
2023-11-13,72
2023-11-14,68
2023-11-15,64
2023-11-16,68
2023-11-17,64
2023-11-18,70
2023-11-19,81
2023-11-20,64
2023-11-21,64
2023-11-22,59
2023-11-23,73
2023-11-24,65
2023-11-25,70
2023-11-26,67
2023-11-27,60
2023-11-28,65
2023-11-29,66
2023-11-30,62
2023-12-01,63
2023-12-02,61
2023-12-03,61
2023-12-04,63
2023-12-05,67
2023-12-06,58
2023-12-07,60
2023-12-08,66
2023-12-09,68
2023-12-10,68
2023-12-11,62
2023-12-12,60
2023-12-13,68
2023-12-14,59
2023-12-15,60
2023-12-16,68
2023-12-17,64
2023-12-18,60
2023-12-19,81
2023-12-20,62
2023-12-21,75
2023-12-22,72
2023-12-23,78
2023-12-24,72
2023-12-25,74
2023-12-26,66
2023-12-27,58
2023-12-28,60
2023-12-29,63
2023-12-30,63
2023-12-31,93
2024-01-01,74
2024-01-02,64
2024-01-03,60
2024-01-04,67
2024-01-05,66
2024-01-06,93
2024-01-07,79
2024-01-08,62
2024-01-09,54
2024-01-10,61
2024-01-11,67
2024-01-12,62
2024-01-13,66
2024-01-14,64
2024-01-15,67
2024-01-16,69
2024-01-17,65
2024-01-18,62
2024-01-19,62
2024-01-20,65
