Time,jeffrey dahmer
2023-12-22,55
2023-12-23,58
2023-12-24,62
2023-12-25,59
2023-12-26,56
2023-12-27,58
2023-12-28,56
2023-12-29,58
2023-12-30,62
2023-12-31,66
2024-01-01,60
2024-01-02,44
2024-01-03,63
2024-01-04,61
2024-01-05,63
2024-01-06,58
2024-01-07,59
2024-01-08,47
2024-01-09,50
2024-01-10,51
2024-01-11,56
2024-01-12,49
2024-01-13,49
2024-01-14,57
2024-01-15,51
2024-01-16,75
2024-01-17,62
2024-01-18,50
2024-01-19,55
2024-01-20,58
2024-01-21,60
2024-01-22,52
2024-01-23,55
2024-01-24,52
2024-01-25,52
2024-01-26,55
2024-01-27,55
2024-01-28,59
2024-01-29,53
2024-01-30,54
2024-01-31,52
2024-02-01,54
2024-02-02,50
2024-02-03,54
2024-02-04,50
2024-02-05,47
2024-02-06,44
2024-02-07,45
2024-02-08,46
2024-02-09,52
2024-02-10,49
2024-02-11,49
2024-02-12,38
2024-02-13,44
2024-02-14,41
2024-02-15,49
2024-02-16,48
2024-02-17,58
2024-02-18,78
2024-02-19,54
2024-02-20,49
2024-02-21,43
2024-02-22,46
2024-02-23,45
2024-02-24,48
2024-02-25,57
2024-02-26,45
2024-02-27,44
2024-02-28,49
2024-02-29,46
2024-03-01,66
2024-03-02,56
2024-03-03,60
2024-03-04,52
2024-03-05,49
2024-03-06,51
2024-03-07,56
2024-03-08,52
2024-03-09,53
2024-03-10,62
2024-03-11,49
2024-03-12,45
2024-03-13,50
2024-03-14,48
2024-03-15,48
2024-03-16,55
2024-03-17,57
2024-03-18,50
2024-03-19,52
2024-03-20,46
2024-03-21,51
2024-03-22,49
2024-03-23,55
2024-03-24,59
2024-03-25,49
2024-03-26,43
2024-03-27,52
2024-03-28,49
2024-03-29,51
2024-03-30,54
2024-03-31,53
2024-04-01,43
2024-04-02,54
2024-04-03,46
2024-04-04,51
2024-04-05,45
2024-04-06,51
2024-04-07,51
2024-04-08,53
2024-04-09,59
2024-04-10,64
2024-04-11,60
2024-04-12,56
2024-04-13,51
2024-04-14,59
2024-04-15,51
2024-04-16,53
2024-04-17,56
2024-04-18,51
2024-04-19,57
2024-04-20,57
2024-04-21,60
2024-04-22,57
2024-04-23,50
2024-04-24,56
2024-04-25,52
2024-04-26,61
2024-04-27,60
2024-04-28,59
2024-04-29,58
2024-04-30,65
2024-05-01,57
2024-05-02,55
2024-05-03,56
2024-05-04,57
2024-05-05,53
2024-05-06,55
2024-05-07,51
2024-05-08,50
2024-05-09,56
2024-05-10,55
2024-05-11,55
2024-05-12,59
2024-05-13,59
2024-05-14,66
2024-05-15,56
2024-05-16,53
2024-05-17,56
2024-05-18,55
2024-05-19,66
2024-05-20,59
2024-05-21,61
2024-05-22,56
2024-05-23,62
2024-05-24,55
2024-05-25,57
2024-05-26,66
2024-05-27,63
2024-05-28,62
2024-05-29,59
2024-05-30,55
2024-05-31,57
2024-06-01,66
2024-06-02,60
2024-06-03,49
2024-06-04,54
2024-06-05,65
2024-06-06,64
2024-06-07,62
2024-06-08,68
2024-06-09,85
2024-06-10,79
2024-06-11,68
2024-06-12,90
2024-06-13,89
2024-06-14,88
2024-06-15,87
2024-06-16,78
2024-06-17,71
2024-06-18,62
2024-06-19,67
2024-06-20,59
2024-06-21,62
2024-06-22,65
2024-06-23,72
2024-06-24,64
2024-06-25,60
2024-06-26,62
2024-06-27,66
2024-06-28,72
2024-06-29,77
2024-06-30,68
2024-07-01,54
2024-07-02,49
2024-07-03,47
2024-07-04,58
2024-07-05,52
2024-07-06,62
2024-07-07,61
2024-07-08,58
2024-07-09,46
2024-07-10,55
2024-07-11,52
2024-07-12,56
2024-07-13,60
2024-07-14,67
2024-07-15,48
2024-07-16,50
2024-07-17,43
2024-07-18,54
2024-07-19,47
2024-07-20,57
2024-07-21,52
2024-07-22,45
2024-07-23,54
2024-07-24,46
2024-07-25,44
2024-07-26,52
2024-07-27,59
2024-07-28,74
2024-07-29,58
2024-07-30,60
2024-07-31,100
2024-08-01,69
2024-08-02,58
2024-08-03,52
2024-08-04,59
2024-08-05,46
2024-08-06,42
2024-08-07,47
2024-08-08,42
2024-08-09,45
2024-08-10,52
2024-08-11,55
2024-08-12,56
2024-08-13,57
2024-08-14,63
2024-08-15,50
2024-08-16,45
2024-08-17,54
2024-08-18,59
2024-08-19,46
2024-08-20,50
2024-08-21,47
2024-08-22,66
2024-08-23,65
2024-08-24,58
2024-08-25,65
2024-08-26,51
2024-08-27,47
2024-08-28,50
2024-08-29,54
2024-08-30,55
2024-08-31,55
2024-09-01,60
2024-09-02,62
2024-09-03,49
2024-09-04,44
2024-09-05,43
2024-09-06,50
2024-09-07,57
2024-09-08,57
2024-09-09,48
2024-09-10,53
2024-09-11,48
2024-09-12,49
2024-09-13,56
2024-09-14,60
2024-09-15,56
2024-09-16,53
