Time,jeffrey dahmer
2023-04-26,56
2023-04-27,61
2023-04-28,60
2023-04-29,60
2023-04-30,69
2023-05-01,74
2023-05-02,67
2023-05-03,59
2023-05-04,57
2023-05-05,63
2023-05-06,60
2023-05-07,61
2023-05-08,67
2023-05-09,58
2023-05-10,64
2023-05-11,57
2023-05-12,61
2023-05-13,65
2023-05-14,75
2023-05-15,91
2023-05-16,63
2023-05-17,61
2023-05-18,59
2023-05-19,66
2023-05-20,71
2023-05-21,78
2023-05-22,59
2023-05-23,59
2023-05-24,58
2023-05-25,64
2023-05-26,94
2023-05-27,67
2023-05-28,68
2023-05-29,100
2023-05-30,88
2023-05-31,64
2023-06-01,58
2023-06-02,64
2023-06-03,66
2023-06-04,67
2023-06-05,62
2023-06-06,56
2023-06-07,53
2023-06-08,47
2023-06-09,55
2023-06-10,67
2023-06-11,63
2023-06-12,58
2023-06-13,55
2023-06-14,52
2023-06-15,54
2023-06-16,55
2023-06-17,62
2023-06-18,65
2023-06-19,59
2023-06-20,57
2023-06-21,54
2023-06-22,54
2023-06-23,60
2023-06-24,60
2023-06-25,70
2023-06-26,55
2023-06-27,53
2023-06-28,51
2023-06-29,54
2023-06-30,52
2023-07-01,61
2023-07-02,66
2023-07-03,54
2023-07-04,61
2023-07-05,48
2023-07-06,49
2023-07-07,50
2023-07-08,57
2023-07-09,57
2023-07-10,52
2023-07-11,50
2023-07-12,48
2023-07-13,57
2023-07-14,60
2023-07-15,64
2023-07-16,69
2023-07-17,55
2023-07-18,52
2023-07-19,57
2023-07-20,53
2023-07-21,54
2023-07-22,64
2023-07-23,69
2023-07-24,57
2023-07-25,61
2023-07-26,66
2023-07-27,61
2023-07-28,57
2023-07-29,63
2023-07-30,67
2023-07-31,56
2023-08-01,53
2023-08-02,47
2023-08-03,52
2023-08-04,54
2023-08-05,57
2023-08-06,66
2023-08-07,51
2023-08-08,57
2023-08-09,45
2023-08-10,51
2023-08-11,56
2023-08-12,56
2023-08-13,65
2023-08-14,52
2023-08-15,53
2023-08-16,50
2023-08-17,55
2023-08-18,56
2023-08-19,56
2023-08-20,63
2023-08-21,53
2023-08-22,50
2023-08-23,60
2023-08-24,53
2023-08-25,66
2023-08-26,62
2023-08-27,58
2023-08-28,47
2023-08-29,50
2023-08-30,49
2023-08-31,53
2023-09-01,51
2023-09-02,56
2023-09-03,62
2023-09-04,62
2023-09-05,52
2023-09-06,46
2023-09-07,48
2023-09-08,52
2023-09-09,54
2023-09-10,61
2023-09-11,66
2023-09-12,61
2023-09-13,59
2023-09-14,68
2023-09-15,64
2023-09-16,67
2023-09-17,74
2023-09-18,72
2023-09-19,81
2023-09-20,73
2023-09-21,73
2023-09-22,79
2023-09-23,76
2023-09-24,84
2023-09-25,72
2023-09-26,71
2023-09-27,73
2023-09-28,73
2023-09-29,67
2023-09-30,74
2023-10-01,75
2023-10-02,73
2023-10-03,69
2023-10-04,62
2023-10-05,72
2023-10-06,66
2023-10-07,72
2023-10-08,68
2023-10-09,64
2023-10-10,63
2023-10-11,60
2023-10-12,64
2023-10-13,60
2023-10-14,68
2023-10-15,71
2023-10-16,61
2023-10-17,61
2023-10-18,63
2023-10-19,61
2023-10-20,66
2023-10-21,70
2023-10-22,71
2023-10-23,64
2023-10-24,62
2023-10-25,56
2023-10-26,64
2023-10-27,67
2023-10-28,75
2023-10-29,72
2023-10-30,68
2023-10-31,75
2023-11-01,66
2023-11-02,53
2023-11-03,53
2023-11-04,56
2023-11-05,58
2023-11-06,49
2023-11-07,49
2023-11-08,55
2023-11-09,65
2023-11-10,60
2023-11-11,64
2023-11-12,60
2023-11-13,52
2023-11-14,55
2023-11-15,56
2023-11-16,59
2023-11-17,62
2023-11-18,55
2023-11-19,56
2023-11-20,54
2023-11-21,57
2023-11-22,53
2023-11-23,62
2023-11-24,48
2023-11-25,63
2023-11-26,57
2023-11-27,48
2023-11-28,62
2023-11-29,53
2023-11-30,57
2023-12-01,50
2023-12-02,45
2023-12-03,53
2023-12-04,50
2023-12-05,53
2023-12-06,73
2023-12-07,71
2023-12-08,57
2023-12-09,59
2023-12-10,55
2023-12-11,58
2023-12-12,56
2023-12-13,66
2023-12-14,56
2023-12-15,58
2023-12-16,59
2023-12-17,60
2023-12-18,47
2023-12-19,53
2023-12-20,57
2023-12-21,54
2023-12-22,57
2023-12-23,61
2023-12-24,65
2023-12-25,61
2023-12-26,58
2023-12-27,61
2023-12-28,58
2023-12-29,60
2023-12-30,65
2023-12-31,69
2024-01-01,63
2024-01-02,46
2024-01-03,66
2024-01-04,63
2024-01-05,66
2024-01-06,60
2024-01-07,61
2024-01-08,49
2024-01-09,52
2024-01-10,53
2024-01-11,58
2024-01-12,51
2024-01-13,51
2024-01-14,59
2024-01-15,53
2024-01-16,78
2024-01-17,65
2024-01-18,52
2024-01-19,57
2024-01-20,61
