Time,lightning game
2023-12-22,26
2023-12-23,15
2023-12-24,21
2023-12-25,8
2023-12-26,10
2023-12-27,15
2023-12-28,21
2023-12-29,9
2023-12-30,18
2023-12-31,31
2024-01-01,27
2024-01-02,10
2024-01-03,14
2024-01-04,9
2024-01-05,17
2024-01-06,16
2024-01-07,18
2024-01-08,9
2024-01-09,13
2024-01-10,24
2024-01-11,16
2024-01-12,22
2024-01-13,17
2024-01-14,27
2024-01-15,10
2024-01-16,12
2024-01-17,9
2024-01-18,15
2024-01-19,37
2024-01-20,22
2024-01-21,17
2024-01-22,23
2024-01-23,10
2024-01-24,17
2024-01-25,14
2024-01-26,24
2024-01-27,18
2024-01-28,31
2024-01-29,7
2024-01-30,8
2024-01-31,6
2024-02-01,8
2024-02-02,7
2024-02-03,7
2024-02-04,6
2024-02-05,5
2024-02-06,9
2024-02-07,11
2024-02-08,20
2024-02-09,16
2024-02-10,11
2024-02-11,14
2024-02-12,7
2024-02-13,11
2024-02-14,16
2024-02-15,14
2024-02-16,34
2024-02-17,33
2024-02-18,27
2024-02-19,16
2024-02-20,23
2024-02-21,8
2024-02-22,10
2024-02-23,25
2024-02-24,22
2024-02-25,26
2024-02-26,7
2024-02-27,13
2024-02-28,23
2024-02-29,14
2024-03-01,22
2024-03-02,19
2024-03-03,25
2024-03-04,6
2024-03-05,6
2024-03-06,7
2024-03-07,11
2024-03-08,20
2024-03-09,16
2024-03-10,33
2024-03-11,9
2024-03-12,8
2024-03-13,8
2024-03-14,15
2024-03-15,19
2024-03-16,24
2024-03-17,24
2024-03-18,7
2024-03-19,10
2024-03-20,17
2024-03-21,9
2024-03-22,17
2024-03-23,13
2024-03-24,21
2024-03-25,16
2024-03-26,10
2024-03-27,19
2024-03-28,24
2024-03-29,11
2024-03-30,23
2024-03-31,25
2024-04-01,22
2024-04-02,21
2024-04-03,15
2024-04-04,23
2024-04-05,15
2024-04-06,32
2024-04-07,12
2024-04-08,10
2024-04-09,16
2024-04-10,19
2024-04-11,17
2024-04-12,23
2024-04-13,29
2024-04-14,18
2024-04-15,21
2024-04-16,22
2024-04-17,26
2024-04-18,32
2024-04-19,11
2024-04-20,17
2024-04-21,85
2024-04-22,21
2024-04-23,36
2024-04-24,75
2024-04-25,45
2024-04-26,76
2024-04-27,100
2024-04-28,55
2024-04-29,51
2024-04-30,74
2024-05-01,8
2024-05-02,6
2024-05-03,5
2024-05-04,7
2024-05-05,5
2024-05-06,5
2024-05-07,5
2024-05-08,5
2024-05-09,4
2024-05-10,3
2024-05-11,4
2024-05-12,5
2024-05-13,4
2024-05-14,4
2024-05-15,4
2024-05-16,3
2024-05-17,4
2024-05-18,3
2024-05-19,0
2024-05-20,4
2024-05-21,4
2024-05-22,4
2024-05-23,3
2024-05-24,4
2024-05-25,4
2024-05-26,3
2024-05-27,2
2024-05-28,4
2024-05-29,3
2024-05-30,4
2024-05-31,3
2024-06-01,4
2024-06-02,2
2024-06-03,0
2024-06-04,2
2024-06-05,4
2024-06-06,4
2024-06-07,3
2024-06-08,3
2024-06-09,4
2024-06-10,0
2024-06-11,4
2024-06-12,0
2024-06-13,4
2024-06-14,3
2024-06-15,0
2024-06-16,4
2024-06-17,3
2024-06-18,2
2024-06-19,4
2024-06-20,4
2024-06-21,4
2024-06-22,6
2024-06-23,4
2024-06-24,4
2024-06-25,4
2024-06-26,5
2024-06-27,3
2024-06-28,3
2024-06-29,5
2024-06-30,4
2024-07-01,3
2024-07-02,3
2024-07-03,3
2024-07-04,0
2024-07-05,2
2024-07-06,3
2024-07-07,4
2024-07-08,2
2024-07-09,3
2024-07-10,3
2024-07-11,3
2024-07-12,0
2024-07-13,4
2024-07-14,4
2024-07-15,3
2024-07-16,3
2024-07-17,3
2024-07-18,3
2024-07-19,3
2024-07-20,3
2024-07-21,5
2024-07-22,4
2024-07-23,4
2024-07-24,3
2024-07-25,2
2024-07-26,0
2024-07-27,5
2024-07-28,0
2024-07-29,3
2024-07-30,2
2024-07-31,4
2024-08-01,2
2024-08-02,5
2024-08-03,4
2024-08-04,4
2024-08-05,2
2024-08-06,2
2024-08-07,3
2024-08-08,3
2024-08-09,3
2024-08-10,3
2024-08-11,3
2024-08-12,3
2024-08-13,3
2024-08-14,3
2024-08-15,5
2024-08-16,3
2024-08-17,4
2024-08-18,0
2024-08-19,4
2024-08-20,3
2024-08-21,4
2024-08-22,3
2024-08-23,3
2024-08-24,4
2024-08-25,2
2024-08-26,2
2024-08-27,3
2024-08-28,3
2024-08-29,4
2024-08-30,5
2024-08-31,7
2024-09-01,8
2024-09-02,3
2024-09-03,2
2024-09-04,4
2024-09-05,4
2024-09-06,4
2024-09-07,5
2024-09-08,5
2024-09-09,3
2024-09-10,3
2024-09-11,5
2024-09-12,3
2024-09-13,3
2024-09-14,6
2024-09-15,6
2024-09-16,4
