Time,super bowl 2022
2023-04-26,9
2023-04-27,15
2023-04-28,26
2023-04-29,16
2023-04-30,11
2023-05-01,8
2023-05-02,9
2023-05-03,10
2023-05-04,8
2023-05-05,8
2023-05-06,10
2023-05-07,7
2023-05-08,8
2023-05-09,6
2023-05-10,8
2023-05-11,9
2023-05-12,13
2023-05-13,11
2023-05-14,8
2023-05-15,7
2023-05-16,7
2023-05-17,6
2023-05-18,6
2023-05-19,7
2023-05-20,7
2023-05-21,9
2023-05-22,7
2023-05-23,9
2023-05-24,8
2023-05-25,7
2023-05-26,7
2023-05-27,6
2023-05-28,8
2023-05-29,7
2023-05-30,4
2023-05-31,6
2023-06-01,5
2023-06-02,6
2023-06-03,6
2023-06-04,7
2023-06-05,6
2023-06-06,5
2023-06-07,7
2023-06-08,8
2023-06-09,7
2023-06-10,6
2023-06-11,6
2023-06-12,7
2023-06-13,11
2023-06-14,9
2023-06-15,8
2023-06-16,12
2023-06-17,8
2023-06-18,8
2023-06-19,5
2023-06-20,5
2023-06-21,5
2023-06-22,5
2023-06-23,4
2023-06-24,7
2023-06-25,8
2023-06-26,5
2023-06-27,7
2023-06-28,7
2023-06-29,7
2023-06-30,7
2023-07-01,4
2023-07-02,6
2023-07-03,7
2023-07-04,9
2023-07-05,5
2023-07-06,6
2023-07-07,7
2023-07-08,8
2023-07-09,5
2023-07-10,4
2023-07-11,6
2023-07-12,10
2023-07-13,17
2023-07-14,16
2023-07-15,25
2023-07-16,24
2023-07-17,19
2023-07-18,17
2023-07-19,21
2023-07-20,17
2023-07-21,13
2023-07-22,21
2023-07-23,19
2023-07-24,14
2023-07-25,13
2023-07-26,12
2023-07-27,14
2023-07-28,14
2023-07-29,14
2023-07-30,16
2023-07-31,11
2023-08-01,11
2023-08-02,10
2023-08-03,12
2023-08-04,13
2023-08-05,13
2023-08-06,10
2023-08-07,13
2023-08-08,10
2023-08-09,11
2023-08-10,11
2023-08-11,14
2023-08-12,19
2023-08-13,24
2023-08-14,13
2023-08-15,13
2023-08-16,12
2023-08-17,10
2023-08-18,16
2023-08-19,16
2023-08-20,19
2023-08-21,12
2023-08-22,13
2023-08-23,9
2023-08-24,9
2023-08-25,16
2023-08-26,18
2023-08-27,19
2023-08-28,12
2023-08-29,13
2023-08-30,14
2023-08-31,11
2023-09-01,11
2023-09-02,14
2023-09-03,15
2023-09-04,21
2023-09-05,14
2023-09-06,18
2023-09-07,34
2023-09-08,100
2023-09-09,17
2023-09-10,80
2023-09-11,36
2023-09-12,30
2023-09-13,16
2023-09-14,18
2023-09-15,39
2023-09-16,15
2023-09-17,49
2023-09-18,21
2023-09-19,16
2023-09-20,13
2023-09-21,12
2023-09-22,20
2023-09-23,15
2023-09-24,47
2023-09-25,46
2023-09-26,53
2023-09-27,21
2023-09-28,15
2023-09-29,20
2023-09-30,14
2023-10-01,33
2023-10-02,35
2023-10-03,15
2023-10-04,11
2023-10-05,11
2023-10-06,10
2023-10-07,17
2023-10-08,73
2023-10-09,45
2023-10-10,21
2023-10-11,14
2023-10-12,13
2023-10-13,20
2023-10-14,11
2023-10-15,32
2023-10-16,19
2023-10-17,12
2023-10-18,9
2023-10-19,9
2023-10-20,9
2023-10-21,7
2023-10-22,25
2023-10-23,22
2023-10-24,15
2023-10-25,12
2023-10-26,9
2023-10-27,11
2023-10-28,9
2023-10-29,25
2023-10-30,16
2023-10-31,11
2023-11-01,10
2023-11-02,8
2023-11-03,11
2023-11-04,11
2023-11-05,27
2023-11-06,32
2023-11-07,12
2023-11-08,10
2023-11-09,8
2023-11-10,11
2023-11-11,17
2023-11-12,24
2023-11-13,17
2023-11-14,17
2023-11-15,11
2023-11-16,12
2023-11-17,20
2023-11-18,13
2023-11-19,23
2023-11-20,30
2023-11-21,77
2023-11-22,12
2023-11-23,28
2023-11-24,24
2023-11-25,10
2023-11-26,25
2023-11-27,30
2023-11-28,9
2023-11-29,11
2023-11-30,11
2023-12-01,13
2023-12-02,11
2023-12-03,29
2023-12-04,35
2023-12-05,15
2023-12-06,10
2023-12-07,7
2023-12-08,11
2023-12-09,8
2023-12-10,26
2023-12-11,38
2023-12-12,15
2023-12-13,13
2023-12-14,9
2023-12-15,15
2023-12-16,13
2023-12-17,21
2023-12-18,17
2023-12-19,18
2023-12-20,8
2023-12-21,12
2023-12-22,21
2023-12-23,17
2023-12-24,19
2023-12-25,46
2023-12-26,35
2023-12-27,10
2023-12-28,11
2023-12-29,14
2023-12-30,16
2023-12-31,42
2024-01-01,31
2024-01-02,19
2024-01-03,15
2024-01-04,15
2024-01-05,12
2024-01-06,15
2024-01-07,28
2024-01-08,30
2024-01-09,18
2024-01-10,18
2024-01-11,17
2024-01-12,17
2024-01-13,21
2024-01-14,74
2024-01-15,88
2024-01-16,67
2024-01-17,26
2024-01-18,20
2024-01-19,23
2024-01-20,38
