Time,usps
2024-08-18,30
2024-08-19,56
2024-08-20,55
2024-08-21,55
2024-08-22,55
2024-08-23,54
2024-08-24,47
2024-08-25,31
2024-08-26,57
2024-08-27,55
2024-08-28,53
2024-08-29,52
2024-08-30,54
2024-08-31,43
2024-09-01,28
2024-09-02,33
2024-09-03,57
2024-09-04,53
2024-09-05,51
2024-09-06,51
2024-09-07,47
2024-09-08,29
2024-09-09,56
2024-09-10,52
2024-09-11,51
2024-09-12,54
2024-09-13,51
2024-09-14,45
2024-09-15,28
2024-09-16,61
2024-09-17,51
2024-09-18,52
2024-09-19,49
2024-09-20,50
2024-09-21,48
2024-09-22,29
2024-09-23,53
2024-09-24,50
2024-09-25,47
2024-09-26,51
2024-09-27,48
2024-09-28,42
2024-09-29,28
2024-09-30,50
2024-10-01,47
2024-10-02,49
2024-10-03,53
2024-10-04,51
2024-10-05,42
2024-10-06,28
2024-10-07,51
2024-10-08,51
2024-10-09,48
2024-10-10,48
2024-10-11,51
2024-10-12,48
2024-10-13,30
2024-10-14,55
2024-10-15,61
2024-10-16,55
2024-10-17,59
2024-10-18,54
2024-10-19,48
2024-10-20,30
2024-10-21,59
2024-10-22,55
2024-10-23,55
2024-10-24,53
2024-10-25,52
2024-10-26,46
2024-10-27,30
2024-10-28,54
2024-10-29,51
2024-10-30,49
2024-10-31,48
2024-11-01,49
2024-11-02,43
2024-11-03,27
2024-11-04,52
2024-11-05,48
2024-11-06,34
2024-11-07,47
2024-11-08,46
2024-11-09,42
2024-11-10,28
2024-11-11,49
2024-11-12,58
2024-11-13,53
2024-11-14,50
2024-11-15,52
2024-11-16,43
2024-11-17,29
2024-11-18,55
2024-11-19,57
2024-11-20,52
2024-11-21,52
2024-11-22,52
2024-11-23,49
2024-11-24,32
2024-11-25,58
2024-11-26,59
2024-11-27,58
2024-11-28,32
2024-11-29,49
2024-11-30,48
2024-12-01,34
2024-12-02,63
2024-12-03,66
2024-12-04,63
2024-12-05,66
2024-12-06,71
2024-12-07,68
2024-12-08,46
2024-12-09,70
2024-12-10,82
2024-12-11,81
2024-12-12,80
2024-12-13,81
2024-12-14,84
2024-12-15,57
2024-12-16,91
2024-12-17,96
2024-12-18,100
2024-12-19,97
2024-12-20,97
2024-12-21,86
2024-12-22,60
2024-12-23,95
2024-12-24,91
2024-12-25,38
2024-12-26,64
2024-12-27,68
2024-12-28,57
2024-12-29,37
2024-12-30,67
2024-12-31,69
2025-01-01,37
2025-01-02,61
2025-01-03,58
2025-01-04,55
2025-01-05,35
2025-01-06,59
2025-01-07,60
2025-01-08,59
2025-01-09,67
2025-01-10,63
2025-01-11,56
2025-01-12,36
2025-01-13,62
2025-01-14,61
2025-01-15,60
2025-01-16,64
2025-01-17,65
2025-01-18,57
2025-01-19,35
2025-01-20,48
2025-01-21,66
2025-01-22,61
2025-01-23,56
2025-01-24,59
2025-01-25,60
2025-01-26,38
2025-01-27,59
2025-01-28,61
2025-01-29,57
2025-01-30,55
2025-01-31,55
2025-02-01,52
2025-02-02,33
2025-02-03,55
2025-02-04,56
2025-02-05,69
2025-02-06,60
2025-02-07,55
2025-02-08,50
2025-02-09,31
2025-02-10,55
2025-02-11,61
2025-02-12,57
2025-02-13,54
2025-02-14,57
2025-02-15,50
2025-02-16,34
2025-02-17,49
2025-02-18,63
2025-02-19,59
2025-02-20,54
2025-02-21,62
2025-02-22,53
2025-02-23,35
2025-02-24,56
2025-02-25,57
2025-02-26,53
2025-02-27,54
2025-02-28,57
2025-03-01,50
2025-03-02,34
2025-03-03,56
2025-03-04,56
2025-03-05,54
2025-03-06,56
2025-03-07,51
2025-03-08,52
2025-03-09,34
2025-03-10,61
2025-03-11,59
2025-03-12,58
2025-03-13,57
2025-03-14,59
2025-03-15,52
2025-03-16,36
2025-03-17,61
2025-03-18,59
2025-03-19,59
2025-03-20,55
2025-03-21,56
2025-03-22,50
2025-03-23,35
2025-03-24,65
2025-03-25,63
2025-03-26,58
2025-03-27,56
2025-03-28,56
2025-03-29,47
2025-03-30,33
2025-03-31,54
2025-04-01,53
2025-04-02,50
2025-04-03,52
2025-04-04,52
2025-04-05,47
2025-04-06,31
2025-04-07,58
2025-04-08,54
2025-04-09,52
2025-04-10,53
2025-04-11,54
2025-04-12,50
2025-04-13,31
2025-04-14,59
2025-04-15,62
2025-04-16,56
2025-04-17,54
2025-04-18,55
2025-04-19,44
2025-04-20,28
2025-04-21,57
2025-04-22,51
2025-04-23,47
2025-04-24,45
2025-04-25,45
2025-04-26,41
2025-04-27,28
2025-04-28,51
2025-04-29,50
2025-04-30,46
2025-05-01,47
2025-05-02,47
2025-05-03,42
2025-05-04,28
2025-05-05,49
2025-05-06,49
2025-05-07,51
2025-05-08,50
2025-05-09,52
2025-05-10,44
2025-05-11,28
2025-05-12,53
2025-05-13,49
2025-05-14,48
