Time,usps
2025-12-11,74
2025-12-12,78
2025-12-13,79
2025-12-14,49
2025-12-15,92
2025-12-16,95
2025-12-17,89
2025-12-18,90
2025-12-19,95
2025-12-20,90
2025-12-21,62
2025-12-22,100
2025-12-23,99
2025-12-24,88
2025-12-25,37
2025-12-26,65
2025-12-27,56
2025-12-28,39
2025-12-29,70
2025-12-30,69
2025-12-31,71
2026-01-01,40
2026-01-02,63
2026-01-03,58
2026-01-04,38
2026-01-05,63
2026-01-06,64
2026-01-07,62
2026-01-08,61
2026-01-09,64
2026-01-10,57
2026-01-11,37
2026-01-12,62
2026-01-13,60
2026-01-14,57
2026-01-15,55
2026-01-16,56
2026-01-17,52
2026-01-18,33
2026-01-19,55
2026-01-20,66
2026-01-21,62
2026-01-22,55
2026-01-23,56
2026-01-24,52
2026-01-25,31
2026-01-26,61
2026-01-27,64
2026-01-28,62
2026-01-29,68
2026-01-30,64
2026-01-31,60
2026-02-01,39
2026-02-02,65
2026-02-03,65
2026-02-04,59
2026-02-05,61
2026-02-06,60
2026-02-07,62
2026-02-08,35
2026-02-09,54
2026-02-10,60
2026-02-11,63
2026-02-12,58
2026-02-13,57
2026-02-14,50
2026-02-15,38
2026-02-16,54
2026-02-17,60
2026-02-18,53
2026-02-19,52
2026-02-20,51
2026-02-21,51
2026-02-22,32
2026-02-23,57
2026-02-24,57
2026-02-25,54
2026-02-26,55
2026-02-27,59
2026-02-28,52
2026-03-01,34
2026-03-02,60
2026-03-03,58
2026-03-04,57
2026-03-05,57
2026-03-06,60
2026-03-07,57
2026-03-08,36
2026-03-09,63
2026-03-10,63
2026-03-11,57
2026-03-12,59
2026-03-13,63
2026-03-14,57
2026-03-15,35
2026-03-16,62
2026-03-17,65
2026-03-18,62
2026-03-19,60
2026-03-20,60
2026-03-21,56
2026-03-22,37
2026-03-23,62
2026-03-24,61
2026-03-25,59
2026-03-26,60
2026-03-27,59
2026-03-28,53
2026-03-29,38
2026-03-30,63
2026-03-31,60
2026-04-01,58
2026-04-02,57
2026-04-03,63
2026-04-04,49
2026-04-05,32
2026-04-06,67
2026-04-07,62
2026-04-08,58
2026-04-09,59
2026-04-10,62
2026-04-11,54
2026-04-12,36
2026-04-13,62
2026-04-14,62
2026-04-15,59
2026-04-16,56
2026-04-17,57
2026-04-18,46
2026-04-19,32
2026-04-20,59
2026-04-21,57
2026-04-22,54
2026-04-23,53
2026-04-24,54
2026-04-25,46
2026-04-26,32
2026-04-27,57
2026-04-28,54
2026-04-29,54
2026-04-30,53
2026-05-01,53
2026-05-02,46
2026-05-03,32
2026-05-04,57
2026-05-05,55
2026-05-06,53
2026-05-07,60
2026-05-08,59
2026-05-09,50
2026-05-10,30
2026-05-11,60
2026-05-12,57
2026-05-13,54
2026-05-14,55
2026-05-15,55
2026-05-16,50
2026-05-17,32
2026-05-18,59
2026-05-19,54
2026-05-20,52
2026-05-21,56
2026-05-22,57
2026-05-23,51
2026-05-24,31
2026-05-25,38
2026-05-26,63
2026-05-27,58
2026-05-28,59
2026-05-29,57
2026-05-30,53
2026-05-31,33
