Time,usps
2023-12-22,100
2023-12-23,84
2023-12-24,51
2023-12-25,31
2023-12-26,70
2023-12-27,68
2023-12-28,66
2023-12-29,69
2023-12-30,58
2023-12-31,36
2024-01-01,36
2024-01-02,72
2024-01-03,66
2024-01-04,63
2024-01-05,65
2024-01-06,61
2024-01-07,37
2024-01-08,66
2024-01-09,64
2024-01-10,65
2024-01-11,64
2024-01-12,63
2024-01-13,61
2024-01-14,37
2024-01-15,55
2024-01-16,69
2024-01-17,70
2024-01-18,68
2024-01-19,68
2024-01-20,65
2024-01-21,40
2024-01-22,71
2024-01-23,67
2024-01-24,68
2024-01-25,68
2024-01-26,61
2024-01-27,56
2024-01-28,34
2024-01-29,60
2024-01-30,61
2024-01-31,58
2024-02-01,56
2024-02-02,56
2024-02-03,52
2024-02-04,33
2024-02-05,57
2024-02-06,54
2024-02-07,56
2024-02-08,58
2024-02-09,59
2024-02-10,53
2024-02-11,32
2024-02-12,51
2024-02-13,56
2024-02-14,54
2024-02-15,54
2024-02-16,55
2024-02-17,48
2024-02-18,31
2024-02-19,51
2024-02-20,62
2024-02-21,53
2024-02-22,55
2024-02-23,54
2024-02-24,52
2024-02-25,33
2024-02-26,60
2024-02-27,56
2024-02-28,54
2024-02-29,53
2024-03-01,54
2024-03-02,54
2024-03-03,34
2024-03-04,62
2024-03-05,55
2024-03-06,58
2024-03-07,55
2024-03-08,57
2024-03-09,51
2024-03-10,32
2024-03-11,59
2024-03-12,58
2024-03-13,56
2024-03-14,66
2024-03-15,57
2024-03-16,50
2024-03-17,34
2024-03-18,57
2024-03-19,57
2024-03-20,52
2024-03-21,56
2024-03-22,56
2024-03-23,49
2024-03-24,32
2024-03-25,60
2024-03-26,58
2024-03-27,59
2024-03-28,61
2024-03-29,62
2024-03-30,50
2024-03-31,29
2024-04-01,61
2024-04-02,61
2024-04-03,56
2024-04-04,53
2024-04-05,54
2024-04-06,46
2024-04-07,31
2024-04-08,51
2024-04-09,55
2024-04-10,56
2024-04-11,54
2024-04-12,58
2024-04-13,48
2024-04-14,32
2024-04-15,63
2024-04-16,60
2024-04-17,53
2024-04-18,55
2024-04-19,54
2024-04-20,48
2024-04-21,31
2024-04-22,59
2024-04-23,57
2024-04-24,54
2024-04-25,53
2024-04-26,52
2024-04-27,48
2024-04-28,31
2024-04-29,56
2024-04-30,54
2024-05-01,51
2024-05-02,52
2024-05-03,53
2024-05-04,45
2024-05-05,31
2024-05-06,59
2024-05-07,56
2024-05-08,56
2024-05-09,56
2024-05-10,57
2024-05-11,50
2024-05-12,32
2024-05-13,59
2024-05-14,58
2024-05-15,55
2024-05-16,52
2024-05-17,53
2024-05-18,46
2024-05-19,31
2024-05-20,56
2024-05-21,56
2024-05-22,55
2024-05-23,54
2024-05-24,54
2024-05-25,45
2024-05-26,28
2024-05-27,34
2024-05-28,60
2024-05-29,60
2024-05-30,57
2024-05-31,53
2024-06-01,49
2024-06-02,31
2024-06-03,59
2024-06-04,57
2024-06-05,56
2024-06-06,56
2024-06-07,55
2024-06-08,49
2024-06-09,31
2024-06-10,59
2024-06-11,59
2024-06-12,58
2024-06-13,58
2024-06-14,54
2024-06-15,45
2024-06-16,30
2024-06-17,59
2024-06-18,60
2024-06-19,60
2024-06-20,59
2024-06-21,58
2024-06-22,49
2024-06-23,30
2024-06-24,61
2024-06-25,59
2024-06-26,58
2024-06-27,58
2024-06-28,57
2024-06-29,49
2024-06-30,30
2024-07-01,62
2024-07-02,59
2024-07-03,57
2024-07-04,36
2024-07-05,56
2024-07-06,45
2024-07-07,29
2024-07-08,57
2024-07-09,55
2024-07-10,56
2024-07-11,55
2024-07-12,56
2024-07-13,47
2024-07-14,29
2024-07-15,59
2024-07-16,58
2024-07-17,56
2024-07-18,56
2024-07-19,58
2024-07-20,49
2024-07-21,30
2024-07-22,59
2024-07-23,62
2024-07-24,58
2024-07-25,58
2024-07-26,58
2024-07-27,47
2024-07-28,29
2024-07-29,57
2024-07-30,58
2024-07-31,55
2024-08-01,54
2024-08-02,56
2024-08-03,47
2024-08-04,31
2024-08-05,55
2024-08-06,54
2024-08-07,59
2024-08-08,53
2024-08-09,56
2024-08-10,46
2024-08-11,31
2024-08-12,66
2024-08-13,59
2024-08-14,54
2024-08-15,51
2024-08-16,54
2024-08-17,46
2024-08-18,30
2024-08-19,56
2024-08-20,54
2024-08-21,54
2024-08-22,55
2024-08-23,54
2024-08-24,47
2024-08-25,31
2024-08-26,56
2024-08-27,54
2024-08-28,52
2024-08-29,51
2024-08-30,53
2024-08-31,43
2024-09-01,28
2024-09-02,33
2024-09-03,57
2024-09-04,53
2024-09-05,51
2024-09-06,51
2024-09-07,47
2024-09-08,29
2024-09-09,56
2024-09-10,51
2024-09-11,51
2024-09-12,54
2024-09-13,50
2024-09-14,45
2024-09-15,27
2024-09-16,61
