Time,netflix stock
2023-04-26,16
2023-04-27,15
2023-04-28,16
2023-04-29,5
2023-04-30,5
2023-05-01,15
2023-05-02,14
2023-05-03,12
2023-05-04,13
2023-05-05,14
2023-05-06,6
2023-05-07,5
2023-05-08,12
2023-05-09,13
2023-05-10,15
2023-05-11,14
2023-05-12,14
2023-05-13,5
2023-05-14,5
2023-05-15,14
2023-05-16,10
2023-05-17,15
2023-05-18,25
2023-05-19,22
2023-05-20,4
2023-05-21,3
2023-05-22,15
2023-05-23,16
2023-05-24,26
2023-05-25,28
2023-05-26,33
2023-05-27,14
2023-05-28,11
2023-05-29,9
2023-05-30,22
2023-05-31,18
2023-06-01,20
2023-06-02,22
2023-06-03,11
2023-06-04,7
2023-06-05,19
2023-06-06,18
2023-06-07,26
2023-06-08,22
2023-06-09,29
2023-06-10,15
2023-06-11,13
2023-06-12,26
2023-06-13,24
2023-06-14,26
2023-06-15,23
2023-06-16,20
2023-06-17,8
2023-06-18,7
2023-06-19,10
2023-06-20,20
2023-06-21,16
2023-06-22,17
2023-06-23,14
2023-06-24,6
2023-06-25,7
2023-06-26,17
2023-06-27,14
2023-06-28,20
2023-06-29,15
2023-06-30,17
2023-07-01,6
2023-07-02,7
2023-07-03,14
2023-07-04,8
2023-07-05,16
2023-07-06,18
2023-07-07,14
2023-07-08,7
2023-07-09,6
2023-07-10,15
2023-07-11,15
2023-07-12,16
2023-07-13,19
2023-07-14,17
2023-07-15,8
2023-07-16,5
2023-07-17,23
2023-07-18,28
2023-07-19,72
2023-07-20,100
2023-07-21,54
2023-07-22,18
2023-07-23,11
2023-07-24,28
2023-07-25,24
2023-07-26,24
2023-07-27,22
2023-07-28,21
2023-07-29,7
2023-07-30,5
2023-07-31,17
2023-08-01,15
2023-08-02,13
2023-08-03,14
2023-08-04,13
2023-08-05,6
2023-08-06,5
2023-08-07,13
2023-08-08,14
2023-08-09,12
2023-08-10,12
2023-08-11,11
2023-08-12,5
2023-08-13,4
2023-08-14,14
2023-08-15,12
2023-08-16,14
2023-08-17,13
2023-08-18,12
2023-08-19,7
2023-08-20,5
2023-08-21,13
2023-08-22,11
2023-08-23,15
2023-08-24,15
2023-08-25,12
2023-08-26,4
2023-08-27,6
2023-08-28,11
2023-08-29,14
2023-08-30,16
2023-08-31,14
2023-09-01,12
2023-09-02,5
2023-09-03,5
2023-09-04,5
2023-09-05,13
2023-09-06,11
2023-09-07,13
2023-09-08,12
2023-09-09,4
2023-09-10,4
2023-09-11,13
2023-09-12,12
2023-09-13,17
2023-09-14,17
2023-09-15,18
2023-09-16,6
2023-09-17,3
2023-09-18,14
2023-09-19,11
2023-09-20,11
2023-09-21,13
2023-09-22,13
2023-09-23,5
2023-09-24,4
2023-09-25,14
2023-09-26,13
2023-09-27,12
2023-09-28,12
2023-09-29,11
2023-09-30,4
2023-10-01,3
2023-10-02,11
2023-10-03,14
2023-10-04,14
2023-10-05,11
2023-10-06,13
2023-10-07,6
2023-10-08,4
2023-10-09,12
2023-10-10,13
2023-10-11,12
2023-10-12,10
2023-10-13,13
2023-10-14,6
2023-10-15,3
2023-10-16,13
2023-10-17,14
2023-10-18,39
2023-10-19,68
2023-10-20,32
2023-10-21,9
2023-10-22,6
2023-10-23,17
2023-10-24,19
2023-10-25,16
2023-10-26,14
2023-10-27,15
2023-10-28,5
2023-10-29,5
2023-10-30,13
2023-10-31,13
2023-11-01,14
2023-11-02,15
2023-11-03,13
2023-11-04,7
2023-11-05,4
2023-11-06,14
2023-11-07,13
2023-11-08,12
2023-11-09,14
2023-11-10,14
2023-11-11,7
2023-11-12,5
2023-11-13,11
2023-11-14,13
2023-11-15,14
2023-11-16,15
2023-11-17,13
2023-11-18,6
2023-11-19,4
2023-11-20,13
2023-11-21,14
2023-11-22,13
2023-11-23,6
2023-11-24,9
2023-11-25,5
2023-11-26,4
2023-11-27,11
2023-11-28,13
2023-11-29,12
2023-11-30,12
2023-12-01,12
2023-12-02,5
2023-12-03,5
2023-12-04,12
2023-12-05,12
2023-12-06,9
2023-12-07,12
2023-12-08,14
2023-12-09,6
2023-12-10,4
2023-12-11,14
2023-12-12,14
2023-12-13,17
2023-12-14,15
2023-12-15,12
2023-12-16,5
2023-12-17,4
2023-12-18,15
2023-12-19,16
2023-12-20,15
2023-12-21,13
2023-12-22,11
2023-12-23,6
2023-12-24,5
2023-12-25,5
2023-12-26,10
2023-12-27,13
2023-12-28,13
2023-12-29,12
2023-12-30,7
2023-12-31,5
2024-01-01,6
2024-01-02,12
2024-01-03,13
2024-01-04,11
2024-01-05,12
2024-01-06,7
2024-01-07,5
2024-01-08,14
2024-01-09,15
2024-01-10,13
2024-01-11,16
2024-01-12,14
2024-01-13,6
2024-01-14,4
2024-01-15,5
2024-01-16,12
2024-01-17,13
2024-01-18,11
2024-01-19,14
2024-01-20,8
