Time,stranger things
2022-08-29,76
2022-08-30,71
2022-08-31,72
2022-09-01,70
2022-09-02,71
2022-09-03,88
2022-09-04,91
2022-09-05,100
2022-09-06,72
2022-09-07,63
2022-09-08,57
2022-09-09,54
2022-09-10,74
2022-09-11,81
2022-09-12,55
2022-09-13,57
2022-09-14,54
2022-09-15,57
2022-09-16,57
2022-09-17,72
2022-09-18,73
2022-09-19,52
2022-09-20,47
2022-09-21,50
2022-09-22,50
2022-09-23,53
2022-09-24,69
2022-09-25,68
2022-09-26,49
2022-09-27,45
2022-09-28,45
2022-09-29,41
2022-09-30,44
2022-10-01,57
2022-10-02,64
2022-10-03,44
2022-10-04,44
2022-10-05,49
2022-10-06,47
2022-10-07,50
2022-10-08,64
2022-10-09,60
2022-10-10,51
2022-10-11,38
2022-10-12,40
2022-10-13,38
2022-10-14,43
2022-10-15,57
2022-10-16,57
2022-10-17,42
2022-10-18,39
2022-10-19,41
2022-10-20,41
2022-10-21,41
2022-10-22,55
2022-10-23,55
2022-10-24,42
2022-10-25,43
2022-10-26,44
2022-10-27,47
2022-10-28,52
2022-10-29,74
2022-10-30,70
2022-10-31,73
2022-11-01,46
2022-11-02,37
2022-11-03,32
2022-11-04,35
2022-11-05,42
2022-11-06,57
2022-11-07,47
2022-11-08,34
2022-11-09,31
2022-11-10,32
2022-11-11,36
2022-11-12,39
2022-11-13,41
2022-11-14,31
2022-11-15,28
2022-11-16,29
2022-11-17,29
2022-11-18,30
2022-11-19,36
2022-11-20,39
2022-11-21,30
2022-11-22,31
2022-11-23,32
2022-11-24,34
2022-11-25,38
2022-11-26,35
2022-11-27,36
2022-11-28,27
2022-11-29,27
2022-11-30,31
2022-12-01,26
2022-12-02,27
2022-12-03,32
2022-12-04,33
2022-12-05,25
2022-12-06,24
2022-12-07,27
2022-12-08,27
2022-12-09,25
2022-12-10,31
2022-12-11,33
2022-12-12,26
2022-12-13,24
2022-12-14,25
2022-12-15,24
2022-12-16,26
2022-12-17,30
2022-12-18,31
2022-12-19,27
2022-12-20,26
2022-12-21,26
2022-12-22,29
2022-12-23,30
2022-12-24,30
2022-12-25,35
2022-12-26,36
2022-12-27,32
2022-12-28,33
2022-12-29,32
2022-12-30,33
2022-12-31,33
2023-01-01,36
2023-01-02,40
2023-01-03,27
2023-01-04,27
2023-01-05,27
2023-01-06,41
2023-01-07,40
2023-01-08,37
2023-01-09,26
2023-01-10,23
2023-01-11,25
2023-01-12,24
2023-01-13,25
2023-01-14,33
2023-01-15,33
2023-01-16,31
2023-01-17,24
2023-01-18,23
2023-01-19,24
2023-01-20,23
2023-01-21,28
2023-01-22,29
2023-01-23,24
2023-01-24,21
2023-01-25,21
2023-01-26,22
2023-01-27,22
2023-01-28,27
2023-01-29,28
2023-01-30,22
2023-01-31,20
2023-02-01,20
2023-02-02,22
2023-02-03,22
2023-02-04,27
2023-02-05,32
2023-02-06,22
2023-02-07,19
2023-02-08,19
2023-02-09,19
2023-02-10,20
2023-02-11,26
2023-02-12,28
2023-02-13,19
2023-02-14,19
2023-02-15,18
2023-02-16,18
2023-02-17,19
2023-02-18,25
2023-02-19,27
2023-02-20,25
2023-02-21,21
2023-02-22,21
2023-02-23,22
2023-02-24,23
2023-02-25,29
2023-02-26,32
2023-02-27,25
2023-02-28,20
2023-03-01,22
2023-03-02,22
2023-03-03,20
2023-03-04,27
2023-03-05,27
2023-03-06,21
2023-03-07,18
2023-03-08,20
2023-03-09,21
2023-03-10,32
2023-03-11,38
2023-03-12,31
2023-03-13,26
2023-03-14,23
2023-03-15,21
2023-03-16,20
2023-03-17,19
2023-03-18,23
2023-03-19,27
2023-03-20,21
2023-03-21,20
2023-03-22,20
2023-03-23,20
2023-03-24,20
2023-03-25,23
2023-03-26,24
2023-03-27,19
2023-03-28,19
2023-03-29,18
2023-03-30,18
2023-03-31,18
2023-04-01,22
2023-04-02,27
2023-04-03,19
2023-04-04,18
2023-04-05,18
2023-04-06,18
2023-04-07,21
2023-04-08,22
2023-04-09,22
2023-04-10,19
2023-04-11,23
2023-04-12,21
2023-04-13,21
2023-04-14,20
2023-04-15,25
2023-04-16,27
2023-04-17,19
2023-04-18,17
2023-04-19,17
2023-04-20,18
2023-04-21,19
2023-04-22,22
2023-04-23,24
2023-04-24,19
2023-04-25,17
2023-04-26,16
2023-04-27,17
2023-04-28,17
2023-04-29,23
2023-04-30,25
2023-05-01,20
2023-05-02,18
2023-05-03,18
2023-05-04,18
2023-05-05,16
2023-05-06,21
2023-05-07,27
2023-05-08,21
2023-05-09,18
2023-05-10,17
2023-05-11,18
2023-05-12,18
2023-05-13,21
2023-05-14,24
2023-05-15,19
2023-05-16,19
2023-05-17,18
2023-05-18,18
2023-05-19,18
2023-05-20,24
2023-05-21,27
2023-05-22,18
2023-05-23,18
2023-05-24,19
2023-05-25,18
