Time,stranger things
2023-04-26,21
2023-04-27,21
2023-04-28,22
2023-04-29,29
2023-04-30,32
2023-05-01,25
2023-05-02,23
2023-05-03,23
2023-05-04,23
2023-05-05,21
2023-05-06,27
2023-05-07,34
2023-05-08,26
2023-05-09,23
2023-05-10,22
2023-05-11,22
2023-05-12,23
2023-05-13,27
2023-05-14,31
2023-05-15,25
2023-05-16,24
2023-05-17,23
2023-05-18,23
2023-05-19,23
2023-05-20,30
2023-05-21,34
2023-05-22,23
2023-05-23,23
2023-05-24,25
2023-05-25,23
2023-05-26,27
2023-05-27,36
2023-05-28,39
2023-05-29,38
2023-05-30,30
2023-05-31,26
2023-06-01,29
2023-06-02,29
2023-06-03,39
2023-06-04,37
2023-06-05,29
2023-06-06,28
2023-06-07,26
2023-06-08,26
2023-06-09,26
2023-06-10,32
2023-06-11,31
2023-06-12,28
2023-06-13,25
2023-06-14,29
2023-06-15,30
2023-06-16,28
2023-06-17,32
2023-06-18,42
2023-06-19,34
2023-06-20,29
2023-06-21,30
2023-06-22,29
2023-06-23,27
2023-06-24,30
2023-06-25,35
2023-06-26,29
2023-06-27,28
2023-06-28,29
2023-06-29,29
2023-06-30,29
2023-07-01,31
2023-07-02,33
2023-07-03,30
2023-07-04,32
2023-07-05,30
2023-07-06,30
2023-07-07,29
2023-07-08,34
2023-07-09,33
2023-07-10,29
2023-07-11,27
2023-07-12,26
2023-07-13,32
2023-07-14,30
2023-07-15,33
2023-07-16,36
2023-07-17,31
2023-07-18,29
2023-07-19,29
2023-07-20,28
2023-07-21,29
2023-07-22,30
2023-07-23,33
2023-07-24,27
2023-07-25,26
2023-07-26,25
2023-07-27,23
2023-07-28,23
2023-07-29,28
2023-07-30,29
2023-07-31,25
2023-08-01,24
2023-08-02,23
2023-08-03,23
2023-08-04,25
2023-08-05,25
2023-08-06,29
2023-08-07,24
2023-08-08,23
2023-08-09,24
2023-08-10,25
2023-08-11,26
2023-08-12,29
2023-08-13,30
2023-08-14,25
2023-08-15,23
2023-08-16,26
2023-08-17,26
2023-08-18,25
2023-08-19,29
2023-08-20,30
2023-08-21,23
2023-08-22,20
2023-08-23,21
2023-08-24,21
2023-08-25,21
2023-08-26,25
2023-08-27,29
2023-08-28,22
2023-08-29,20
2023-08-30,20
2023-08-31,20
2023-09-01,21
2023-09-02,25
2023-09-03,29
2023-09-04,28
2023-09-05,21
2023-09-06,20
2023-09-07,17
2023-09-08,18
2023-09-09,23
2023-09-10,24
2023-09-11,19
2023-09-12,19
2023-09-13,20
2023-09-14,20
2023-09-15,21
2023-09-16,26
2023-09-17,27
2023-09-18,19
2023-09-19,19
2023-09-20,23
2023-09-21,22
2023-09-22,21
2023-09-23,36
2023-09-24,39
2023-09-25,21
2023-09-26,18
2023-09-27,20
2023-09-28,20
2023-09-29,20
2023-09-30,25
2023-10-01,27
2023-10-02,24
2023-10-03,34
2023-10-04,20
2023-10-05,25
2023-10-06,22
2023-10-07,25
2023-10-08,28
2023-10-09,23
2023-10-10,22
2023-10-11,26
2023-10-12,22
2023-10-13,20
2023-10-14,25
2023-10-15,30
2023-10-16,23
2023-10-17,25
2023-10-18,23
2023-10-19,24
2023-10-20,25
2023-10-21,30
2023-10-22,28
2023-10-23,21
2023-10-24,21
2023-10-25,24
2023-10-26,22
2023-10-27,24
2023-10-28,30
2023-10-29,30
2023-10-30,24
2023-10-31,28
2023-11-01,25
2023-11-02,20
2023-11-03,51
2023-11-04,67
2023-11-05,65
2023-11-06,100
2023-11-07,65
2023-11-08,35
2023-11-09,30
2023-11-10,31
2023-11-11,30
2023-11-12,30
2023-11-13,24
2023-11-14,23
2023-11-15,21
2023-11-16,19
2023-11-17,20
2023-11-18,23
2023-11-19,25
2023-11-20,20
2023-11-21,20
2023-11-22,22
2023-11-23,24
2023-11-24,23
2023-11-25,23
2023-11-26,25
2023-11-27,18
2023-11-28,18
2023-11-29,24
2023-11-30,22
2023-12-01,23
2023-12-02,24
2023-12-03,23
2023-12-04,19
2023-12-05,17
2023-12-06,17
2023-12-07,15
2023-12-08,17
2023-12-09,22
2023-12-10,21
2023-12-11,17
2023-12-12,16
2023-12-13,17
2023-12-14,17
2023-12-15,19
2023-12-16,23
2023-12-17,23
2023-12-18,19
2023-12-19,20
2023-12-20,20
2023-12-21,19
2023-12-22,22
2023-12-23,24
2023-12-24,24
2023-12-25,25
2023-12-26,21
2023-12-27,22
2023-12-28,24
2023-12-29,24
2023-12-30,22
2023-12-31,25
2024-01-01,25
2024-01-02,24
2024-01-03,21
2024-01-04,20
2024-01-05,20
2024-01-06,29
2024-01-07,28
2024-01-08,29
2024-01-09,30
2024-01-10,24
2024-01-11,24
2024-01-12,35
2024-01-13,32
2024-01-14,32
2024-01-15,28
2024-01-16,25
2024-01-17,25
2024-01-18,22
2024-01-19,22
2024-01-20,28
