Time,tom_cruise
2022-01-01,9.0
2022-01-02,8.0
2022-01-03,6.0
2022-01-04,7.0
2022-01-05,6.0
2022-01-06,5.0
2022-01-07,6.0
2022-01-08,8.0
2022-01-09,9.0
2022-01-10,6.0
2022-01-11,6.0
2022-01-12,7.0
2022-01-13,8.0
2022-01-14,5.0
2022-01-15,11.0
2022-01-16,9.0
2022-01-17,7.0
2022-01-18,6.0
2022-01-19,6.0
2022-01-20,6.0
2022-01-21,7.0
2022-01-22,12.0
2022-01-23,9.0
2022-01-24,8.0
2022-01-25,6.0
2022-01-26,7.0
2022-01-27,6.0
2022-01-28,6.0
2022-01-29,9.0
2022-01-30,16.0
2022-01-31,7.0
2022-02-01,6.0
2022-02-02,6.0
2022-02-03,6.0
2022-02-04,6.0
2022-02-05,9.0
2022-02-06,11.0
2022-02-07,8.0
2022-02-08,7.0
2022-02-09,7.0
2022-02-10,5.0
2022-02-11,8.0
2022-02-12,11.0
2022-02-13,10.0
2022-02-14,11.0
2022-02-15,10.0
2022-02-16,7.0
2022-02-17,7.0
2022-02-18,7.0
2022-02-19,8.0
2022-02-20,11.0
2022-02-21,8.0
2022-02-22,7.0
2022-02-23,7.0
2022-02-24,6.0
2022-02-25,6.0
2022-02-26,7.0
2022-02-27,8.0
2022-02-28,7.0
2022-03-01,5.0
2022-03-02,5.0
2022-03-03,6.0
2022-03-04,5.0
2022-03-05,7.0
2022-03-06,10.0
2022-03-07,7.0
2022-03-08,7.0
2022-03-09,7.0
2022-03-10,8.0
2022-03-11,6.0
2022-03-12,8.0
2022-03-13,10.0
2022-03-14,7.0
2022-03-15,6.0
2022-03-16,5.0
2022-03-17,6.0
2022-03-18,7.0
2022-03-19,8.0
2022-03-20,8.0
2022-03-21,6.0
2022-03-22,5.0
2022-03-23,5.0
2022-03-24,6.0
2022-03-25,6.0
2022-03-26,8.0
2022-03-27,9.0
2022-03-28,7.0
2022-03-29,9.0
2022-03-30,9.0
2022-03-31,7.0
2022-04-01,6.0
2022-04-02,9.0
2022-04-03,9.0
2022-04-04,7.0
2022-04-05,7.0
2022-04-06,7.0
2022-04-07,6.0
2022-04-08,7.0
2022-04-09,9.0
2022-04-10,9.0
2022-04-11,6.0
2022-04-12,7.0
2022-04-13,6.0
2022-04-14,6.0
2022-04-15,10.0
2022-04-16,9.0
2022-04-17,11.0
2022-04-18,6.0
2022-04-19,6.0
2022-04-20,6.0
2022-04-21,6.0
2022-04-22,6.0
2022-04-23,8.0
2022-04-24,9.0
2022-04-25,7.0
2022-04-26,6.0
2022-04-27,6.0
2022-04-28,7.0
2022-04-29,7.0
2022-04-30,8.0
2022-05-01,12.0
2022-05-02,8.0
2022-05-03,8.0
2022-05-04,11.0
2022-05-05,17.0
2022-05-06,15.0
2022-05-07,17.0
2022-05-08,19.0
2022-05-09,11.0
2022-05-10,10.0
2022-05-11,11.0
2022-05-12,10.0
2022-05-13,12.0
2022-05-14,15.0
2022-05-15,28.0
2022-05-16,14.0
2022-05-17,12.0
2022-05-18,12.0
2022-05-19,19.0
2022-05-20,22.0
2022-05-21,22.0
2022-05-22,28.0
2022-05-23,20.0
2022-05-24,38.0
2022-05-25,28.0
2022-05-26,30.0
2022-05-27,53.0
2022-05-28,81.0
2022-05-29,99.0
2022-05-30,100.0
2022-05-31,82.0
2022-06-01,56.0
2022-06-02,46.0
2022-06-03,45.0
2022-06-04,78.0
2022-06-05,85.0
2022-06-06,55.0
2022-06-07,44.0
2022-06-08,40.0
2022-06-09,35.0
2022-06-10,34.0
2022-06-11,53.0
2022-06-12,62.0
2022-06-13,42.0
2022-06-14,24.0
2022-06-15,39.0
2022-06-16,38.0
2022-06-17,29.0
2022-06-18,38.0
2022-06-19,49.0
2022-06-20,32.0
2022-06-21,24.0
2022-06-22,22.0
2022-06-23,21.0
2022-06-24,23.0
2022-06-25,28.0
2022-06-26,33.0
2022-06-27,23.0
2022-06-28,19.0
2022-06-29,18.0
2022-06-30,18.0
2022-07-01,18.0
2022-07-02,28.0
2022-07-03,39.0
2022-07-04,39.0
2022-07-05,22.0
2022-07-06,18.0
2022-07-07,16.0
2022-07-08,16.0
2022-07-09,22.0
2022-07-10,26.0
2022-07-11,17.0
2022-07-12,15.0
2022-07-13,13.0
2022-07-14,12.0
2022-07-15,13.0
2022-07-16,19.0
2022-07-17,23.0
2022-07-18,14.0
2022-07-19,12.0
2022-07-20,13.0
2022-07-21,12.0
2022-07-22,13.0
2022-07-23,17.0
2022-07-24,19.0
2022-07-25,14.0
2022-07-26,13.0
2022-07-27,11.0
2022-07-28,11.0
2022-07-29,11.0
2022-07-30,16.0
2022-07-31,18.0
2022-08-01,12.0
2022-08-02,10.0
2022-08-03,9.0
2022-08-04,9.0
2022-08-05,10.0
2022-08-06,14.0
2022-08-07,18.0
2022-08-08,13.0
2022-08-09,11.0
2022-08-10,11.0
2022-08-11,9.0
2022-08-12,10.0
2022-08-13,13.0
2022-08-14,14.0
2022-08-15,10.0
2022-08-16,9.0
