Time,top gun maverick
2023-12-22,22
2023-12-23,28
2023-12-24,25
2023-12-25,27
2023-12-26,29
2023-12-27,27
2023-12-28,24
2023-12-29,25
2023-12-30,27
2023-12-31,28
2024-01-01,38
2024-01-02,22
2024-01-03,18
2024-01-04,18
2024-01-05,20
2024-01-06,29
2024-01-07,29
2024-01-08,20
2024-01-09,14
2024-01-10,18
2024-01-11,15
2024-01-12,35
2024-01-13,32
2024-01-14,100
2024-01-15,33
2024-01-16,19
2024-01-17,21
2024-01-18,14
2024-01-19,15
2024-01-20,24
2024-01-21,26
2024-01-22,15
2024-01-23,17
2024-01-24,19
2024-01-25,15
2024-01-26,19
2024-01-27,33
2024-01-28,29
2024-01-29,17
2024-01-30,14
2024-01-31,13
2024-02-01,12
2024-02-02,16
2024-02-03,25
2024-02-04,24
2024-02-05,15
2024-02-06,14
2024-02-07,16
2024-02-08,14
2024-02-09,18
2024-02-10,27
2024-02-11,27
2024-02-12,25
2024-02-13,15
2024-02-14,16
2024-02-15,18
2024-02-16,17
2024-02-17,22
2024-02-18,28
2024-02-19,20
2024-02-20,15
2024-02-21,13
2024-02-22,15
2024-02-23,17
2024-02-24,25
2024-02-25,27
2024-02-26,19
2024-02-27,15
2024-02-28,13
2024-02-29,14
2024-03-01,15
2024-03-02,18
2024-03-03,28
2024-03-04,17
2024-03-05,12
2024-03-06,15
2024-03-07,14
2024-03-08,16
2024-03-09,21
2024-03-10,26
2024-03-11,18
2024-03-12,15
2024-03-13,18
2024-03-14,13
2024-03-15,15
2024-03-16,30
2024-03-17,28
2024-03-18,19
2024-03-19,17
2024-03-20,16
2024-03-21,14
2024-03-22,16
2024-03-23,25
2024-03-24,33
2024-03-25,19
2024-03-26,14
2024-03-27,15
2024-03-28,19
2024-03-29,17
2024-03-30,23
2024-03-31,30
2024-04-01,19
2024-04-02,17
2024-04-03,16
2024-04-04,17
2024-04-05,20
2024-04-06,22
2024-04-07,24
2024-04-08,17
2024-04-09,14
2024-04-10,15
2024-04-11,14
2024-04-12,15
2024-04-13,23
2024-04-14,22
2024-04-15,17
2024-04-16,13
2024-04-17,12
2024-04-18,14
2024-04-19,22
2024-04-20,25
2024-04-21,27
2024-04-22,17
2024-04-23,13
2024-04-24,15
2024-04-25,17
2024-04-26,16
2024-04-27,23
2024-04-28,33
2024-04-29,18
2024-04-30,16
2024-05-01,12
2024-05-02,16
2024-05-03,18
2024-05-04,23
2024-05-05,25
2024-05-06,18
2024-05-07,13
2024-05-08,18
2024-05-09,15
2024-05-10,21
2024-05-11,23
2024-05-12,29
2024-05-13,20
2024-05-14,15
2024-05-15,16
2024-05-16,16
2024-05-17,18
2024-05-18,26
2024-05-19,26
2024-05-20,21
2024-05-21,15
2024-05-22,17
2024-05-23,20
2024-05-24,21
2024-05-25,22
2024-05-26,36
2024-05-27,39
2024-05-28,27
2024-05-29,25
2024-05-30,19
2024-05-31,25
2024-06-01,27
2024-06-02,32
2024-06-03,17
2024-06-04,17
2024-06-05,18
2024-06-06,20
2024-06-07,23
2024-06-08,36
2024-06-09,41
2024-06-10,30
2024-06-11,24
2024-06-12,26
2024-06-13,21
2024-06-14,24
2024-06-15,30
2024-06-16,40
2024-06-17,28
2024-06-18,20
2024-06-19,25
2024-06-20,21
2024-06-21,21
2024-06-22,32
2024-06-23,34
2024-06-24,22
2024-06-25,17
2024-06-26,18
2024-06-27,17
2024-06-28,20
2024-06-29,26
2024-06-30,30
2024-07-01,21
2024-07-02,20
2024-07-03,28
2024-07-04,40
2024-07-05,40
2024-07-06,32
2024-07-07,34
2024-07-08,23
2024-07-09,18
2024-07-10,21
2024-07-11,19
2024-07-12,19
2024-07-13,32
2024-07-14,26
2024-07-15,19
2024-07-16,18
2024-07-17,23
2024-07-18,24
2024-07-19,29
2024-07-20,34
2024-07-21,45
2024-07-22,30
2024-07-23,26
2024-07-24,26
2024-07-25,30
2024-07-26,29
2024-07-27,33
2024-07-28,31
2024-07-29,27
2024-07-30,21
2024-07-31,19
2024-08-01,21
2024-08-02,22
2024-08-03,25
2024-08-04,29
2024-08-05,19
2024-08-06,20
2024-08-07,20
2024-08-08,19
2024-08-09,19
2024-08-10,26
2024-08-11,34
2024-08-12,24
2024-08-13,19
2024-08-14,17
2024-08-15,20
2024-08-16,20
2024-08-17,35
2024-08-18,35
2024-08-19,21
2024-08-20,14
2024-08-21,20
2024-08-22,18
2024-08-23,20
2024-08-24,21
2024-08-25,30
2024-08-26,17
2024-08-27,16
2024-08-28,15
2024-08-29,16
2024-08-30,16
2024-08-31,21
2024-09-01,31
2024-09-02,28
2024-09-03,18
2024-09-04,14
2024-09-05,14
2024-09-06,15
2024-09-07,19
2024-09-08,24
2024-09-09,13
2024-09-10,13
2024-09-11,9
2024-09-12,12
2024-09-13,14
2024-09-14,15
2024-09-15,17
2024-09-16,14
