Time,champions league
2023-12-22,2
2023-12-23,2
2023-12-24,2
2023-12-25,2
2023-12-26,2
2023-12-27,2
2023-12-28,1
2023-12-29,2
2023-12-30,2
2023-12-31,2
2024-01-01,2
2024-01-02,2
2024-01-03,2
2024-01-04,2
2024-01-05,2
2024-01-06,2
2024-01-07,2
2024-01-08,2
2024-01-09,2
2024-01-10,2
2024-01-11,2
2024-01-12,1
2024-01-13,2
2024-01-14,2
2024-01-15,1
2024-01-16,2
2024-01-17,2
2024-01-18,2
2024-01-19,1
2024-01-20,1
2024-01-21,2
2024-01-22,2
2024-01-23,2
2024-01-24,2
2024-01-25,2
2024-01-26,2
2024-01-27,2
2024-01-28,2
2024-01-29,2
2024-01-30,2
2024-01-31,2
2024-02-01,2
2024-02-02,2
2024-02-03,2
2024-02-04,3
2024-02-05,2
2024-02-06,4
2024-02-07,5
2024-02-08,4
2024-02-09,2
2024-02-10,3
2024-02-11,3
2024-02-12,6
2024-02-13,36
2024-02-14,36
2024-02-15,15
2024-02-16,6
2024-02-17,4
2024-02-18,3
2024-02-19,4
2024-02-20,27
2024-02-21,31
2024-02-22,9
2024-02-23,4
2024-02-24,4
2024-02-25,3
2024-02-26,4
2024-02-27,6
2024-02-28,5
2024-02-29,3
2024-03-01,3
2024-03-02,3
2024-03-03,3
2024-03-04,5
2024-03-05,31
2024-03-06,36
2024-03-07,13
2024-03-08,6
2024-03-09,3
2024-03-10,4
2024-03-11,6
2024-03-12,43
2024-03-13,47
2024-03-14,19
2024-03-15,25
2024-03-16,9
2024-03-17,6
2024-03-18,5
2024-03-19,5
2024-03-20,4
2024-03-21,3
2024-03-22,3
2024-03-23,3
2024-03-24,2
2024-03-25,3
2024-03-26,3
2024-03-27,3
2024-03-28,3
2024-03-29,2
2024-03-30,3
2024-03-31,3
2024-04-01,4
2024-04-02,6
2024-04-03,6
2024-04-04,5
2024-04-05,3
2024-04-06,4
2024-04-07,4
2024-04-08,8
2024-04-09,65
2024-04-10,54
2024-04-11,15
2024-04-12,6
2024-04-13,5
2024-04-14,5
2024-04-15,8
2024-04-16,62
2024-04-17,79
2024-04-18,20
2024-04-19,7
2024-04-20,7
2024-04-21,7
2024-04-22,6
2024-04-23,7
2024-04-24,6
2024-04-25,5
2024-04-26,4
2024-04-27,5
2024-04-28,5
2024-04-29,8
2024-04-30,39
2024-05-01,33
2024-05-02,10
2024-05-03,5
2024-05-04,5
2024-05-05,5
2024-05-06,7
2024-05-07,37
2024-05-08,51
2024-05-09,13
2024-05-10,6
2024-05-11,6
2024-05-12,5
2024-05-13,5
2024-05-14,5
2024-05-15,4
2024-05-16,4
2024-05-17,3
2024-05-18,4
2024-05-19,6
2024-05-20,5
2024-05-21,5
2024-05-22,6
2024-05-23,5
2024-05-24,4
2024-05-25,9
2024-05-26,6
2024-05-27,5
2024-05-28,5
2024-05-29,6
2024-05-30,7
2024-05-31,12
2024-06-01,100
2024-06-02,13
2024-06-03,5
2024-06-04,3
2024-06-05,2
2024-06-06,2
2024-06-07,2
2024-06-08,2
2024-06-09,2
2024-06-10,1
2024-06-11,1
2024-06-12,1
2024-06-13,1
2024-06-14,1
2024-06-15,1
2024-06-16,1
2024-06-17,1
2024-06-18,1
2024-06-19,1
2024-06-20,1
2024-06-21,1
2024-06-22,1
2024-06-23,1
2024-06-24,1
2024-06-25,1
2024-06-26,1
2024-06-27,1
2024-06-28,1
2024-06-29,1
2024-06-30,1
2024-07-01,1
2024-07-02,1
2024-07-03,1
2024-07-04,1
2024-07-05,2
2024-07-06,2
2024-07-07,2
2024-07-08,1
2024-07-09,1
2024-07-10,2
2024-07-11,1
2024-07-12,1
2024-07-13,2
2024-07-14,2
2024-07-15,2
2024-07-16,1
2024-07-17,1
2024-07-18,1
2024-07-19,1
2024-07-20,1
2024-07-21,1
2024-07-22,1
2024-07-23,1
2024-07-24,1
2024-07-25,1
2024-07-26,1
2024-07-27,1
2024-07-28,1
2024-07-29,1
2024-07-30,1
2024-07-31,1
2024-08-01,1
2024-08-02,1
2024-08-03,1
2024-08-04,1
2024-08-05,1
2024-08-06,1
2024-08-07,1
2024-08-08,1
2024-08-09,1
2024-08-10,1
2024-08-11,1
2024-08-12,1
2024-08-13,2
2024-08-14,2
2024-08-15,2
2024-08-16,1
2024-08-17,2
2024-08-18,2
2024-08-19,1
2024-08-20,2
2024-08-21,2
2024-08-22,2
2024-08-23,1
2024-08-24,2
2024-08-25,2
2024-08-26,2
2024-08-27,2
2024-08-28,4
2024-08-29,16
2024-08-30,7
2024-08-31,4
2024-09-01,3
2024-09-02,2
2024-09-03,2
2024-09-04,2
2024-09-05,2
2024-09-06,1
2024-09-07,1
2024-09-08,1
2024-09-09,1
2024-09-10,1
2024-09-11,1
2024-09-12,1
2024-09-13,1
2024-09-14,2
2024-09-15,2
2024-09-16,5
