Time,tiffany haddish
2023-12-22,19
2023-12-23,18
2023-12-24,12
2023-12-25,12
2023-12-26,9
2023-12-27,14
2023-12-28,14
2023-12-29,12
2023-12-30,11
2023-12-31,12
2024-01-01,18
2024-01-02,11
2024-01-03,11
2024-01-04,24
2024-01-05,38
2024-01-06,98
2024-01-07,100
2024-01-08,58
2024-01-09,35
2024-01-10,28
2024-01-11,21
2024-01-12,23
2024-01-13,23
2024-01-14,15
2024-01-15,14
2024-01-16,16
2024-01-17,16
2024-01-18,56
2024-01-19,25
2024-01-20,22
2024-01-21,22
2024-01-22,23
2024-01-23,23
2024-01-24,18
2024-01-25,13
2024-01-26,12
2024-01-27,16
2024-01-28,16
2024-01-29,9
2024-01-30,13
2024-01-31,8
2024-02-01,11
2024-02-02,11
2024-02-03,14
2024-02-04,13
2024-02-05,8
2024-02-06,10
2024-02-07,12
2024-02-08,32
2024-02-09,20
2024-02-10,22
2024-02-11,18
2024-02-12,11
2024-02-13,11
2024-02-14,10
2024-02-15,10
2024-02-16,12
2024-02-17,16
2024-02-18,20
2024-02-19,12
2024-02-20,14
2024-02-21,66
2024-02-22,77
2024-02-23,38
2024-02-24,28
2024-02-25,26
2024-02-26,16
2024-02-27,13
2024-02-28,11
2024-02-29,12
2024-03-01,11
2024-03-02,11
2024-03-03,12
2024-03-04,10
2024-03-05,9
2024-03-06,7
2024-03-07,10
2024-03-08,8
2024-03-09,11
2024-03-10,13
2024-03-11,10
2024-03-12,10
2024-03-13,8
2024-03-14,9
2024-03-15,9
2024-03-16,14
2024-03-17,8
2024-03-18,8
2024-03-19,7
2024-03-20,5
2024-03-21,7
2024-03-22,11
2024-03-23,9
2024-03-24,12
2024-03-25,10
2024-03-26,10
2024-03-27,13
2024-03-28,8
2024-03-29,8
2024-03-30,12
2024-03-31,9
2024-04-01,11
2024-04-02,8
2024-04-03,6
2024-04-04,11
2024-04-05,9
2024-04-06,9
2024-04-07,5
2024-04-08,6
2024-04-09,6
2024-04-10,5
2024-04-11,5
2024-04-12,4
2024-04-13,8
2024-04-14,9
2024-04-15,7
2024-04-16,7
2024-04-17,6
2024-04-18,7
2024-04-19,5
2024-04-20,8
2024-04-21,12
2024-04-22,6
2024-04-23,8
2024-04-24,7
2024-04-25,11
2024-04-26,13
2024-04-27,8
2024-04-28,14
2024-04-29,10
2024-04-30,7
2024-05-01,10
2024-05-02,16
2024-05-03,23
2024-05-04,21
2024-05-05,19
2024-05-06,49
2024-05-07,71
2024-05-08,52
2024-05-09,35
2024-05-10,33
2024-05-11,39
2024-05-12,34
2024-05-13,25
2024-05-14,21
2024-05-15,21
2024-05-16,16
2024-05-17,14
2024-05-18,20
2024-05-19,19
2024-05-20,17
2024-05-21,14
2024-05-22,11
2024-05-23,36
2024-05-24,24
2024-05-25,20
2024-05-26,18
2024-05-27,14
2024-05-28,10
2024-05-29,11
2024-05-30,10
2024-05-31,11
2024-06-01,12
2024-06-02,13
2024-06-03,13
2024-06-04,12
2024-06-05,59
2024-06-06,36
2024-06-07,27
2024-06-08,25
2024-06-09,24
2024-06-10,17
2024-06-11,11
2024-06-12,15
2024-06-13,37
2024-06-14,18
2024-06-15,16
2024-06-16,13
2024-06-17,12
2024-06-18,14
2024-06-19,11
2024-06-20,12
2024-06-21,19
2024-06-22,14
2024-06-23,13
2024-06-24,11
2024-06-25,12
2024-06-26,11
2024-06-27,11
2024-06-28,8
2024-06-29,13
2024-06-30,10
2024-07-01,11
2024-07-02,11
2024-07-03,8
2024-07-04,8
2024-07-05,10
2024-07-06,10
2024-07-07,10
2024-07-08,6
2024-07-09,7
2024-07-10,7
2024-07-11,8
2024-07-12,9
2024-07-13,10
2024-07-14,13
2024-07-15,9
2024-07-16,10
2024-07-17,24
2024-07-18,32
2024-07-19,15
2024-07-20,12
2024-07-21,9
2024-07-22,12
2024-07-23,9
2024-07-24,10
2024-07-25,8
2024-07-26,12
2024-07-27,10
2024-07-28,16
2024-07-29,16
2024-07-30,13
2024-07-31,9
2024-08-01,10
2024-08-02,8
2024-08-03,11
2024-08-04,11
2024-08-05,6
2024-08-06,9
2024-08-07,9
2024-08-08,7
2024-08-09,8
2024-08-10,11
2024-08-11,15
2024-08-12,10
2024-08-13,11
2024-08-14,13
2024-08-15,11
2024-08-16,12
2024-08-17,12
2024-08-18,16
2024-08-19,10
2024-08-20,17
2024-08-21,11
2024-08-22,10
2024-08-23,9
2024-08-24,10
2024-08-25,10
2024-08-26,7
2024-08-27,6
2024-08-28,8
2024-08-29,5
2024-08-30,8
2024-08-31,10
2024-09-01,8
2024-09-02,11
2024-09-03,6
2024-09-04,8
2024-09-05,7
2024-09-06,10
2024-09-07,12
2024-09-08,21
2024-09-09,23
2024-09-10,27
2024-09-11,14
2024-09-12,11
2024-09-13,11
2024-09-14,14
2024-09-15,12
2024-09-16,8
