Time,docs
2023-12-22,26
2023-12-23,18
2023-12-24,15
2023-12-25,15
2023-12-26,18
2023-12-27,20
2023-12-28,20
2023-12-29,19
2023-12-30,16
2023-12-31,18
2024-01-01,18
2024-01-02,37
2024-01-03,49
2024-01-04,54
2024-01-05,51
2024-01-06,23
2024-01-07,27
2024-01-08,63
2024-01-09,66
2024-01-10,75
2024-01-11,76
2024-01-12,66
2024-01-13,25
2024-01-14,26
2024-01-15,35
2024-01-16,65
2024-01-17,79
2024-01-18,81
2024-01-19,68
2024-01-20,29
2024-01-21,32
2024-01-22,79
2024-01-23,82
2024-01-24,87
2024-01-25,87
2024-01-26,77
2024-01-27,33
2024-01-28,39
2024-01-29,91
2024-01-30,96
2024-01-31,92
2024-02-01,98
2024-02-02,88
2024-02-03,37
2024-02-04,38
2024-02-05,95
2024-02-06,98
2024-02-07,100
2024-02-08,97
2024-02-09,86
2024-02-10,37
2024-02-11,39
2024-02-12,83
2024-02-13,95
2024-02-14,93
2024-02-15,93
2024-02-16,79
2024-02-17,36
2024-02-18,37
2024-02-19,63
2024-02-20,91
2024-02-21,93
2024-02-22,94
2024-02-23,75
2024-02-24,36
2024-02-25,41
2024-02-26,98
2024-02-27,96
2024-02-28,93
2024-02-29,89
2024-03-01,83
2024-03-02,35
2024-03-03,39
2024-03-04,88
2024-03-05,83
2024-03-06,88
2024-03-07,89
2024-03-08,75
2024-03-09,31
2024-03-10,37
2024-03-11,76
2024-03-12,75
2024-03-13,76
2024-03-14,75
2024-03-15,61
2024-03-16,30
2024-03-17,34
2024-03-18,83
2024-03-19,83
2024-03-20,82
2024-03-21,79
2024-03-22,65
2024-03-23,29
2024-03-24,35
2024-03-25,78
2024-03-26,76
2024-03-27,72
2024-03-28,67
2024-03-29,42
2024-03-30,27
2024-03-31,26
2024-04-01,65
2024-04-02,74
2024-04-03,75
2024-04-04,75
2024-04-05,64
2024-04-06,30
2024-04-07,34
2024-04-08,72
2024-04-09,85
2024-04-10,81
2024-04-11,84
2024-04-12,76
2024-04-13,32
2024-04-14,40
2024-04-15,89
2024-04-16,86
2024-04-17,88
2024-04-18,87
2024-04-19,71
2024-04-20,32
2024-04-21,38
2024-04-22,86
2024-04-23,84
2024-04-24,82
2024-04-25,84
2024-04-26,69
2024-04-27,32
2024-04-28,38
2024-04-29,86
2024-04-30,88
2024-05-01,80
2024-05-02,81
2024-05-03,69
2024-05-04,33
2024-05-05,35
2024-05-06,81
2024-05-07,79
2024-05-08,77
2024-05-09,72
2024-05-10,63
2024-05-11,27
2024-05-12,25
2024-05-13,75
2024-05-14,72
2024-05-15,72
2024-05-16,69
2024-05-17,59
2024-05-18,25
2024-05-19,29
2024-05-20,65
2024-05-21,65
2024-05-22,61
2024-05-23,58
2024-05-24,47
2024-05-25,22
2024-05-26,22
2024-05-27,26
2024-05-28,54
2024-05-29,55
2024-05-30,54
2024-05-31,43
2024-06-01,23
2024-06-02,24
2024-06-03,51
2024-06-04,51
2024-06-05,48
2024-06-06,43
2024-06-07,38
2024-06-08,22
2024-06-09,22
2024-06-10,43
2024-06-11,41
2024-06-12,41
2024-06-13,38
2024-06-14,30
2024-06-15,19
2024-06-16,20
2024-06-17,34
2024-06-18,35
2024-06-19,29
2024-06-20,32
2024-06-21,29
2024-06-22,20
2024-06-23,21
2024-06-24,36
2024-06-25,34
2024-06-26,33
2024-06-27,32
2024-06-28,26
2024-06-29,20
2024-06-30,19
2024-07-01,34
2024-07-02,34
2024-07-03,30
2024-07-04,20
2024-07-05,20
2024-07-06,21
2024-07-07,20
2024-07-08,33
2024-07-09,33
2024-07-10,35
2024-07-11,34
2024-07-12,28
2024-07-13,18
2024-07-14,19
2024-07-15,35
2024-07-16,34
2024-07-17,34
2024-07-18,33
2024-07-19,28
2024-07-20,19
2024-07-21,20
2024-07-22,35
2024-07-23,35
2024-07-24,34
2024-07-25,33
2024-07-26,30
2024-07-27,18
2024-07-28,22
2024-07-29,34
2024-07-30,33
2024-07-31,35
2024-08-01,33
2024-08-02,31
2024-08-03,19
2024-08-04,20
2024-08-05,33
2024-08-06,36
2024-08-07,38
2024-08-08,35
2024-08-09,34
2024-08-10,19
2024-08-11,22
2024-08-12,39
2024-08-13,43
2024-08-14,46
2024-08-15,48
2024-08-16,46
2024-08-17,20
2024-08-18,24
2024-08-19,59
2024-08-20,60
2024-08-21,62
2024-08-22,64
2024-08-23,59
2024-08-24,24
2024-08-25,29
2024-08-26,76
2024-08-27,79
2024-08-28,80
2024-08-29,85
2024-08-30,69
2024-08-31,26
2024-09-01,29
2024-09-02,39
2024-09-03,87
2024-09-04,88
2024-09-05,87
2024-09-06,79
2024-09-07,34
2024-09-08,39
2024-09-09,98
2024-09-10,98
2024-09-11,92
2024-09-12,97
2024-09-13,80
2024-09-14,34
2024-09-15,39
2024-09-16,96
