Time,desmos
2023-04-26,68
2023-04-27,65
2023-04-28,55
2023-04-29,11
2023-04-30,14
2023-05-01,64
2023-05-02,65
2023-05-03,61
2023-05-04,61
2023-05-05,51
2023-05-06,11
2023-05-07,14
2023-05-08,57
2023-05-09,57
2023-05-10,55
2023-05-11,53
2023-05-12,48
2023-05-13,9
2023-05-14,10
2023-05-15,54
2023-05-16,54
2023-05-17,50
2023-05-18,51
2023-05-19,44
2023-05-20,9
2023-05-21,10
2023-05-22,41
2023-05-23,42
2023-05-24,39
2023-05-25,37
2023-05-26,26
2023-05-27,7
2023-05-28,7
2023-05-29,8
2023-05-30,30
2023-05-31,30
2023-06-01,30
2023-06-02,23
2023-06-03,6
2023-06-04,8
2023-06-05,25
2023-06-06,24
2023-06-07,22
2023-06-08,20
2023-06-09,15
2023-06-10,6
2023-06-11,7
2023-06-12,16
2023-06-13,17
2023-06-14,15
2023-06-15,14
2023-06-16,9
2023-06-17,5
2023-06-18,5
2023-06-19,8
2023-06-20,11
2023-06-21,10
2023-06-22,9
2023-06-23,8
2023-06-24,5
2023-06-25,5
2023-06-26,9
2023-06-27,10
2023-06-28,9
2023-06-29,9
2023-06-30,7
2023-07-01,4
2023-07-02,4
2023-07-03,6
2023-07-04,5
2023-07-05,7
2023-07-06,8
2023-07-07,7
2023-07-08,5
2023-07-09,5
2023-07-10,8
2023-07-11,9
2023-07-12,9
2023-07-13,9
2023-07-14,7
2023-07-15,4
2023-07-16,5
2023-07-17,8
2023-07-18,8
2023-07-19,8
2023-07-20,7
2023-07-21,5
2023-07-22,3
2023-07-23,3
2023-07-24,7
2023-07-25,8
2023-07-26,7
2023-07-27,7
2023-07-28,6
2023-07-29,4
2023-07-30,4
2023-07-31,7
2023-08-01,7
2023-08-02,8
2023-08-03,9
2023-08-04,9
2023-08-05,3
2023-08-06,4
2023-08-07,12
2023-08-08,14
2023-08-09,17
2023-08-10,19
2023-08-11,23
2023-08-12,4
2023-08-13,6
2023-08-14,25
2023-08-15,32
2023-08-16,36
2023-08-17,44
2023-08-18,42
2023-08-19,7
2023-08-20,10
2023-08-21,45
2023-08-22,49
2023-08-23,65
2023-08-24,65
2023-08-25,55
2023-08-26,11
2023-08-27,15
2023-08-28,63
2023-08-29,84
2023-08-30,86
2023-08-31,81
2023-09-01,63
2023-09-02,11
2023-09-03,13
2023-09-04,20
2023-09-05,86
2023-09-06,92
2023-09-07,95
2023-09-08,86
2023-09-09,16
2023-09-10,21
2023-09-11,91
2023-09-12,99
2023-09-13,100
2023-09-14,98
2023-09-15,80
2023-09-16,15
2023-09-17,20
2023-09-18,85
2023-09-19,96
2023-09-20,90
2023-09-21,90
2023-09-22,77
2023-09-23,14
2023-09-24,17
2023-09-25,67
2023-09-26,87
2023-09-27,87
2023-09-28,90
2023-09-29,75
2023-09-30,15
2023-10-01,19
2023-10-02,76
2023-10-03,90
2023-10-04,80
2023-10-05,81
2023-10-06,62
2023-10-07,13
2023-10-08,15
2023-10-09,48
2023-10-10,68
2023-10-11,72
2023-10-12,80
2023-10-13,57
2023-10-14,11
2023-10-15,16
2023-10-16,73
2023-10-17,78
2023-10-18,79
2023-10-19,83
2023-10-20,61
2023-10-21,13
2023-10-22,16
2023-10-23,77
2023-10-24,85
2023-10-25,80
2023-10-26,81
2023-10-27,66
2023-10-28,10
2023-10-29,15
2023-10-30,75
2023-10-31,76
2023-11-01,77
2023-11-02,80
2023-11-03,65
2023-11-04,11
2023-11-05,15
2023-11-06,70
2023-11-07,59
2023-11-08,76
2023-11-09,76
2023-11-10,44
2023-11-11,11
2023-11-12,14
2023-11-13,70
2023-11-14,81
2023-11-15,78
2023-11-16,77
2023-11-17,60
2023-11-18,9
2023-11-19,11
2023-11-20,42
2023-11-21,36
2023-11-22,12
2023-11-23,5
2023-11-24,6
2023-11-25,6
2023-11-26,11
2023-11-27,60
2023-11-28,77
2023-11-29,80
2023-11-30,76
2023-12-01,75
2023-12-02,13
2023-12-03,14
2023-12-04,71
2023-12-05,75
2023-12-06,76
2023-12-07,76
2023-12-08,67
2023-12-09,15
2023-12-10,17
2023-12-11,69
2023-12-12,71
2023-12-13,68
2023-12-14,62
2023-12-15,47
2023-12-16,9
2023-12-17,10
2023-12-18,43
2023-12-19,39
2023-12-20,32
2023-12-21,22
2023-12-22,9
2023-12-23,3
2023-12-24,3
2023-12-25,2
2023-12-26,3
2023-12-27,3
2023-12-28,4
2023-12-29,3
2023-12-30,3
2023-12-31,3
2024-01-01,4
2024-01-02,14
2024-01-03,28
2024-01-04,40
2024-01-05,40
2024-01-06,5
2024-01-07,8
2024-01-08,47
2024-01-09,47
2024-01-10,62
2024-01-11,72
2024-01-12,58
2024-01-13,9
2024-01-14,7
2024-01-15,13
2024-01-16,42
2024-01-17,56
2024-01-18,69
2024-01-19,57
2024-01-20,13
