Time,olivia_dunne
2022-01-01,11.0
2022-01-02,0.0
2022-01-03,20.0
2022-01-04,14.0
2022-01-05,14.0
2022-01-06,0.0
2022-01-07,8.0
2022-01-08,20.0
2022-01-09,10.0
2022-01-10,0.0
2022-01-11,7.0
2022-01-12,8.0
2022-01-13,0.0
2022-01-14,0.0
2022-01-15,0.0
2022-01-16,8.0
2022-01-17,11.0
2022-01-18,8.0
2022-01-19,6.0
2022-01-20,0.0
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,11.0
2022-01-24,0.0
2022-01-25,0.0
2022-01-26,9.0
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,13.0
2022-01-30,15.0
2022-01-31,7.0
2022-02-01,8.0
2022-02-02,10.0
2022-02-03,9.0
2022-02-04,14.0
2022-02-05,9.0
2022-02-06,19.0
2022-02-07,9.0
2022-02-08,11.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-12,9.0
2022-02-13,20.0
2022-02-14,18.0
2022-02-15,11.0
2022-02-16,6.0
2022-02-17,6.0
2022-02-18,6.0
2022-02-19,31.0
2022-02-20,18.0
2022-02-21,43.0
2022-02-22,28.0
2022-02-23,9.0
2022-02-24,6.0
2022-02-25,9.0
2022-02-26,9.0
2022-02-27,0.0
2022-02-28,8.0
2022-03-01,6.0
2022-03-02,8.0
2022-03-03,9.0
2022-03-04,6.0
2022-03-05,8.0
2022-03-06,9.0
2022-03-07,9.0
2022-03-08,8.0
2022-03-09,6.0
2022-03-10,6.0
2022-03-11,0.0
2022-03-12,10.0
2022-03-13,7.0
2022-03-14,7.0
2022-03-15,12.0
2022-03-16,13.0
2022-03-17,5.0
2022-03-18,8.0
2022-03-19,9.0
2022-03-20,12.0
2022-03-21,12.0
2022-03-22,6.0
2022-03-23,0.0
2022-03-24,14.0
2022-03-25,11.0
2022-03-26,7.0
2022-03-27,9.0
2022-03-28,5.0
2022-03-29,10.0
2022-03-30,5.0
2022-03-31,14.0
2022-04-01,9.0
2022-04-02,8.0
2022-04-03,6.0
2022-04-04,12.0
2022-04-05,7.0
2022-04-06,7.0
2022-04-07,8.0
2022-04-08,9.0
2022-04-09,8.0
2022-04-10,8.0
2022-04-11,9.0
2022-04-12,8.0
2022-04-13,6.0
2022-04-14,0.0
2022-04-15,11.0
2022-04-16,9.0
2022-04-17,11.0
2022-04-18,7.0
2022-04-19,16.0
2022-04-20,22.0
2022-04-21,38.0
2022-04-22,33.0
2022-04-23,10.0
2022-04-24,9.0
2022-04-25,10.0
2022-04-26,9.0
2022-04-27,8.0
2022-04-28,6.0
2022-04-29,7.0
2022-04-30,5.0
2022-05-01,6.0
2022-05-02,8.0
2022-05-03,5.0
2022-05-04,6.0
2022-05-05,7.0
2022-05-06,8.0
2022-05-07,8.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,6.0
2022-05-11,6.0
2022-05-12,13.0
2022-05-13,0.0
