Time,iready
2022-08-29,47
2022-08-30,53
2022-08-31,52
2022-09-01,54
2022-09-02,47
2022-09-03,5
2022-09-04,5
2022-09-05,8
2022-09-06,59
2022-09-07,65
2022-09-08,70
2022-09-09,63
2022-09-10,7
2022-09-11,8
2022-09-12,73
2022-09-13,79
2022-09-14,79
2022-09-15,76
2022-09-16,69
2022-09-17,7
2022-09-18,7
2022-09-19,80
2022-09-20,85
2022-09-21,83
2022-09-22,85
2022-09-23,71
2022-09-24,7
2022-09-25,7
2022-09-26,62
2022-09-27,68
2022-09-28,75
2022-09-29,74
2022-09-30,64
2022-10-01,7
2022-10-02,8
2022-10-03,67
2022-10-04,67
2022-10-05,54
2022-10-06,73
2022-10-07,62
2022-10-08,6
2022-10-09,7
2022-10-10,39
2022-10-11,67
2022-10-12,65
2022-10-13,66
2022-10-14,56
2022-10-15,7
2022-10-16,8
2022-10-17,61
2022-10-18,67
2022-10-19,68
2022-10-20,67
2022-10-21,57
2022-10-22,7
2022-10-23,8
2022-10-24,63
2022-10-25,68
2022-10-26,63
2022-10-27,66
2022-10-28,52
2022-10-29,5
2022-10-30,8
2022-10-31,46
2022-11-01,62
2022-11-02,59
2022-11-03,65
2022-11-04,62
2022-11-05,7
2022-11-06,9
2022-11-07,57
2022-11-08,44
2022-11-09,57
2022-11-10,60
2022-11-11,27
2022-11-12,5
2022-11-13,8
2022-11-14,62
2022-11-15,62
2022-11-16,63
2022-11-17,66
2022-11-18,54
2022-11-19,7
2022-11-20,7
2022-11-21,38
2022-11-22,33
2022-11-23,13
2022-11-24,3
2022-11-25,3
2022-11-26,4
2022-11-27,7
2022-11-28,58
2022-11-29,64
2022-11-30,62
2022-12-01,68
2022-12-02,61
2022-12-03,7
2022-12-04,9
2022-12-05,72
2022-12-06,78
2022-12-07,81
2022-12-08,83
2022-12-09,64
2022-12-10,7
2022-12-11,7
2022-12-12,76
2022-12-13,71
2022-12-14,69
2022-12-15,62
2022-12-16,49
2022-12-17,6
2022-12-18,6
2022-12-19,39
2022-12-20,35
2022-12-21,27
2022-12-22,19
2022-12-23,8
2022-12-24,2
2022-12-25,2
2022-12-26,2
2022-12-27,3
2022-12-28,3
2022-12-29,3
2022-12-30,3
2022-12-31,2
2023-01-01,2
2023-01-02,10
2023-01-03,40
2023-01-04,58
2023-01-05,67
2023-01-06,66
2023-01-07,7
2023-01-08,8
2023-01-09,78
2023-01-10,93
2023-01-11,90
2023-01-12,94
2023-01-13,79
2023-01-14,8
2023-01-15,6
2023-01-16,12
2023-01-17,93
2023-01-18,96
2023-01-19,100
2023-01-20,83
2023-01-21,8
2023-01-22,10
2023-01-23,78
2023-01-24,88
2023-01-25,77
2023-01-26,83
2023-01-27,72
2023-01-28,8
2023-01-29,8
2023-01-30,77
2023-01-31,72
2023-02-01,73
2023-02-02,74
2023-02-03,65
2023-02-04,8
2023-02-05,9
2023-02-06,75
2023-02-07,78
2023-02-08,77
2023-02-09,73
2023-02-10,68
2023-02-11,7
2023-02-12,10
2023-02-13,65
2023-02-14,58
2023-02-15,71
2023-02-16,69
2023-02-17,54
2023-02-18,7
2023-02-19,7
2023-02-20,15
2023-02-21,48
2023-02-22,52
2023-02-23,53
2023-02-24,50
2023-02-25,7
2023-02-26,8
2023-02-27,65
2023-02-28,58
2023-03-01,65
2023-03-02,63
2023-03-03,57
2023-03-04,8
2023-03-05,8
2023-03-06,63
2023-03-07,65
2023-03-08,64
2023-03-09,70
2023-03-10,57
2023-03-11,8
2023-03-12,9
2023-03-13,53
2023-03-14,54
2023-03-15,61
2023-03-16,60
2023-03-17,45
2023-03-18,6
2023-03-19,8
2023-03-20,59
2023-03-21,63
2023-03-22,59
2023-03-23,61
2023-03-24,50
2023-03-25,7
2023-03-26,7
2023-03-27,60
2023-03-28,57
2023-03-29,59
2023-03-30,60
2023-03-31,50
2023-04-01,6
2023-04-02,7
2023-04-03,52
2023-04-04,49
2023-04-05,45
2023-04-06,51
2023-04-07,10
2023-04-08,4
2023-04-09,4
2023-04-10,29
2023-04-11,38
2023-04-12,39
2023-04-13,40
2023-04-14,35
2023-04-15,5
2023-04-16,8
2023-04-17,57
2023-04-18,52
2023-04-19,53
2023-04-20,53
2023-04-21,41
2023-04-22,7
2023-04-23,6
2023-04-24,62
2023-04-25,57
2023-04-26,59
2023-04-27,57
2023-04-28,52
2023-04-29,6
2023-04-30,7
2023-05-01,59
2023-05-02,58
2023-05-03,59
2023-05-04,64
2023-05-05,54
2023-05-06,5
2023-05-07,6
2023-05-08,67
2023-05-09,72
2023-05-10,69
2023-05-11,65
2023-05-12,57
2023-05-13,7
2023-05-14,6
2023-05-15,73
2023-05-16,71
2023-05-17,70
2023-05-18,68
2023-05-19,52
2023-05-20,6
2023-05-21,5
2023-05-22,57
2023-05-23,56
2023-05-24,56
2023-05-25,52
