Time,jesse williams
2023-04-26,16
2023-04-27,16
2023-04-28,14
2023-04-29,14
2023-04-30,13
2023-05-01,11
2023-05-02,16
2023-05-03,11
2023-05-04,8
2023-05-05,27
2023-05-06,14
2023-05-07,19
2023-05-08,14
2023-05-09,57
2023-05-10,39
2023-05-11,19
2023-05-12,23
2023-05-13,22
2023-05-14,24
2023-05-15,13
2023-05-16,15
2023-05-17,16
2023-05-18,11
2023-05-19,15
2023-05-20,14
2023-05-21,20
2023-05-22,14
2023-05-23,11
2023-05-24,13
2023-05-25,14
2023-05-26,9
2023-05-27,22
2023-05-28,15
2023-05-29,19
2023-05-30,12
2023-05-31,21
2023-06-01,20
2023-06-02,13
2023-06-03,18
2023-06-04,14
2023-06-05,8
2023-06-06,13
2023-06-07,19
2023-06-08,11
2023-06-09,14
2023-06-10,19
2023-06-11,14
2023-06-12,12
2023-06-13,15
2023-06-14,16
2023-06-15,15
2023-06-16,15
2023-06-17,19
2023-06-18,11
2023-06-19,18
2023-06-20,13
2023-06-21,15
2023-06-22,9
2023-06-23,13
2023-06-24,10
2023-06-25,12
2023-06-26,10
2023-06-27,13
2023-06-28,10
2023-06-29,18
2023-06-30,19
2023-07-01,17
2023-07-02,14
2023-07-03,14
2023-07-04,15
2023-07-05,19
2023-07-06,15
2023-07-07,13
2023-07-08,13
2023-07-09,15
2023-07-10,15
2023-07-11,14
2023-07-12,10
2023-07-13,11
2023-07-14,26
2023-07-15,15
2023-07-16,16
2023-07-17,17
2023-07-18,12
2023-07-19,16
2023-07-20,12
2023-07-21,17
2023-07-22,17
2023-07-23,20
2023-07-24,12
2023-07-25,12
2023-07-26,14
2023-07-27,18
2023-07-28,20
2023-07-29,22
2023-07-30,19
2023-07-31,15
2023-08-01,14
2023-08-02,17
2023-08-03,16
2023-08-04,14
2023-08-05,24
2023-08-06,27
2023-08-07,18
2023-08-08,28
2023-08-09,32
2023-08-10,25
2023-08-11,30
2023-08-12,30
2023-08-13,39
2023-08-14,36
2023-08-15,89
2023-08-16,100
2023-08-17,65
2023-08-18,63
2023-08-19,66
2023-08-20,55
2023-08-21,52
2023-08-22,44
2023-08-23,32
2023-08-24,28
2023-08-25,27
2023-08-26,28
2023-08-27,31
2023-08-28,30
2023-08-29,32
2023-08-30,58
2023-08-31,41
2023-09-01,37
2023-09-02,33
2023-09-03,39
2023-09-04,42
2023-09-05,33
2023-09-06,47
2023-09-07,34
2023-09-08,25
2023-09-09,36
2023-09-10,28
2023-09-11,26
2023-09-12,46
2023-09-13,30
2023-09-14,25
2023-09-15,25
2023-09-16,30
2023-09-17,30
2023-09-18,21
2023-09-19,21
2023-09-20,19
2023-09-21,21
2023-09-22,27
2023-09-23,29
2023-09-24,32
2023-09-25,24
2023-09-26,23
2023-09-27,27
2023-09-28,20
2023-09-29,17
2023-09-30,27
2023-10-01,26
2023-10-02,16
2023-10-03,25
2023-10-04,31
2023-10-05,34
2023-10-06,30
2023-10-07,32
2023-10-08,26
2023-10-09,27
2023-10-10,27
2023-10-11,22
2023-10-12,26
2023-10-13,24
2023-10-14,23
2023-10-15,27
2023-10-16,22
2023-10-17,23
2023-10-18,18
2023-10-19,20
2023-10-20,15
2023-10-21,22
2023-10-22,24
2023-10-23,13
2023-10-24,18
2023-10-25,14
2023-10-26,17
2023-10-27,20
2023-10-28,12
2023-10-29,14
2023-10-30,17
2023-10-31,18
2023-11-01,17
2023-11-02,15
2023-11-03,12
2023-11-04,23
2023-11-05,15
2023-11-06,15
2023-11-07,22
2023-11-08,21
2023-11-09,24
2023-11-10,31
2023-11-11,22
2023-11-12,22
2023-11-13,20
2023-11-14,16
2023-11-15,14
2023-11-16,16
2023-11-17,15
2023-11-18,12
2023-11-19,16
2023-11-20,18
2023-11-21,18
2023-11-22,14
2023-11-23,16
2023-11-24,16
2023-11-25,16
2023-11-26,12
2023-11-27,14
2023-11-28,19
2023-11-29,18
2023-11-30,15
2023-12-01,16
2023-12-02,20
2023-12-03,9
2023-12-04,16
2023-12-05,13
2023-12-06,31
2023-12-07,21
2023-12-08,18
2023-12-09,26
2023-12-10,23
2023-12-11,18
2023-12-12,16
2023-12-13,16
2023-12-14,18
2023-12-15,17
2023-12-16,20
2023-12-17,15
2023-12-18,20
2023-12-19,23
2023-12-20,14
2023-12-21,27
2023-12-22,21
2023-12-23,21
2023-12-24,23
2023-12-25,13
2023-12-26,16
2023-12-27,19
2023-12-28,15
2023-12-29,18
2023-12-30,22
2023-12-31,21
2024-01-01,21
2024-01-02,17
2024-01-03,17
2024-01-04,19
2024-01-05,20
2024-01-06,21
2024-01-07,24
2024-01-08,13
2024-01-09,19
2024-01-10,24
2024-01-11,15
2024-01-12,19
2024-01-13,18
2024-01-14,23
2024-01-15,24
2024-01-16,19
2024-01-17,17
2024-01-18,15
2024-01-19,17
2024-01-20,19
