Time,als
2022-01-01,38.0
2022-01-02,41.0
2022-01-03,44.0
2022-01-04,47.0
2022-01-05,44.0
2022-01-06,37.0
2022-01-07,42.0
2022-01-08,44.0
2022-01-09,41.0
2022-01-10,40.0
2022-01-11,45.0
2022-01-12,42.0
2022-01-13,34.0
2022-01-14,35.0
2022-01-15,46.0
2022-01-16,37.0
2022-01-17,34.0
2022-01-18,40.0
2022-01-19,36.0
2022-01-20,39.0
2022-01-21,41.0
2022-01-22,44.0
2022-01-23,37.0
2022-01-24,45.0
2022-01-25,43.0
2022-01-26,36.0
2022-01-27,42.0
2022-01-28,44.0
2022-01-29,44.0
2022-01-30,41.0
2022-01-31,41.0
2022-02-01,40.0
2022-02-02,41.0
2022-02-03,44.0
2022-02-04,42.0
2022-02-05,47.0
2022-02-06,47.0
2022-02-07,43.0
2022-02-08,45.0
2022-02-09,43.0
2022-02-10,40.0
2022-02-11,44.0
2022-02-12,44.0
2022-02-13,41.0
2022-02-14,41.0
2022-02-15,46.0
2022-02-16,44.0
2022-02-17,43.0
2022-02-18,46.0
2022-02-19,40.0
2022-02-20,39.0
2022-02-21,47.0
2022-02-22,42.0
2022-02-23,43.0
2022-02-24,38.0
2022-02-25,39.0
2022-02-26,40.0
2022-02-27,38.0
2022-02-28,44.0
2022-03-01,43.0
2022-03-02,46.0
2022-03-03,43.0
2022-03-04,43.0
2022-03-05,39.0
2022-03-06,37.0
2022-03-07,42.0
2022-03-08,44.0
2022-03-09,43.0
2022-03-10,43.0
2022-03-11,45.0
2022-03-12,43.0
2022-03-13,41.0
2022-03-14,41.0
2022-03-15,43.0
2022-03-16,46.0
2022-03-17,40.0
2022-03-18,39.0
2022-03-19,37.0
2022-03-20,38.0
2022-03-21,42.0
2022-03-22,44.0
2022-03-23,45.0
2022-03-24,46.0
2022-03-25,48.0
2022-03-26,44.0
2022-03-27,41.0
2022-03-28,42.0
2022-03-29,45.0
2022-03-30,47.0
2022-03-31,44.0
2022-04-01,41.0
2022-04-02,39.0
2022-04-03,35.0
2022-04-04,40.0
2022-04-05,38.0
2022-04-06,38.0
2022-04-07,41.0
2022-04-08,45.0
2022-04-09,42.0
2022-04-10,41.0
2022-04-11,42.0
2022-04-12,43.0
2022-04-13,41.0
2022-04-14,41.0
2022-04-15,44.0
2022-04-16,40.0
2022-04-17,34.0
2022-04-18,42.0
2022-04-19,41.0
2022-04-20,41.0
2022-04-21,44.0
2022-04-22,43.0
2022-04-23,40.0
2022-04-24,41.0
2022-04-25,51.0
2022-04-26,44.0
2022-04-27,44.0
2022-04-28,39.0
2022-04-29,41.0
2022-04-30,41.0
2022-05-01,42.0
2022-05-02,42.0
2022-05-03,45.0
2022-05-04,41.0
2022-05-05,44.0
2022-05-06,41.0
2022-05-07,40.0
2022-05-08,37.0
2022-05-09,40.0
2022-05-10,40.0
2022-05-11,40.0
2022-05-12,43.0
2022-05-13,44.0
2022-05-14,40.0
2022-05-15,41.0
2022-05-16,38.0
2022-05-17,40.0
2022-05-18,43.0
2022-05-19,96.0
