Time,tesla stock
2023-04-26,55
2023-04-27,50
2023-04-28,44
2023-04-29,13
2023-04-30,10
2023-05-01,39
2023-05-02,43
2023-05-03,40
2023-05-04,38
2023-05-05,40
2023-05-06,14
2023-05-07,10
2023-05-08,40
2023-05-09,38
2023-05-10,39
2023-05-11,37
2023-05-12,45
2023-05-13,12
2023-05-14,9
2023-05-15,39
2023-05-16,42
2023-05-17,48
2023-05-18,43
2023-05-19,43
2023-05-20,14
2023-05-21,11
2023-05-22,44
2023-05-23,46
2023-05-24,44
2023-05-25,45
2023-05-26,58
2023-05-27,18
2023-05-28,12
2023-05-29,13
2023-05-30,53
2023-05-31,50
2023-06-01,54
2023-06-02,60
2023-06-03,19
2023-06-04,13
2023-06-05,55
2023-06-06,55
2023-06-07,56
2023-06-08,65
2023-06-09,94
2023-06-10,27
2023-06-11,17
2023-06-12,64
2023-06-13,70
2023-06-14,75
2023-06-15,65
2023-06-16,60
2023-06-17,21
2023-06-18,14
2023-06-19,31
2023-06-20,67
2023-06-21,76
2023-06-22,63
2023-06-23,59
2023-06-24,18
2023-06-25,14
2023-06-26,56
2023-06-27,56
2023-06-28,56
2023-06-29,57
2023-06-30,55
2023-07-01,19
2023-07-02,19
2023-07-03,73
2023-07-04,26
2023-07-05,61
2023-07-06,56
2023-07-07,58
2023-07-08,18
2023-07-09,13
2023-07-10,51
2023-07-11,49
2023-07-12,51
2023-07-13,58
2023-07-14,55
2023-07-15,16
2023-07-16,12
2023-07-17,60
2023-07-18,64
2023-07-19,87
2023-07-20,100
2023-07-21,72
2023-07-22,19
2023-07-23,13
2023-07-24,62
2023-07-25,57
2023-07-26,51
2023-07-27,53
2023-07-28,49
2023-07-29,15
2023-07-30,12
2023-07-31,49
2023-08-01,47
2023-08-02,45
2023-08-03,48
2023-08-04,46
2023-08-05,13
2023-08-06,10
2023-08-07,49
2023-08-08,45
2023-08-09,49
2023-08-10,41
2023-08-11,40
2023-08-12,11
2023-08-13,8
2023-08-14,45
2023-08-15,43
2023-08-16,46
2023-08-17,46
2023-08-18,46
2023-08-19,14
2023-08-20,11
2023-08-21,56
2023-08-22,51
2023-08-23,48
2023-08-24,45
2023-08-25,41
2023-08-26,12
2023-08-27,9
2023-08-28,40
2023-08-29,46
2023-08-30,63
2023-08-31,43
2023-09-01,48
2023-09-02,13
2023-09-03,9
2023-09-04,12
2023-09-05,45
2023-09-06,43
2023-09-07,41
2023-09-08,37
2023-09-09,11
2023-09-10,8
2023-09-11,59
2023-09-12,55
2023-09-13,48
2023-09-14,45
2023-09-15,47
2023-09-16,14
2023-09-17,9
2023-09-18,44
2023-09-19,41
2023-09-20,43
2023-09-21,41
2023-09-22,42
2023-09-23,12
2023-09-24,9
2023-09-25,41
2023-09-26,39
2023-09-27,39
2023-09-28,37
2023-09-29,39
2023-09-30,12
2023-10-01,8
2023-10-02,44
2023-10-03,39
2023-10-04,42
2023-10-05,40
2023-10-06,42
2023-10-07,12
2023-10-08,8
2023-10-09,37
2023-10-10,39
2023-10-11,39
2023-10-12,38
2023-10-13,33
2023-10-14,10
2023-10-15,7
2023-10-16,36
2023-10-17,38
2023-10-18,50
2023-10-19,68
2023-10-20,62
2023-10-21,17
2023-10-22,11
2023-10-23,50
2023-10-24,49
2023-10-25,43
2023-10-26,46
2023-10-27,45
2023-10-28,13
2023-10-29,9
2023-10-30,48
2023-10-31,50
2023-11-01,48
2023-11-02,48
2023-11-03,43
2023-11-04,13
2023-11-05,9
2023-11-06,40
2023-11-07,40
2023-11-08,38
2023-11-09,45
2023-11-10,42
2023-11-11,12
2023-11-12,9
2023-11-13,40
2023-11-14,51
2023-11-15,46
2023-11-16,45
2023-11-17,45
2023-11-18,18
2023-11-19,9
2023-11-20,41
2023-11-21,41
2023-11-22,41
2023-11-23,14
2023-11-24,26
2023-11-25,10
2023-11-26,9
2023-11-27,35
2023-11-28,41
2023-11-29,47
2023-11-30,48
2023-12-01,47
2023-12-02,16
2023-12-03,10
2023-12-04,35
2023-12-05,40
2023-12-06,39
2023-12-07,37
2023-12-08,38
2023-12-09,12
2023-12-10,9
2023-12-11,34
2023-12-12,35
2023-12-13,53
2023-12-14,51
2023-12-15,45
2023-12-16,14
2023-12-17,9
2023-12-18,38
2023-12-19,42
2023-12-20,43
2023-12-21,41
2023-12-22,39
2023-12-23,12
2023-12-24,9
2023-12-25,8
2023-12-26,37
2023-12-27,42
2023-12-28,42
2023-12-29,37
2023-12-30,12
2023-12-31,8
2024-01-01,9
2024-01-02,42
2024-01-03,42
2024-01-04,37
2024-01-05,34
2024-01-06,11
2024-01-07,8
2024-01-08,34
2024-01-09,34
2024-01-10,35
2024-01-11,38
2024-01-12,40
2024-01-13,13
2024-01-14,10
2024-01-15,16
2024-01-16,40
2024-01-17,40
2024-01-18,42
2024-01-19,41
2024-01-20,14
