Time,btc
2023-12-22,25
2023-12-23,20
2023-12-24,19
2023-12-25,18
2023-12-26,23
2023-12-27,24
2023-12-28,22
2023-12-29,22
2023-12-30,18
2023-12-31,17
2024-01-01,19
2024-01-02,38
2024-01-03,35
2024-01-04,31
2024-01-05,29
2024-01-06,21
2024-01-07,20
2024-01-08,37
2024-01-09,45
2024-01-10,67
2024-01-11,73
2024-01-12,40
2024-01-13,32
2024-01-14,24
2024-01-15,26
2024-01-16,27
2024-01-17,25
2024-01-18,25
2024-01-19,26
2024-01-20,19
2024-01-21,15
2024-01-22,25
2024-01-23,27
2024-01-24,24
2024-01-25,19
2024-01-26,21
2024-01-27,18
2024-01-28,16
2024-01-29,21
2024-01-30,20
2024-01-31,19
2024-02-01,17
2024-02-02,17
2024-02-03,14
2024-02-04,14
2024-02-05,17
2024-02-06,17
2024-02-07,18
2024-02-08,22
2024-02-09,29
2024-02-10,23
2024-02-11,24
2024-02-12,36
2024-02-13,33
2024-02-14,36
2024-02-15,37
2024-02-16,30
2024-02-17,24
2024-02-18,23
2024-02-19,27
2024-02-20,28
2024-02-21,25
2024-02-22,25
2024-02-23,21
2024-02-24,19
2024-02-25,20
2024-02-26,33
2024-02-27,50
2024-02-28,88
2024-02-29,70
2024-03-01,48
2024-03-02,38
2024-03-03,37
2024-03-04,86
2024-03-05,100
2024-03-06,66
2024-03-07,48
2024-03-08,54
2024-03-09,46
2024-03-10,43
2024-03-11,71
2024-03-12,57
2024-03-13,54
2024-03-14,48
2024-03-15,52
2024-03-16,38
2024-03-17,40
2024-03-18,40
2024-03-19,48
2024-03-20,46
2024-03-21,37
2024-03-22,35
2024-03-23,28
2024-03-24,28
2024-03-25,40
2024-03-26,38
2024-03-27,36
2024-03-28,35
2024-03-29,32
2024-03-30,27
2024-03-31,28
2024-04-01,34
2024-04-02,38
2024-04-03,31
2024-04-04,31
2024-04-05,29
2024-04-06,22
2024-04-07,26
2024-04-08,33
2024-04-09,33
2024-04-10,32
2024-04-11,30
2024-04-12,33
2024-04-13,40
2024-04-14,49
2024-04-15,39
2024-04-16,39
2024-04-17,39
2024-04-18,35
2024-04-19,53
2024-04-20,46
2024-04-21,31
2024-04-22,34
2024-04-23,31
2024-04-24,26
2024-04-25,28
2024-04-26,22
2024-04-27,21
2024-04-28,21
2024-04-29,26
2024-04-30,39
2024-05-01,37
2024-05-02,30
2024-05-03,28
2024-05-04,23
2024-05-05,21
2024-05-06,27
2024-05-07,23
2024-05-08,21
2024-05-09,21
2024-05-10,23
2024-05-11,18
2024-05-12,17
2024-05-13,24
2024-05-14,23
2024-05-15,26
2024-05-16,26
2024-05-17,25
2024-05-18,20
2024-05-19,19
2024-05-20,31
2024-05-21,38
2024-05-22,31
2024-05-23,28
2024-05-24,25
2024-05-25,18
2024-05-26,20
2024-05-27,21
2024-05-28,25
2024-05-29,22
2024-05-30,22
2024-05-31,21
2024-06-01,17
2024-06-02,16
2024-06-03,23
2024-06-04,26
2024-06-05,30
2024-06-06,29
2024-06-07,27
2024-06-08,19
2024-06-09,19
2024-06-10,24
2024-06-11,26
2024-06-12,26
2024-06-13,24
2024-06-14,22
2024-06-15,17
2024-06-16,17
2024-06-17,23
2024-06-18,24
2024-06-19,20
2024-06-20,20
2024-06-21,21
2024-06-22,15
2024-06-23,17
2024-06-24,32
2024-06-25,26
2024-06-26,21
2024-06-27,21
2024-06-28,21
2024-06-29,15
2024-06-30,16
2024-07-01,22
2024-07-02,20
2024-07-03,22
2024-07-04,28
2024-07-05,40
2024-07-06,24
2024-07-07,23
2024-07-08,29
2024-07-09,24
2024-07-10,24
2024-07-11,24
2024-07-12,20
2024-07-13,17
2024-07-14,21
2024-07-15,32
2024-07-16,30
2024-07-17,28
2024-07-18,23
2024-07-19,26
2024-07-20,22
2024-07-21,24
2024-07-22,30
2024-07-23,25
2024-07-24,24
2024-07-25,26
2024-07-26,26
2024-07-27,32
2024-07-28,27
2024-07-29,33
2024-07-30,27
2024-07-31,24
2024-08-01,25
2024-08-02,26
2024-08-03,23
2024-08-04,28
2024-08-05,86
2024-08-06,37
2024-08-07,32
2024-08-08,31
2024-08-09,29
2024-08-10,20
2024-08-11,21
2024-08-12,26
2024-08-13,24
2024-08-14,25
2024-08-15,24
2024-08-16,23
2024-08-17,17
2024-08-18,18
2024-08-19,22
2024-08-20,24
2024-08-21,22
2024-08-22,21
2024-08-23,24
2024-08-24,24
2024-08-25,20
2024-08-26,23
2024-08-27,24
2024-08-28,25
2024-08-29,21
2024-08-30,20
2024-08-31,15
2024-09-01,16
2024-09-02,18
2024-09-03,21
2024-09-04,23
2024-09-05,20
2024-09-06,24
2024-09-07,17
2024-09-08,17
2024-09-09,22
2024-09-10,20
2024-09-11,20
2024-09-12,20
2024-09-13,20
2024-09-14,17
2024-09-15,15
2024-09-16,19
