Time,walgreens
2023-12-22,52
2023-12-23,57
2023-12-24,68
2023-12-25,100
2023-12-26,45
2023-12-27,39
2023-12-28,37
2023-12-29,39
2023-12-30,36
2023-12-31,39
2024-01-01,38
2024-01-02,38
2024-01-03,38
2024-01-04,35
2024-01-05,34
2024-01-06,33
2024-01-07,30
2024-01-08,32
2024-01-09,32
2024-01-10,30
2024-01-11,32
2024-01-12,31
2024-01-13,29
2024-01-14,27
2024-01-15,30
2024-01-16,29
2024-01-17,31
2024-01-18,30
2024-01-19,31
2024-01-20,29
2024-01-21,28
2024-01-22,30
2024-01-23,29
2024-01-24,29
2024-01-25,28
2024-01-26,28
2024-01-27,28
2024-01-28,26
2024-01-29,30
2024-01-30,31
2024-01-31,29
2024-02-01,29
2024-02-02,29
2024-02-03,30
2024-02-04,30
2024-02-05,29
2024-02-06,29
2024-02-07,28
2024-02-08,31
2024-02-09,30
2024-02-10,30
2024-02-11,27
2024-02-12,29
2024-02-13,34
2024-02-14,35
2024-02-15,29
2024-02-16,29
2024-02-17,27
2024-02-18,29
2024-02-19,30
2024-02-20,28
2024-02-21,29
2024-02-22,29
2024-02-23,30
2024-02-24,29
2024-02-25,29
2024-02-26,30
2024-02-27,29
2024-02-28,28
2024-02-29,29
2024-03-01,28
2024-03-02,29
2024-03-03,30
2024-03-04,30
2024-03-05,29
2024-03-06,28
2024-03-07,28
2024-03-08,28
2024-03-09,28
2024-03-10,28
2024-03-11,30
2024-03-12,29
2024-03-13,28
2024-03-14,29
2024-03-15,29
2024-03-16,28
2024-03-17,28
2024-03-18,31
2024-03-19,27
2024-03-20,27
2024-03-21,28
2024-03-22,28
2024-03-23,28
2024-03-24,28
2024-03-25,29
2024-03-26,29
2024-03-27,29
2024-03-28,29
2024-03-29,30
2024-03-30,29
2024-03-31,37
2024-04-01,33
2024-04-02,29
2024-04-03,30
2024-04-04,30
2024-04-05,29
2024-04-06,29
2024-04-07,30
2024-04-08,33
2024-04-09,29
2024-04-10,27
2024-04-11,27
2024-04-12,28
2024-04-13,28
2024-04-14,28
2024-04-15,29
2024-04-16,29
2024-04-17,28
2024-04-18,29
2024-04-19,28
2024-04-20,26
2024-04-21,28
2024-04-22,29
2024-04-23,29
2024-04-24,29
2024-04-25,29
2024-04-26,29
2024-04-27,27
2024-04-28,28
2024-04-29,29
2024-04-30,29
2024-05-01,28
2024-05-02,28
2024-05-03,28
2024-05-04,29
2024-05-05,28
2024-05-06,32
2024-05-07,32
2024-05-08,31
2024-05-09,33
2024-05-10,32
2024-05-11,33
2024-05-12,33
2024-05-13,32
2024-05-14,31
2024-05-15,30
2024-05-16,30
2024-05-17,31
2024-05-18,28
2024-05-19,29
2024-05-20,30
2024-05-21,30
2024-05-22,31
2024-05-23,31
2024-05-24,32
2024-05-25,30
2024-05-26,30
2024-05-27,29
2024-05-28,32
2024-05-29,31
2024-05-30,33
2024-05-31,31
2024-06-01,30
2024-06-02,28
2024-06-03,30
2024-06-04,31
2024-06-05,30
2024-06-06,32
2024-06-07,31
2024-06-08,30
2024-06-09,28
2024-06-10,34
2024-06-11,32
2024-06-12,32
2024-06-13,32
2024-06-14,35
2024-06-15,31
2024-06-16,32
2024-06-17,31
2024-06-18,31
2024-06-19,31
2024-06-20,29
2024-06-21,30
2024-06-22,29
2024-06-23,28
2024-06-24,32
2024-06-25,31
2024-06-26,29
2024-06-27,36
2024-06-28,34
2024-06-29,30
2024-06-30,29
2024-07-01,33
2024-07-02,33
2024-07-03,33
2024-07-04,31
2024-07-05,33
2024-07-06,28
2024-07-07,28
2024-07-08,33
2024-07-09,32
2024-07-10,31
2024-07-11,32
2024-07-12,32
2024-07-13,28
2024-07-14,27
2024-07-15,31
2024-07-16,30
2024-07-17,30
2024-07-18,32
2024-07-19,32
2024-07-20,28
2024-07-21,27
2024-07-22,30
2024-07-23,31
2024-07-24,32
2024-07-25,31
2024-07-26,32
2024-07-27,28
2024-07-28,28
2024-07-29,31
2024-07-30,31
2024-07-31,31
2024-08-01,30
2024-08-02,30
2024-08-03,27
2024-08-04,28
2024-08-05,32
2024-08-06,30
2024-08-07,32
2024-08-08,31
2024-08-09,31
2024-08-10,27
2024-08-11,29
2024-08-12,32
2024-08-13,32
2024-08-14,32
2024-08-15,32
2024-08-16,33
2024-08-17,30
2024-08-18,31
2024-08-19,32
2024-08-20,32
2024-08-21,32
2024-08-22,31
2024-08-23,32
2024-08-24,30
2024-08-25,31
2024-08-26,32
2024-08-27,32
2024-08-28,31
2024-08-29,31
2024-08-30,32
2024-08-31,29
2024-09-01,30
2024-09-02,31
2024-09-03,35
2024-09-04,33
2024-09-05,31
2024-09-06,32
2024-09-07,28
2024-09-08,31
2024-09-09,34
2024-09-10,32
2024-09-11,30
2024-09-12,31
2024-09-13,31
2024-09-14,30
2024-09-15,28
2024-09-16,31
