Time,dahmer
2024-08-18,45
2024-08-19,34
2024-08-20,36
2024-08-21,38
2024-08-22,49
2024-08-23,50
2024-08-24,44
2024-08-25,50
2024-08-26,41
2024-08-27,39
2024-08-28,40
2024-08-29,41
2024-08-30,44
2024-08-31,42
2024-09-01,47
2024-09-02,46
2024-09-03,37
2024-09-04,35
2024-09-05,36
2024-09-06,38
2024-09-07,45
2024-09-08,46
2024-09-09,38
2024-09-10,40
2024-09-11,37
2024-09-12,39
2024-09-13,42
2024-09-14,45
2024-09-15,45
2024-09-16,45
2024-09-17,46
2024-09-18,50
2024-09-19,52
2024-09-20,71
2024-09-21,100
2024-09-22,91
2024-09-23,80
2024-09-24,85
2024-09-25,93
2024-09-26,97
2024-09-27,85
2024-09-28,100
2024-09-29,99
2024-09-30,81
2024-10-01,66
2024-10-02,72
2024-10-03,82
2024-10-04,81
2024-10-05,91
2024-10-06,87
2024-10-07,69
2024-10-08,56
2024-10-09,55
2024-10-10,57
2024-10-11,60
2024-10-12,62
2024-10-13,62
2024-10-14,53
2024-10-15,53
2024-10-16,50
2024-10-17,48
2024-10-18,45
2024-10-19,56
2024-10-20,50
2024-10-21,47
2024-10-22,44
2024-10-23,43
2024-10-24,42
2024-10-25,47
2024-10-26,50
2024-10-27,51
2024-10-28,43
2024-10-29,46
2024-10-30,43
2024-10-31,50
2024-11-01,41
2024-11-02,44
2024-11-03,36
2024-11-04,36
2024-11-05,30
2024-11-06,22
2024-11-07,35
2024-11-08,35
2024-11-09,38
2024-11-10,37
2024-11-11,34
2024-11-12,40
2024-11-13,39
2024-11-14,40
2024-11-15,40
2024-11-16,34
2024-11-17,44
2024-11-18,38
2024-11-19,36
2024-11-20,37
2024-11-21,62
2024-11-22,42
2024-11-23,43
2024-11-24,40
2024-11-25,35
2024-11-26,35
2024-11-27,34
2024-11-28,41
2024-11-29,39
2024-11-30,37
2024-12-01,36
2024-12-02,35
2024-12-03,34
2024-12-04,33
2024-12-05,35
2024-12-06,35
2024-12-07,42
2024-12-08,33
2024-12-09,35
2024-12-10,39
2024-12-11,37
2024-12-12,37
2024-12-13,34
2024-12-14,37
2024-12-15,34
2024-12-16,30
2024-12-17,38
2024-12-18,33
2024-12-19,31
2024-12-20,33
2024-12-21,34
2024-12-22,33
2024-12-23,32
2024-12-24,38
2024-12-25,33
2024-12-26,33
2024-12-27,36
2024-12-28,35
2024-12-29,37
2024-12-30,33
2024-12-31,31
2025-01-01,38
2025-01-02,31
2025-01-03,31
2025-01-04,35
2025-01-05,31
2025-01-06,28
2025-01-07,29
2025-01-08,32
2025-01-09,31
2025-01-10,34
2025-01-11,33
2025-01-12,34
2025-01-13,31
2025-01-14,32
2025-01-15,31
2025-01-16,32
2025-01-17,37
2025-01-18,37
2025-01-19,31
2025-01-20,35
2025-01-21,33
2025-01-22,32
2025-01-23,36
2025-01-24,37
2025-01-25,33
2025-01-26,36
2025-01-27,31
2025-01-28,32
2025-01-29,30
2025-01-30,38
2025-01-31,37
2025-02-01,38
2025-02-02,37
2025-02-03,30
2025-02-04,31
2025-02-05,30
2025-02-06,33
2025-02-07,32
2025-02-08,34
2025-02-09,37
2025-02-10,26
2025-02-11,30
2025-02-12,28
2025-02-13,29
2025-02-14,35
2025-02-15,35
2025-02-16,36
2025-02-17,33
2025-02-18,35
2025-02-19,34
2025-02-20,36
2025-02-21,48
2025-02-22,59
2025-02-23,65
2025-02-24,50
2025-02-25,45
2025-02-26,49
2025-02-27,49
2025-02-28,44
2025-03-01,40
2025-03-02,41
2025-03-03,33
2025-03-04,33
2025-03-05,35
2025-03-06,35
2025-03-07,36
2025-03-08,39
2025-03-09,37
2025-03-10,36
2025-03-11,34
2025-03-12,32
2025-03-13,33
2025-03-14,33
2025-03-15,42
2025-03-16,38
2025-03-17,31
2025-03-18,30
2025-03-19,33
2025-03-20,28
2025-03-21,33
2025-03-22,36
2025-03-23,33
2025-03-24,32
2025-03-25,30
2025-03-26,32
2025-03-27,38
2025-03-28,36
2025-03-29,33
2025-03-30,30
2025-03-31,31
2025-04-01,30
2025-04-02,27
2025-04-03,32
2025-04-04,29
2025-04-05,30
2025-04-06,31
2025-04-07,28
2025-04-08,31
2025-04-09,31
2025-04-10,30
2025-04-11,36
2025-04-12,32
2025-04-13,29
2025-04-14,34
2025-04-15,31
2025-04-16,29
2025-04-17,28
2025-04-18,32
2025-04-19,29
2025-04-20,33
2025-04-21,26
2025-04-22,29
2025-04-23,33
2025-04-24,30
2025-04-25,30
2025-04-26,31
2025-04-27,35
2025-04-28,33
2025-04-29,30
2025-04-30,34
2025-05-01,34
2025-05-02,34
2025-05-03,35
2025-05-04,36
2025-05-05,36
2025-05-06,34
2025-05-07,36
2025-05-08,45
2025-05-09,32
2025-05-10,35
2025-05-11,36
2025-05-12,36
2025-05-13,34
2025-05-14,34
