Time,bank of america
2023-12-22,90
2023-12-23,77
2023-12-24,41
2023-12-25,35
2023-12-26,85
2023-12-27,90
2023-12-28,87
2023-12-29,100
2023-12-30,77
2023-12-31,45
2024-01-01,54
2024-01-02,96
2024-01-03,100
2024-01-04,91
2024-01-05,94
2024-01-06,77
2024-01-07,50
2024-01-08,78
2024-01-09,79
2024-01-10,81
2024-01-11,79
2024-01-12,89
2024-01-13,71
2024-01-14,47
2024-01-15,65
2024-01-16,77
2024-01-17,84
2024-01-18,82
2024-01-19,84
2024-01-20,71
2024-01-21,45
2024-01-22,73
2024-01-23,78
2024-01-24,78
2024-01-25,79
2024-01-26,81
2024-01-27,70
2024-01-28,51
2024-01-29,83
2024-01-30,82
2024-01-31,85
2024-02-01,94
2024-02-02,95
2024-02-03,79
2024-02-04,55
2024-02-05,80
2024-02-06,81
2024-02-07,78
2024-02-08,78
2024-02-09,84
2024-02-10,77
2024-02-11,44
2024-02-12,72
2024-02-13,81
2024-02-14,80
2024-02-15,81
2024-02-16,92
2024-02-17,76
2024-02-18,47
2024-02-19,72
2024-02-20,79
2024-02-21,82
2024-02-22,81
2024-02-23,85
2024-02-24,72
2024-02-25,50
2024-02-26,77
2024-02-27,77
2024-02-28,77
2024-02-29,81
2024-03-01,96
2024-03-02,79
2024-03-03,52
2024-03-04,87
2024-03-05,82
2024-03-06,77
2024-03-07,76
2024-03-08,83
2024-03-09,71
2024-03-10,46
2024-03-11,77
2024-03-12,79
2024-03-13,76
2024-03-14,76
2024-03-15,85
2024-03-16,73
2024-03-17,44
2024-03-18,77
2024-03-19,80
2024-03-20,78
2024-03-21,75
2024-03-22,79
2024-03-23,69
2024-03-24,43
2024-03-25,77
2024-03-26,74
2024-03-27,77
2024-03-28,77
2024-03-29,91
2024-03-30,70
2024-03-31,42
2024-04-01,94
2024-04-02,87
2024-04-03,80
2024-04-04,81
2024-04-05,83
2024-04-06,72
2024-04-07,45
2024-04-08,72
2024-04-09,79
2024-04-10,80
2024-04-11,75
2024-04-12,87
2024-04-13,71
2024-04-14,53
2024-04-15,87
2024-04-16,85
2024-04-17,73
2024-04-18,71
2024-04-19,81
2024-04-20,64
2024-04-21,49
2024-04-22,74
2024-04-23,72
2024-04-24,72
2024-04-25,66
2024-04-26,75
2024-04-27,71
2024-04-28,43
2024-04-29,75
2024-04-30,80
2024-05-01,83
2024-05-02,80
2024-05-03,85
2024-05-04,70
2024-05-05,44
2024-05-06,84
2024-05-07,77
2024-05-08,75
2024-05-09,73
2024-05-10,77
2024-05-11,64
2024-05-12,39
2024-05-13,82
2024-05-14,75
2024-05-15,78
2024-05-16,74
2024-05-17,78
2024-05-18,64
2024-05-19,38
2024-05-20,75
2024-05-21,74
2024-05-22,75
2024-05-23,73
2024-05-24,79
2024-05-25,65
2024-05-26,39
2024-05-27,44
2024-05-28,79
2024-05-29,81
2024-05-30,83
2024-05-31,93
2024-06-01,83
2024-06-02,54
2024-06-03,86
2024-06-04,81
2024-06-05,82
2024-06-06,79
2024-06-07,86
2024-06-08,67
2024-06-09,45
2024-06-10,85
2024-06-11,81
2024-06-12,77
2024-06-13,77
2024-06-14,85
2024-06-15,66
2024-06-16,43
2024-06-17,80
2024-06-18,81
2024-06-19,79
2024-06-20,74
2024-06-21,86
2024-06-22,62
2024-06-23,42
2024-06-24,80
2024-06-25,74
2024-06-26,72
2024-06-27,75
2024-06-28,86
2024-06-29,70
2024-06-30,47
2024-07-01,94
2024-07-02,88
2024-07-03,89
2024-07-04,57
2024-07-05,89
2024-07-06,66
2024-07-07,44
2024-07-08,85
2024-07-09,77
2024-07-10,82
2024-07-11,84
2024-07-12,84
2024-07-13,63
2024-07-14,40
2024-07-15,78
2024-07-16,81
2024-07-17,76
2024-07-18,75
2024-07-19,87
2024-07-20,64
2024-07-21,40
2024-07-22,78
2024-07-23,74
2024-07-24,78
2024-07-25,78
2024-07-26,80
2024-07-27,60
2024-07-28,41
2024-07-29,80
2024-07-30,78
2024-07-31,85
2024-08-01,88
2024-08-02,93
2024-08-03,69
2024-08-04,44
2024-08-05,84
2024-08-06,78
2024-08-07,76
2024-08-08,74
2024-08-09,81
2024-08-10,63
2024-08-11,44
2024-08-12,80
2024-08-13,78
2024-08-14,77
2024-08-15,84
2024-08-16,88
2024-08-17,65
2024-08-18,40
2024-08-19,74
2024-08-20,77
2024-08-21,78
2024-08-22,73
2024-08-23,78
2024-08-24,66
2024-08-25,42
2024-08-26,75
2024-08-27,72
2024-08-28,71
2024-08-29,73
2024-08-30,86
2024-08-31,70
2024-09-01,48
2024-09-02,58
2024-09-03,87
2024-09-04,82
2024-09-05,80
2024-09-06,81
2024-09-07,66
2024-09-08,41
2024-09-09,73
2024-09-10,74
2024-09-11,74
2024-09-12,72
2024-09-13,83
2024-09-14,69
2024-09-15,43
2024-09-16,74
