step,file,overlap_days,valid_ratio_days,overlap_corr,median_ratio_new_over_base,scale_new_to_base,ratio_cv,method
0,gt_the_weather_channel_2022-01-01_2022-09-27.csv,,,,,1.0,,base_chunk
1,gt_the_weather_channel_2022-08-29_2023-05-25.csv,30.0,30.0,0.999211496440626,0.4487847222222222,2.228239845261122,0.04921710723150477,overlap_ratio
2,gt_the_weather_channel_2023-04-26_2024-01-20.csv,30.0,30.0,0.9644872839271329,1.1780598958333333,0.8488532743851893,0.04785788045839928,overlap_ratio
3,gt_the_weather_channel_2023-12-22_2024-09-16.csv,30.0,30.0,0.9997782848825169,1.854473407451923,0.5392366350370138,0.016304246663865284,overlap_ratio
4,gt_the_weather_channel_2024-08-18_2025-05-14.csv,30.0,30.0,0.9969664839704664,0.8784347719509109,1.1383884517448069,0.03248801058364296,overlap_ratio
5,gt_the_weather_channel_2025-04-15_2026-01-09.csv,30.0,30.0,0.9944621498951386,2.3650166937139914,0.42282999636235674,0.025634452948333233,overlap_ratio
6,gt_the_weather_channel_2025-12-11_2026-05-31.csv,30.0,30.0,0.9961216569597547,1.4865819217630802,0.6726840851219312,0.018159999026661856,overlap_ratio
