Time,delta airlines
2025-04-15,65
2025-04-16,66
2025-04-17,63
2025-04-18,61
2025-04-19,54
2025-04-20,57
2025-04-21,74
2025-04-22,70
2025-04-23,63
2025-04-24,61
2025-04-25,57
2025-04-26,53
2025-04-27,64
2025-04-28,61
2025-04-29,65
2025-04-30,63
2025-05-01,66
2025-05-02,61
2025-05-03,55
2025-05-04,66
2025-05-05,67
2025-05-06,69
2025-05-07,70
2025-05-08,64
2025-05-09,65
2025-05-10,57
2025-05-11,57
2025-05-12,70
2025-05-13,70
2025-05-14,69
2025-05-15,67
2025-05-16,67
2025-05-17,66
2025-05-18,69
2025-05-19,70
2025-05-20,71
2025-05-21,68
2025-05-22,68
2025-05-23,62
2025-05-24,53
2025-05-25,60
2025-05-26,70
2025-05-27,75
2025-05-28,72
2025-05-29,65
2025-05-30,62
2025-05-31,58
2025-06-01,59
2025-06-02,69
2025-06-03,72
2025-06-04,68
2025-06-05,63
2025-06-06,65
2025-06-07,62
2025-06-08,66
2025-06-09,72
2025-06-10,72
2025-06-11,71
2025-06-12,67
2025-06-13,62
2025-06-14,56
2025-06-15,61
2025-06-16,69
2025-06-17,69
2025-06-18,69
2025-06-19,69
2025-06-20,64
2025-06-21,52
2025-06-22,61
2025-06-23,66
2025-06-24,69
2025-06-25,68
2025-06-26,68
2025-06-27,72
2025-06-28,78
2025-06-29,69
2025-06-30,71
2025-07-01,74
2025-07-02,70
2025-07-03,65
2025-07-04,58
2025-07-05,53
2025-07-06,69
2025-07-07,75
2025-07-08,77
2025-07-09,74
2025-07-10,75
2025-07-11,69
2025-07-12,63
2025-07-13,72
2025-07-14,81
2025-07-15,77
2025-07-16,70
2025-07-17,75
2025-07-18,69
2025-07-19,69
2025-07-20,76
2025-07-21,76
2025-07-22,76
2025-07-23,75
2025-07-24,71
2025-07-25,68
2025-07-26,63
2025-07-27,71
2025-07-28,87
2025-07-29,90
2025-07-30,74
2025-07-31,82
2025-08-01,100
2025-08-02,70
2025-08-03,61
2025-08-04,63
2025-08-05,73
2025-08-06,74
2025-08-07,68
2025-08-08,67
2025-08-09,60
2025-08-10,67
2025-08-11,74
2025-08-12,71
2025-08-13,72
2025-08-14,75
2025-08-15,63
2025-08-16,63
2025-08-17,68
2025-08-18,71
2025-08-19,72
2025-08-20,66
2025-08-21,69
2025-08-22,63
2025-08-23,58
2025-08-24,62
2025-08-25,64
2025-08-26,66
2025-08-27,72
2025-08-28,91
2025-08-29,79
2025-08-30,68
2025-08-31,56
2025-09-01,66
2025-09-02,68
2025-09-03,73
2025-09-04,72
2025-09-05,60
2025-09-06,56
2025-09-07,62
2025-09-08,61
2025-09-09,61
2025-09-10,62
2025-09-11,57
2025-09-12,56
2025-09-13,50
2025-09-14,55
2025-09-15,67
2025-09-16,83
2025-09-17,75
2025-09-18,67
2025-09-19,63
2025-09-20,58
2025-09-21,57
2025-09-22,67
2025-09-23,67
2025-09-24,61
2025-09-25,65
2025-09-26,56
2025-09-27,53
2025-09-28,56
2025-09-29,62
2025-09-30,64
2025-10-01,60
2025-10-02,63
2025-10-03,55
2025-10-04,51
2025-10-05,56
2025-10-06,62
2025-10-07,63
2025-10-08,66
2025-10-09,63
2025-10-10,57
2025-10-11,52
2025-10-12,55
2025-10-13,67
2025-10-14,68
2025-10-15,65
2025-10-16,58
2025-10-17,58
2025-10-18,49
2025-10-19,67
2025-10-20,97
2025-10-21,60
2025-10-22,55
2025-10-23,59
2025-10-24,56
2025-10-25,47
2025-10-26,55
2025-10-27,59
2025-10-28,59
2025-10-29,58
2025-10-30,57
2025-10-31,51
2025-11-01,49
2025-11-02,54
2025-11-03,59
2025-11-04,59
2025-11-05,61
2025-11-06,77
2025-11-07,68
2025-11-08,59
2025-11-09,66
2025-11-10,66
2025-11-11,62
2025-11-12,56
2025-11-13,55
2025-11-14,49
2025-11-15,49
2025-11-16,52
2025-11-17,56
2025-11-18,57
2025-11-19,59
2025-11-20,57
2025-11-21,54
2025-11-22,47
2025-11-23,48
2025-11-24,57
2025-11-25,57
2025-11-26,53
2025-11-27,43
2025-11-28,53
2025-11-29,55
2025-11-30,59
2025-12-01,80
2025-12-02,83
2025-12-03,62
2025-12-04,55
2025-12-05,57
2025-12-06,51
2025-12-07,57
2025-12-08,60
2025-12-09,55
2025-12-10,55
2025-12-11,55
2025-12-12,49
2025-12-13,51
2025-12-14,56
2025-12-15,62
2025-12-16,54
2025-12-17,55
2025-12-18,48
2025-12-19,54
2025-12-20,55
2025-12-21,51
2025-12-22,57
2025-12-23,53
2025-12-24,50
2025-12-25,42
2025-12-26,49
2025-12-27,65
2025-12-28,68
2025-12-29,70
2025-12-30,68
2025-12-31,58
2026-01-01,54
2026-01-02,62
2026-01-03,66
2026-01-04,71
2026-01-05,73
2026-01-06,78
2026-01-07,72
2026-01-08,69
2026-01-09,61
