Time,delta airlines
2022-08-29,47
2022-08-30,43
2022-08-31,44
2022-09-01,42
2022-09-02,41
2022-09-03,36
2022-09-04,37
2022-09-05,46
2022-09-06,43
2022-09-07,45
2022-09-08,42
2022-09-09,40
2022-09-10,37
2022-09-11,40
2022-09-12,43
2022-09-13,45
2022-09-14,43
2022-09-15,45
2022-09-16,42
2022-09-17,37
2022-09-18,38
2022-09-19,41
2022-09-20,44
2022-09-21,41
2022-09-22,43
2022-09-23,40
2022-09-24,38
2022-09-25,39
2022-09-26,43
2022-09-27,44
2022-09-28,40
2022-09-29,40
2022-09-30,42
2022-10-01,49
2022-10-02,38
2022-10-03,42
2022-10-04,43
2022-10-05,43
2022-10-06,42
2022-10-07,39
2022-10-08,36
2022-10-09,37
2022-10-10,44
2022-10-11,41
2022-10-12,45
2022-10-13,51
2022-10-14,42
2022-10-15,35
2022-10-16,39
2022-10-17,42
2022-10-18,43
2022-10-19,41
2022-10-20,44
2022-10-21,43
2022-10-22,39
2022-10-23,43
2022-10-24,45
2022-10-25,45
2022-10-26,46
2022-10-27,45
2022-10-28,43
2022-10-29,37
2022-10-30,39
2022-10-31,45
2022-11-01,45
2022-11-02,51
2022-11-03,50
2022-11-04,43
2022-11-05,41
2022-11-06,38
2022-11-07,40
2022-11-08,41
2022-11-09,42
2022-11-10,42
2022-11-11,36
2022-11-12,34
2022-11-13,39
2022-11-14,43
2022-11-15,45
2022-11-16,41
2022-11-17,41
2022-11-18,39
2022-11-19,40
2022-11-20,35
2022-11-21,37
2022-11-22,45
2022-11-23,36
2022-11-24,28
2022-11-25,34
2022-11-26,35
2022-11-27,38
2022-11-28,45
2022-11-29,46
2022-11-30,38
2022-12-01,41
2022-12-02,38
2022-12-03,33
2022-12-04,35
2022-12-05,38
2022-12-06,38
2022-12-07,38
2022-12-08,37
2022-12-09,33
2022-12-10,32
2022-12-11,34
2022-12-12,39
2022-12-13,36
2022-12-14,37
2022-12-15,38
2022-12-16,38
2022-12-17,36
2022-12-18,34
2022-12-19,38
2022-12-20,42
2022-12-21,45
2022-12-22,44
2022-12-23,52
2022-12-24,46
2022-12-25,45
2022-12-26,62
2022-12-27,100
2022-12-28,68
2022-12-29,62
2022-12-30,50
2022-12-31,40
2023-01-01,42
2023-01-02,55
2023-01-03,56
2023-01-04,66
2023-01-05,57
2023-01-06,53
2023-01-07,49
2023-01-08,50
2023-01-09,52
2023-01-10,54
2023-01-11,70
2023-01-12,57
2023-01-13,51
2023-01-14,47
2023-01-15,48
2023-01-16,58
2023-01-17,56
2023-01-18,54
2023-01-19,53
2023-01-20,49
2023-01-21,46
2023-01-22,46
2023-01-23,48
2023-01-24,52
2023-01-25,53
2023-01-26,50
2023-01-27,41
2023-01-28,45
2023-01-29,44
2023-01-30,45
2023-01-31,51
2023-02-01,48
2023-02-02,46
2023-02-03,45
2023-02-04,47
2023-02-05,47
2023-02-06,44
2023-02-07,45
2023-02-08,46
2023-02-09,44
2023-02-10,42
2023-02-11,43
2023-02-12,40
2023-02-13,37
2023-02-14,44
2023-02-15,44
2023-02-16,45
2023-02-17,50
2023-02-18,44
2023-02-19,48
2023-02-20,48
2023-02-21,50
2023-02-22,56
2023-02-23,51
2023-02-24,45
2023-02-25,44
2023-02-26,47
2023-02-27,54
2023-02-28,47
2023-03-01,46
2023-03-02,47
2023-03-03,41
2023-03-04,49
2023-03-05,47
2023-03-06,46
2023-03-07,57
2023-03-08,47
2023-03-09,45
2023-03-10,46
2023-03-11,45
2023-03-12,46
2023-03-13,44
2023-03-14,46
2023-03-15,47
2023-03-16,44
2023-03-17,42
2023-03-18,43
2023-03-19,52
2023-03-20,51
2023-03-21,50
2023-03-22,46
2023-03-23,41
2023-03-24,44
2023-03-25,44
2023-03-26,48
2023-03-27,50
2023-03-28,48
2023-03-29,44
2023-03-30,44
2023-03-31,43
2023-04-01,46
2023-04-02,46
2023-04-03,46
2023-04-04,44
2023-04-05,43
2023-04-06,47
2023-04-07,42
2023-04-08,40
2023-04-09,40
2023-04-10,49
2023-04-11,49
2023-04-12,46
2023-04-13,43
2023-04-14,46
2023-04-15,41
2023-04-16,45
2023-04-17,45
2023-04-18,46
2023-04-19,45
2023-04-20,45
2023-04-21,44
2023-04-22,41
2023-04-23,46
2023-04-24,45
2023-04-25,46
2023-04-26,47
2023-04-27,46
2023-04-28,47
2023-04-29,44
2023-04-30,44
2023-05-01,43
2023-05-02,46
2023-05-03,44
2023-05-04,47
2023-05-05,41
2023-05-06,36
2023-05-07,41
2023-05-08,48
2023-05-09,47
2023-05-10,43
2023-05-11,47
2023-05-12,42
2023-05-13,40
2023-05-14,40
2023-05-15,46
2023-05-16,49
2023-05-17,48
2023-05-18,46
2023-05-19,44
2023-05-20,41
2023-05-21,43
2023-05-22,44
2023-05-23,45
2023-05-24,44
2023-05-25,46
