Time,florida_gators_basketball
2022-01-01,21.0
2022-01-02,15.0
2022-01-03,9.0
2022-01-04,11.0
2022-01-05,24.0
2022-01-06,35.0
2022-01-07,19.0
2022-01-08,14.0
2022-01-09,32.0
2022-01-10,10.0
2022-01-11,15.0
2022-01-12,13.0
2022-01-13,37.0
2022-01-14,16.0
2022-01-15,33.0
2022-01-16,18.0
2022-01-17,8.0
2022-01-18,11.0
2022-01-19,24.0
2022-01-20,45.0
2022-01-21,27.0
2022-01-22,50.0
2022-01-23,25.0
2022-01-24,35.0
2022-01-25,43.0
2022-01-26,26.0
2022-01-27,42.0
2022-01-28,14.0
2022-01-29,69.0
2022-01-30,35.0
2022-01-31,9.0
2022-02-01,17.0
2022-02-02,54.0
2022-02-03,19.0
2022-02-04,19.0
2022-02-05,53.0
2022-02-06,39.0
2022-02-07,15.0
2022-02-08,19.0
2022-02-09,28.0
2022-02-10,29.0
2022-02-11,27.0
2022-02-12,43.0
2022-02-13,25.0
2022-02-14,6.0
2022-02-15,22.0
2022-02-16,35.0
2022-02-17,20.0
2022-02-18,17.0
2022-02-19,76.0
2022-02-20,45.0
2022-02-21,16.0
2022-02-22,29.0
2022-02-23,61.0
2022-02-24,11.0
2022-02-25,11.0
2022-02-26,56.0
2022-02-27,28.0
2022-02-28,13.0
2022-03-01,21.0
2022-03-02,50.0
2022-03-03,25.0
2022-03-04,20.0
2022-03-05,74.0
2022-03-06,33.0
2022-03-07,16.0
2022-03-08,18.0
2022-03-09,23.0
2022-03-10,84.0
2022-03-11,32.0
2022-03-12,22.0
2022-03-13,49.0
2022-03-14,62.0
2022-03-15,27.0
2022-03-16,28.0
2022-03-17,80.0
2022-03-18,68.0
2022-03-19,73.0
2022-03-20,100.0
2022-03-21,26.0
2022-03-22,16.0
2022-03-23,14.0
2022-03-24,15.0
2022-03-25,12.0
2022-03-26,12.0
2022-03-27,11.0
2022-03-28,10.0
2022-03-29,11.0
2022-03-30,9.0
2022-03-31,7.0
2022-04-01,9.0
2022-04-02,11.0
2022-04-03,12.0
2022-04-04,9.0
2022-04-05,15.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,7.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,7.0
2022-04-13,0.0
2022-04-14,6.0
2022-04-15,0.0
2022-04-16,6.0
2022-04-17,14.0
2022-04-18,13.0
2022-04-19,0.0
2022-04-20,6.0
2022-04-21,7.0
2022-04-22,8.0
2022-04-23,8.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,7.0
2022-04-27,7.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,6.0
2022-05-01,7.0
2022-05-02,8.0
2022-05-03,5.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,7.0
2022-05-09,0.0
2022-05-10,15.0
2022-05-11,0.0
2022-05-12,9.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,10.0
2022-05-20,7.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,9.0
2022-05-25,8.0
2022-05-26,7.0
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,9.0
2022-05-31,0.0
2022-06-01,6.0
2022-06-02,0.0
2022-06-03,19.0
2022-06-04,0.0
2022-06-05,8.0
2022-06-06,7.0
2022-06-07,7.0
2022-06-08,0.0
2022-06-09,8.0
2022-06-10,7.0
2022-06-11,7.0
2022-06-12,0.0
2022-06-13,0.0
2022-06-14,6.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,9.0
2022-06-18,0.0
