Time,ebay
2025-12-11,78
2025-12-12,73
2025-12-13,82
2025-12-14,75
2025-12-15,75
2025-12-16,72
2025-12-17,71
2025-12-18,71
2025-12-19,78
2025-12-20,73
2025-12-21,71
2025-12-22,69
2025-12-23,68
2025-12-24,67
2025-12-25,68
2025-12-26,80
2025-12-27,83
2025-12-28,76
2025-12-29,80
2025-12-30,79
2025-12-31,77
2026-01-01,69
2026-01-02,77
2026-01-03,79
2026-01-04,78
2026-01-05,73
2026-01-06,72
2026-01-07,70
2026-01-08,69
2026-01-09,71
2026-01-10,77
2026-01-11,73
2026-01-12,72
2026-01-13,71
2026-01-14,69
2026-01-15,68
2026-01-16,72
2026-01-17,76
2026-01-18,77
2026-01-19,75
2026-01-20,70
2026-01-21,71
2026-01-22,68
2026-01-23,68
2026-01-24,72
2026-01-25,69
2026-01-26,72
2026-01-27,71
2026-01-28,68
2026-01-29,72
2026-01-30,70
2026-01-31,76
2026-02-01,75
2026-02-02,67
2026-02-03,68
2026-02-04,69
2026-02-05,69
2026-02-06,66
2026-02-07,71
2026-02-08,67
2026-02-09,57
2026-02-10,64
2026-02-11,71
2026-02-12,64
2026-02-13,61
2026-02-14,67
2026-02-15,73
2026-02-16,73
2026-02-17,68
2026-02-18,68
2026-02-19,70
2026-02-20,67
2026-02-21,75
2026-02-22,72
2026-02-23,72
2026-02-24,71
2026-02-25,68
2026-02-26,70
2026-02-27,68
2026-02-28,74
2026-03-01,74
2026-03-02,77
2026-03-03,78
2026-03-04,73
2026-03-05,74
2026-03-06,75
2026-03-07,81
2026-03-08,79
2026-03-09,76
2026-03-10,75
2026-03-11,75
2026-03-12,73
2026-03-13,73
2026-03-14,79
2026-03-15,84
2026-03-16,76
2026-03-17,74
2026-03-18,76
2026-03-19,73
2026-03-20,72
2026-03-21,76
2026-03-22,80
2026-03-23,81
2026-03-24,74
2026-03-25,90
2026-03-26,79
2026-03-27,85
2026-03-28,95
2026-03-29,100
2026-03-30,94
2026-03-31,77
2026-04-01,70
2026-04-02,75
2026-04-03,74
2026-04-04,78
2026-04-05,76
2026-04-06,75
2026-04-07,75
2026-04-08,76
2026-04-09,75
2026-04-10,72
2026-04-11,79
2026-04-12,76
2026-04-13,73
2026-04-14,72
2026-04-15,71
2026-04-16,71
2026-04-17,74
2026-04-18,76
2026-04-19,77
2026-04-20,68
2026-04-21,73
2026-04-22,70
2026-04-23,71
2026-04-24,66
2026-04-25,70
2026-04-26,82
2026-04-27,96
2026-04-28,75
2026-04-29,71
2026-04-30,71
2026-05-01,69
2026-05-02,76
2026-05-03,78
2026-05-04,85
2026-05-05,76
2026-05-06,74
2026-05-07,71
2026-05-08,69
2026-05-09,73
2026-05-10,70
2026-05-11,70
2026-05-12,77
2026-05-13,73
2026-05-14,73
2026-05-15,69
2026-05-16,76
2026-05-17,76
2026-05-18,73
2026-05-19,68
2026-05-20,70
2026-05-21,71
2026-05-22,72
2026-05-23,81
2026-05-24,75
2026-05-25,76
2026-05-26,77
2026-05-27,72
2026-05-28,75
2026-05-29,75
2026-05-30,76
2026-05-31,76
