Time,texas tech basketball
2023-04-26,4
2023-04-27,5
2023-04-28,5
2023-04-29,4
2023-04-30,4
2023-05-01,4
2023-05-02,4
2023-05-03,4
2023-05-04,5
2023-05-05,5
2023-05-06,5
2023-05-07,3
2023-05-08,4
2023-05-09,3
2023-05-10,6
2023-05-11,7
2023-05-12,6
2023-05-13,5
2023-05-14,4
2023-05-15,4
2023-05-16,4
2023-05-17,5
2023-05-18,4
2023-05-19,3
2023-05-20,5
2023-05-21,5
2023-05-22,3
2023-05-23,4
2023-05-24,4
2023-05-25,4
2023-05-26,2
2023-05-27,5
2023-05-28,0
2023-05-29,3
2023-05-30,4
2023-05-31,3
2023-06-01,2
2023-06-02,4
2023-06-03,5
2023-06-04,5
2023-06-05,5
2023-06-06,3
2023-06-07,3
2023-06-08,4
2023-06-09,4
2023-06-10,4
2023-06-11,0
2023-06-12,4
2023-06-13,3
2023-06-14,3
2023-06-15,4
2023-06-16,2
2023-06-17,3
2023-06-18,3
2023-06-19,3
2023-06-20,4
2023-06-21,2
2023-06-22,4
2023-06-23,4
2023-06-24,4
2023-06-25,3
2023-06-26,4
2023-06-27,4
2023-06-28,2
2023-06-29,3
2023-06-30,3
2023-07-01,3
2023-07-02,4
2023-07-03,2
2023-07-04,4
2023-07-05,5
2023-07-06,2
2023-07-07,4
2023-07-08,0
2023-07-09,0
2023-07-10,3
2023-07-11,0
2023-07-12,3
2023-07-13,0
2023-07-14,2
2023-07-15,0
2023-07-16,0
2023-07-17,2
2023-07-18,4
2023-07-19,5
2023-07-20,4
2023-07-21,5
2023-07-22,3
2023-07-23,0
2023-07-24,0
2023-07-25,0
2023-07-26,2
2023-07-27,0
2023-07-28,3
2023-07-29,0
2023-07-30,4
2023-07-31,2
2023-08-01,2
2023-08-02,2
2023-08-03,3
2023-08-04,3
2023-08-05,2
2023-08-06,3
2023-08-07,0
2023-08-08,3
2023-08-09,2
2023-08-10,0
2023-08-11,2
2023-08-12,0
2023-08-13,0
2023-08-14,0
2023-08-15,2
2023-08-16,0
2023-08-17,0
2023-08-18,2
2023-08-19,0
2023-08-20,0
2023-08-21,0
2023-08-22,3
2023-08-23,0
2023-08-24,0
2023-08-25,0
2023-08-26,3
2023-08-27,0
2023-08-28,2
2023-08-29,2
2023-08-30,2
2023-08-31,0
2023-09-01,0
2023-09-02,4
2023-09-03,6
2023-09-04,0
2023-09-05,3
2023-09-06,3
2023-09-07,0
2023-09-08,2
2023-09-09,0
2023-09-10,4
2023-09-11,0
2023-09-12,0
2023-09-13,2
2023-09-14,0
2023-09-15,0
2023-09-16,3
2023-09-17,3
2023-09-18,0
2023-09-19,2
2023-09-20,0
2023-09-21,2
2023-09-22,0
2023-09-23,5
2023-09-24,0
2023-09-25,0
2023-09-26,2
2023-09-27,4
2023-09-28,2
2023-09-29,2
2023-09-30,5
2023-10-01,2
2023-10-02,2
2023-10-03,3
2023-10-04,3
2023-10-05,3
2023-10-06,2
2023-10-07,5
2023-10-08,4
2023-10-09,0
2023-10-10,2
2023-10-11,3
2023-10-12,3
2023-10-13,0
2023-10-14,3
2023-10-15,5
2023-10-16,2
2023-10-17,2
2023-10-18,2
2023-10-19,2
2023-10-20,2
2023-10-21,3
2023-10-22,3
2023-10-23,3
2023-10-24,3
2023-10-25,3
2023-10-26,3
2023-10-27,4
2023-10-28,5
2023-10-29,14
2023-10-30,16
2023-10-31,5
2023-11-01,5
2023-11-02,9
2023-11-03,8
2023-11-04,7
2023-11-05,5
2023-11-06,7
2023-11-07,15
2023-11-08,28
2023-11-09,47
2023-11-10,12
2023-11-11,25
2023-11-12,28
2023-11-13,13
2023-11-14,12
2023-11-15,12
2023-11-16,17
2023-11-17,31
2023-11-18,17
2023-11-19,17
2023-11-20,12
2023-11-21,13
2023-11-22,50
2023-11-23,63
2023-11-24,45
2023-11-25,51
2023-11-26,16
2023-11-27,9
2023-11-28,10
2023-11-29,12
2023-11-30,32
2023-12-01,36
2023-12-02,15
2023-12-03,10
2023-12-04,8
2023-12-05,10
2023-12-06,17
2023-12-07,27
2023-12-08,10
2023-12-09,14
2023-12-10,9
2023-12-11,9
2023-12-12,14
2023-12-13,36
2023-12-14,7
2023-12-15,9
2023-12-16,22
2023-12-17,45
2023-12-18,10
2023-12-19,8
2023-12-20,15
2023-12-21,35
2023-12-22,11
2023-12-23,12
2023-12-24,7
2023-12-25,6
2023-12-26,6
2023-12-27,7
2023-12-28,15
2023-12-29,27
2023-12-30,14
2023-12-31,9
2024-01-01,30
2024-01-02,13
2024-01-03,13
2024-01-04,19
2024-01-05,17
2024-01-06,43
2024-01-07,100
2024-01-08,16
2024-01-09,29
2024-01-10,60
2024-01-11,21
2024-01-12,14
2024-01-13,69
2024-01-14,35
2024-01-15,17
2024-01-16,17
2024-01-17,39
2024-01-18,78
2024-01-19,13
2024-01-20,55
