Time,texas tech basketball
2022-08-29,2
2022-08-30,2
2022-08-31,2
2022-09-01,3
2022-09-02,0
2022-09-03,3
2022-09-04,3
2022-09-05,0
2022-09-06,2
2022-09-07,2
2022-09-08,0
2022-09-09,3
2022-09-10,5
2022-09-11,3
2022-09-12,4
2022-09-13,2
2022-09-14,2
2022-09-15,2
2022-09-16,2
2022-09-17,3
2022-09-18,2
2022-09-19,2
2022-09-20,3
2022-09-21,2
2022-09-22,3
2022-09-23,4
2022-09-24,5
2022-09-25,4
2022-09-26,3
2022-09-27,2
2022-09-28,3
2022-09-29,2
2022-09-30,2
2022-10-01,4
2022-10-02,0
2022-10-03,4
2022-10-04,2
2022-10-05,2
2022-10-06,2
2022-10-07,3
2022-10-08,4
2022-10-09,3
2022-10-10,3
2022-10-11,2
2022-10-12,3
2022-10-13,3
2022-10-14,3
2022-10-15,3
2022-10-16,3
2022-10-17,4
2022-10-18,4
2022-10-19,5
2022-10-20,3
2022-10-21,2
2022-10-22,4
2022-10-23,2
2022-10-24,4
2022-10-25,3
2022-10-26,3
2022-10-27,4
2022-10-28,3
2022-10-29,4
2022-10-30,5
2022-10-31,4
2022-11-01,5
2022-11-02,6
2022-11-03,4
2022-11-04,5
2022-11-05,6
2022-11-06,6
2022-11-07,16
2022-11-08,42
2022-11-09,10
2022-11-10,16
2022-11-11,33
2022-11-12,15
2022-11-13,15
2022-11-14,17
2022-11-15,36
2022-11-16,17
2022-11-17,19
2022-11-18,16
2022-11-19,16
2022-11-20,11
2022-11-21,45
2022-11-22,47
2022-11-23,62
2022-11-24,19
2022-11-25,13
2022-11-26,16
2022-11-27,16
2022-11-28,11
2022-11-29,10
2022-11-30,16
2022-12-01,37
2022-12-02,13
2022-12-03,11
2022-12-04,13
2022-12-05,11
2022-12-06,14
2022-12-07,20
2022-12-08,36
2022-12-09,9
2022-12-10,14
2022-12-11,10
2022-12-12,13
2022-12-13,23
2022-12-14,34
2022-12-15,17
2022-12-16,11
2022-12-17,39
2022-12-18,15
2022-12-19,11
2022-12-20,12
2022-12-21,23
2022-12-22,14
2022-12-23,8
2022-12-24,9
2022-12-25,7
2022-12-26,10
2022-12-27,21
2022-12-28,39
2022-12-29,30
2022-12-30,14
2022-12-31,52
2023-01-01,12
2023-01-02,10
2023-01-03,26
2023-01-04,74
2023-01-05,15
2023-01-06,12
2023-01-07,37
2023-01-08,58
2023-01-09,13
2023-01-10,22
2023-01-11,47
2023-01-12,17
2023-01-13,12
2023-01-14,30
2023-01-15,71
2023-01-16,11
2023-01-17,22
2023-01-18,50
2023-01-19,20
2023-01-20,12
2023-01-21,59
2023-01-22,16
2023-01-23,10
2023-01-24,12
2023-01-25,30
2023-01-26,47
2023-01-27,10
2023-01-28,63
2023-01-29,21
2023-01-30,26
2023-01-31,88
2023-02-01,16
2023-02-02,15
2023-02-03,11
2023-02-04,53
2023-02-05,20
2023-02-06,10
2023-02-07,11
2023-02-08,18
2023-02-09,40
2023-02-10,8
2023-02-11,39
2023-02-12,59
2023-02-13,34
2023-02-14,100
2023-02-15,17
2023-02-16,15
2023-02-17,16
2023-02-18,88
2023-02-19,30
2023-02-20,18
2023-02-21,34
2023-02-22,68
2023-02-23,24
2023-02-24,19
2023-02-25,92
2023-02-26,19
2023-02-27,13
2023-02-28,24
2023-03-01,58
2023-03-02,16
2023-03-03,12
2023-03-04,53
2023-03-05,68
2023-03-06,39
2023-03-07,32
2023-03-08,42
2023-03-09,92
2023-03-10,29
2023-03-11,28
2023-03-12,23
2023-03-13,23
2023-03-14,17
2023-03-15,17
2023-03-16,24
2023-03-17,24
2023-03-18,19
2023-03-19,20
2023-03-20,20
2023-03-21,22
2023-03-22,14
2023-03-23,12
2023-03-24,19
2023-03-25,33
2023-03-26,19
2023-03-27,13
2023-03-28,10
2023-03-29,10
2023-03-30,6
2023-03-31,20
2023-04-01,16
2023-04-02,9
2023-04-03,10
2023-04-04,9
2023-04-05,7
2023-04-06,5
2023-04-07,6
2023-04-08,7
2023-04-09,5
2023-04-10,5
2023-04-11,3
2023-04-12,7
2023-04-13,5
2023-04-14,4
2023-04-15,7
2023-04-16,5
2023-04-17,5
2023-04-18,6
2023-04-19,6
2023-04-20,5
2023-04-21,7
2023-04-22,5
2023-04-23,4
2023-04-24,5
2023-04-25,3
2023-04-26,3
2023-04-27,4
2023-04-28,4
2023-04-29,3
2023-04-30,3
2023-05-01,4
2023-05-02,4
2023-05-03,3
2023-05-04,4
2023-05-05,4
2023-05-06,4
2023-05-07,3
2023-05-08,4
2023-05-09,3
2023-05-10,5
2023-05-11,6
2023-05-12,5
2023-05-13,4
2023-05-14,4
2023-05-15,4
2023-05-16,3
2023-05-17,4
2023-05-18,3
2023-05-19,3
2023-05-20,4
2023-05-21,4
2023-05-22,3
2023-05-23,4
2023-05-24,4
2023-05-25,3
