Time,lightyear
2023-04-26,50
2023-04-27,52
2023-04-28,50
2023-04-29,56
2023-04-30,59
2023-05-01,53
2023-05-02,50
2023-05-03,41
2023-05-04,50
2023-05-05,53
2023-05-06,53
2023-05-07,56
2023-05-08,52
2023-05-09,48
2023-05-10,53
2023-05-11,45
2023-05-12,62
2023-05-13,62
2023-05-14,69
2023-05-15,56
2023-05-16,61
2023-05-17,54
2023-05-18,52
2023-05-19,54
2023-05-20,54
2023-05-21,60
2023-05-22,55
2023-05-23,50
2023-05-24,49
2023-05-25,53
2023-05-26,44
2023-05-27,47
2023-05-28,66
2023-05-29,77
2023-05-30,57
2023-05-31,55
2023-06-01,50
2023-06-02,54
2023-06-03,69
2023-06-04,73
2023-06-05,55
2023-06-06,53
2023-06-07,56
2023-06-08,59
2023-06-09,59
2023-06-10,62
2023-06-11,59
2023-06-12,50
2023-06-13,53
2023-06-14,49
2023-06-15,56
2023-06-16,47
2023-06-17,63
2023-06-18,61
2023-06-19,70
2023-06-20,59
2023-06-21,52
2023-06-22,61
2023-06-23,57
2023-06-24,61
2023-06-25,63
2023-06-26,45
2023-06-27,63
2023-06-28,46
2023-06-29,58
2023-06-30,52
2023-07-01,63
2023-07-02,72
2023-07-03,70
2023-07-04,58
2023-07-05,46
2023-07-06,44
2023-07-07,53
2023-07-08,65
2023-07-09,65
2023-07-10,44
2023-07-11,50
2023-07-12,52
2023-07-13,52
2023-07-14,58
2023-07-15,62
2023-07-16,60
2023-07-17,40
2023-07-18,47
2023-07-19,51
2023-07-20,55
2023-07-21,52
2023-07-22,54
2023-07-23,71
2023-07-24,55
2023-07-25,45
2023-07-26,42
2023-07-27,51
2023-07-28,50
2023-07-29,53
2023-07-30,61
2023-07-31,46
2023-08-01,50
2023-08-02,46
2023-08-03,49
2023-08-04,58
2023-08-05,62
2023-08-06,61
2023-08-07,52
2023-08-08,53
2023-08-09,49
2023-08-10,42
2023-08-11,50
2023-08-12,54
2023-08-13,65
2023-08-14,51
2023-08-15,51
2023-08-16,51
2023-08-17,55
2023-08-18,50
2023-08-19,57
2023-08-20,61
2023-08-21,46
2023-08-22,46
2023-08-23,48
2023-08-24,50
2023-08-25,50
2023-08-26,56
2023-08-27,52
2023-08-28,40
2023-08-29,44
2023-08-30,48
2023-08-31,50
2023-09-01,50
2023-09-02,63
2023-09-03,71
2023-09-04,65
2023-09-05,56
2023-09-06,56
2023-09-07,59
2023-09-08,54
2023-09-09,55
2023-09-10,55
2023-09-11,54
2023-09-12,51
2023-09-13,60
2023-09-14,55
2023-09-15,59
2023-09-16,61
2023-09-17,67
2023-09-18,56
2023-09-19,59
2023-09-20,58
2023-09-21,67
2023-09-22,62
2023-09-23,71
2023-09-24,69
2023-09-25,53
2023-09-26,57
2023-09-27,60
2023-09-28,58
2023-09-29,59
2023-09-30,69
2023-10-01,87
2023-10-02,63
2023-10-03,64
2023-10-04,63
2023-10-05,71
2023-10-06,63
2023-10-07,74
2023-10-08,74
2023-10-09,65
2023-10-10,66
2023-10-11,80
2023-10-12,65
2023-10-13,61
2023-10-14,79
2023-10-15,85
2023-10-16,76
2023-10-17,73
2023-10-18,73
2023-10-19,76
2023-10-20,70
2023-10-21,81
2023-10-22,82
2023-10-23,74
2023-10-24,76
2023-10-25,77
2023-10-26,83
2023-10-27,81
2023-10-28,100
2023-10-29,82
2023-10-30,70
2023-10-31,97
2023-11-01,70
2023-11-02,47
2023-11-03,49
2023-11-04,56
2023-11-05,60
2023-11-06,45
2023-11-07,51
2023-11-08,49
2023-11-09,44
2023-11-10,57
2023-11-11,62
2023-11-12,62
2023-11-13,48
2023-11-14,46
2023-11-15,50
2023-11-16,46
2023-11-17,48
2023-11-18,59
2023-11-19,57
2023-11-20,52
2023-11-21,50
2023-11-22,47
2023-11-23,56
2023-11-24,66
2023-11-25,68
2023-11-26,65
2023-11-27,56
2023-11-28,54
2023-11-29,46
2023-11-30,51
2023-12-01,45
2023-12-02,54
2023-12-03,53
2023-12-04,55
2023-12-05,59
2023-12-06,64
2023-12-07,54
2023-12-08,49
2023-12-09,60
2023-12-10,64
2023-12-11,60
2023-12-12,54
2023-12-13,55
2023-12-14,53
2023-12-15,47
2023-12-16,61
2023-12-17,60
2023-12-18,47
2023-12-19,48
2023-12-20,55
2023-12-21,53
2023-12-22,53
2023-12-23,54
2023-12-24,58
2023-12-25,78
2023-12-26,60
2023-12-27,57
2023-12-28,54
2023-12-29,50
2023-12-30,48
2023-12-31,55
2024-01-01,54
2024-01-02,46
2024-01-03,42
2024-01-04,48
2024-01-05,47
2024-01-06,56
2024-01-07,54
2024-01-08,43
2024-01-09,42
2024-01-10,39
2024-01-11,39
2024-01-12,46
2024-01-13,53
2024-01-14,52
2024-01-15,38
2024-01-16,39
2024-01-17,44
2024-01-18,43
2024-01-19,44
2024-01-20,56
