Time,the boys
2022-08-29,57
2022-08-30,56
2022-08-31,63
2022-09-01,55
2022-09-02,58
2022-09-03,60
2022-09-04,63
2022-09-05,70
2022-09-06,56
2022-09-07,55
2022-09-08,51
2022-09-09,48
2022-09-10,57
2022-09-11,62
2022-09-12,52
2022-09-13,49
2022-09-14,50
2022-09-15,50
2022-09-16,54
2022-09-17,60
2022-09-18,59
2022-09-19,49
2022-09-20,50
2022-09-21,54
2022-09-22,52
2022-09-23,57
2022-09-24,59
2022-09-25,62
2022-09-26,52
2022-09-27,52
2022-09-28,51
2022-09-29,53
2022-09-30,53
2022-10-01,55
2022-10-02,55
2022-10-03,49
2022-10-04,51
2022-10-05,50
2022-10-06,53
2022-10-07,49
2022-10-08,50
2022-10-09,55
2022-10-10,53
2022-10-11,54
2022-10-12,52
2022-10-13,51
2022-10-14,51
2022-10-15,49
2022-10-16,51
2022-10-17,49
2022-10-18,48
2022-10-19,51
2022-10-20,48
2022-10-21,50
2022-10-22,54
2022-10-23,55
2022-10-24,50
2022-10-25,51
2022-10-26,50
2022-10-27,50
2022-10-28,49
2022-10-29,53
2022-10-30,51
2022-10-31,48
2022-11-01,52
2022-11-02,48
2022-11-03,52
2022-11-04,49
2022-11-05,59
2022-11-06,57
2022-11-07,48
2022-11-08,49
2022-11-09,46
2022-11-10,46
2022-11-11,47
2022-11-12,46
2022-11-13,51
2022-11-14,44
2022-11-15,47
2022-11-16,45
2022-11-17,51
2022-11-18,47
2022-11-19,47
2022-11-20,50
2022-11-21,42
2022-11-22,43
2022-11-23,46
2022-11-24,43
2022-11-25,44
2022-11-26,43
2022-11-27,48
2022-11-28,45
2022-11-29,43
2022-11-30,44
2022-12-01,45
2022-12-02,50
2022-12-03,52
2022-12-04,51
2022-12-05,55
2022-12-06,49
2022-12-07,52
2022-12-08,49
2022-12-09,53
2022-12-10,49
2022-12-11,54
2022-12-12,52
2022-12-13,47
2022-12-14,49
2022-12-15,55
2022-12-16,49
2022-12-17,50
2022-12-18,51
2022-12-19,49
2022-12-20,48
2022-12-21,47
2022-12-22,43
2022-12-23,45
2022-12-24,45
2022-12-25,46
2022-12-26,44
2022-12-27,45
2022-12-28,46
2022-12-29,45
2022-12-30,45
2022-12-31,49
2023-01-01,47
2023-01-02,47
2023-01-03,42
2023-01-04,44
2023-01-05,45
2023-01-06,47
2023-01-07,49
2023-01-08,48
2023-01-09,45
2023-01-10,46
2023-01-11,44
2023-01-12,44
2023-01-13,48
2023-01-14,51
2023-01-15,49
2023-01-16,49
2023-01-17,45
2023-01-18,45
2023-01-19,49
2023-01-20,51
2023-01-21,51
2023-01-22,50
2023-01-23,49
2023-01-24,50
2023-01-25,47
2023-01-26,47
2023-01-27,47
2023-01-28,55
2023-01-29,52
2023-01-30,48
2023-01-31,48
2023-02-01,44
2023-02-02,46
2023-02-03,51
2023-02-04,55
2023-02-05,53
2023-02-06,49
2023-02-07,48
2023-02-08,48
2023-02-09,48
2023-02-10,52
2023-02-11,51
2023-02-12,52
2023-02-13,49
2023-02-14,56
2023-02-15,48
2023-02-16,50
2023-02-17,47
2023-02-18,47
2023-02-19,51
2023-02-20,47
2023-02-21,48
2023-02-22,47
2023-02-23,47
2023-02-24,48
2023-02-25,49
2023-02-26,66
2023-02-27,47
2023-02-28,47
2023-03-01,46
2023-03-02,47
2023-03-03,50
2023-03-04,52
2023-03-05,53
2023-03-06,47
2023-03-07,48
2023-03-08,54
2023-03-09,51
2023-03-10,51
2023-03-11,56
2023-03-12,57
2023-03-13,48
2023-03-14,52
2023-03-15,51
2023-03-16,50
2023-03-17,51
2023-03-18,52
2023-03-19,60
2023-03-20,53
2023-03-21,49
2023-03-22,50
2023-03-23,50
2023-03-24,54
2023-03-25,51
2023-03-26,56
2023-03-27,51
2023-03-28,49
2023-03-29,46
2023-03-30,46
2023-03-31,46
2023-04-01,47
2023-04-02,52
2023-04-03,48
2023-04-04,45
2023-04-05,43
2023-04-06,47
2023-04-07,43
2023-04-08,47
2023-04-09,46
2023-04-10,100
2023-04-11,50
2023-04-12,49
2023-04-13,47
2023-04-14,50
2023-04-15,49
2023-04-16,52
2023-04-17,45
2023-04-18,57
2023-04-19,45
2023-04-20,45
2023-04-21,47
2023-04-22,47
2023-04-23,48
2023-04-24,47
2023-04-25,48
2023-04-26,49
2023-04-27,51
2023-04-28,45
2023-04-29,49
2023-04-30,50
2023-05-01,48
2023-05-02,50
2023-05-03,48
2023-05-04,48
2023-05-05,52
2023-05-06,50
2023-05-07,48
2023-05-08,51
2023-05-09,48
2023-05-10,45
2023-05-11,47
2023-05-12,47
2023-05-13,47
2023-05-14,48
2023-05-15,49
2023-05-16,48
2023-05-17,48
2023-05-18,53
2023-05-19,56
2023-05-20,63
2023-05-21,61
2023-05-22,57
2023-05-23,51
2023-05-24,52
2023-05-25,49
