Time,the boys
2022-01-01,16
2022-01-02,17
2022-01-03,20
2022-01-04,17
2022-01-05,17
2022-01-06,13
2022-01-07,18
2022-01-08,21
2022-01-09,20
2022-01-10,17
2022-01-11,16
2022-01-12,16
2022-01-13,19
2022-01-14,14
2022-01-15,18
2022-01-16,18
2022-01-17,16
2022-01-18,14
2022-01-19,15
2022-01-20,17
2022-01-21,16
2022-01-22,18
2022-01-23,18
2022-01-24,19
2022-01-25,14
2022-01-26,14
2022-01-27,15
2022-01-28,16
2022-01-29,20
2022-01-30,19
2022-01-31,15
2022-02-01,15
2022-02-02,16
2022-02-03,17
2022-02-04,16
2022-02-05,18
2022-02-06,19
2022-02-07,16
2022-02-08,16
2022-02-09,16
2022-02-10,13
2022-02-11,16
2022-02-12,18
2022-02-13,16
2022-02-14,14
2022-02-15,16
2022-02-16,16
2022-02-17,16
2022-02-18,16
2022-02-19,17
2022-02-20,19
2022-02-21,15
2022-02-22,15
2022-02-23,16
2022-02-24,15
2022-02-25,14
2022-02-26,16
2022-02-27,17
2022-02-28,15
2022-03-01,16
2022-03-02,16
2022-03-03,17
2022-03-04,19
2022-03-05,21
2022-03-06,20
2022-03-07,20
2022-03-08,19
2022-03-09,18
2022-03-10,18
2022-03-11,19
2022-03-12,24
2022-03-13,27
2022-03-14,19
2022-03-15,19
2022-03-16,17
2022-03-17,18
2022-03-18,19
2022-03-19,20
2022-03-20,20
2022-03-21,16
2022-03-22,17
2022-03-23,16
2022-03-24,18
2022-03-25,18
2022-03-26,20
2022-03-27,19
2022-03-28,17
2022-03-29,17
2022-03-30,16
2022-03-31,18
2022-04-01,16
2022-04-02,17
2022-04-03,18
2022-04-04,17
2022-04-05,16
2022-04-06,16
2022-04-07,16
2022-04-08,17
2022-04-09,16
2022-04-10,18
2022-04-11,18
2022-04-12,17
2022-04-13,16
2022-04-14,16
2022-04-15,15
2022-04-16,17
2022-04-17,17
2022-04-18,16
2022-04-19,17
2022-04-20,17
2022-04-21,15
2022-04-22,16
2022-04-23,17
2022-04-24,17
2022-04-25,18
2022-04-26,17
2022-04-27,16
2022-04-28,17
2022-04-29,17
2022-04-30,16
2022-05-01,16
2022-05-02,18
2022-05-03,15
2022-05-04,15
2022-05-05,18
2022-05-06,17
2022-05-07,18
2022-05-08,17
2022-05-09,17
2022-05-10,16
2022-05-11,17
2022-05-12,17
2022-05-13,17
2022-05-14,19
2022-05-15,18
2022-05-16,20
2022-05-17,23
2022-05-18,20
2022-05-19,20
2022-05-20,20
2022-05-21,21
2022-05-22,19
2022-05-23,19
2022-05-24,21
2022-05-25,18
2022-05-26,20
2022-05-27,20
2022-05-28,21
2022-05-29,24
2022-05-30,23
2022-05-31,24
2022-06-01,25
2022-06-02,33
2022-06-03,76
2022-06-04,93
2022-06-05,79
2022-06-06,60
2022-06-07,54
2022-06-08,50
2022-06-09,47
2022-06-10,75
2022-06-11,67
2022-06-12,62
2022-06-13,48
2022-06-14,45
2022-06-15,48
2022-06-16,43
2022-06-17,55
2022-06-18,63
2022-06-19,54
2022-06-20,49
2022-06-21,46
2022-06-22,42
2022-06-23,44
2022-06-24,75
2022-06-25,78
2022-06-26,66
2022-06-27,55
2022-06-28,52
2022-06-29,52
2022-06-30,51
2022-07-01,72
2022-07-02,68
2022-07-03,61
2022-07-04,60
2022-07-05,52
2022-07-06,48
2022-07-07,56
2022-07-08,100
2022-07-09,87
2022-07-10,74
2022-07-11,61
2022-07-12,54
2022-07-13,49
2022-07-14,48
2022-07-15,48
2022-07-16,55
2022-07-17,55
2022-07-18,48
2022-07-19,43
2022-07-20,41
2022-07-21,40
2022-07-22,40
2022-07-23,41
2022-07-24,45
2022-07-25,40
2022-07-26,37
2022-07-27,32
2022-07-28,33
2022-07-29,34
2022-07-30,35
2022-07-31,42
2022-08-01,39
2022-08-02,35
2022-08-03,29
2022-08-04,32
2022-08-05,33
2022-08-06,36
2022-08-07,40
2022-08-08,33
2022-08-09,28
2022-08-10,27
2022-08-11,27
2022-08-12,26
2022-08-13,30
2022-08-14,33
2022-08-15,27
2022-08-16,25
2022-08-17,24
2022-08-18,24
2022-08-19,24
2022-08-20,28
2022-08-21,30
2022-08-22,23
2022-08-23,22
2022-08-24,22
2022-08-25,23
2022-08-26,24
2022-08-27,26
2022-08-28,26
2022-08-29,21
2022-08-30,20
2022-08-31,23
2022-09-01,20
2022-09-02,21
2022-09-03,22
2022-09-04,23
2022-09-05,25
2022-09-06,20
2022-09-07,20
2022-09-08,18
2022-09-09,17
2022-09-10,21
2022-09-11,22
2022-09-12,18
2022-09-13,18
2022-09-14,18
2022-09-15,18
2022-09-16,19
2022-09-17,22
2022-09-18,21
2022-09-19,18
2022-09-20,18
2022-09-21,19
2022-09-22,19
2022-09-23,20
2022-09-24,21
2022-09-25,22
2022-09-26,19
2022-09-27,19
